ParticipantNo: 11003
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_06
!!1_dsp1_06
0.02:  216.1,31.84,213.074,
0.03:  216.1,31.84,213.0657,box 9,0
0.05:  216.1,31.84,213.0573,box 9,0
0.07:  216.1,31.84,213.049,box 9,0
0.08:  216.1,31.84,213.047,box 9,0
0.1:  216.1,31.84,213.0451,box 9,0
0.12:  216.1,31.84,213.0367,box 9,0
0.13:  216.1,31.84,213.0284,box 9,0
0.15:  216.1,31.84,213.0201,box 9,0
0.17:  216.1,31.84,213.0181,box 9,0
0.18:  216.1,31.84,213.0162,box 9,0
0.2:  216.1,31.84,213.0142,box 9,0
0.22:  216.1,31.84,213.0122,box 9,0
0.23:  216.1,31.84,213.0039,box 9,0
0.25:  216.1,31.84,212.9956,box 9,0
0.27:  216.1,31.84,212.9936,box 9,0
0.28:  216.1,31.84,212.9853,box 9,0
0.3:  216.1,31.84,212.9833,box 9,0
0.32:  216.1,31.84,212.975,box 9,0
0.33:  216.1,31.84,212.9666,box 9,0
0.35:  216.1,31.84,212.9647,box 9,0
0.37:  216.1,31.84,212.9563,box 9,0
0.38:  216.1,31.84,212.948,box 9,0
0.4:  216.1,31.84,212.9397,box 9,0
0.42:  216.1,31.84,212.9377,box 9,0
0.43:  216.1,31.84,212.9294,box 9,0
0.45:  216.1,31.84,212.9294,box 9,0
0.47:  216.1,31.84,213.0391,box 9,0
0.48:  216.1,31.84,213.4151,box 9,0
0.5:  216.1,31.84,214.1205,box 9,0
0.52:  216.1,31.84,214.9084,box 9,0
0.53:  216.1,31.84,215.6963,box 9,0
0.55:  216.1,31.84,216.4842,box 9,0
0.57:  216.1,31.84,217.2721,box 9,0
0.58:  216.1117,31.83085,218.0599,box 9,0
0.6:  216.1538,31.79696,218.8478,box 9,0
0.62:  216.2273,31.73607,219.6357,box 9,0
0.63:  216.3434,31.64364,220.4236,box 9,0
0.65:  216.4924,31.52318,221.2114,box 9,0
0.67:  216.6723,31.37513,221.9993,box 9,0
0.68:  216.8722,31.21729,222.7872,box 9,0
0.7:  217.0676,31.06162,223.5751,box 9,0
0.72:  217.2631,30.90151,224.363,box 9,0
0.73:  217.4553,30.73965,225.1508,box 9,0
0.75:  217.6483,30.5725,225.9387,box 9,0
0.77:  217.8264,30.4142,226.6696,box 9,0
0.78:  218.0025,30.25425,227.2927,box 9,0
0.8:  218.189,30.08559,227.7193,box 9,0
0.82:  218.3529,29.9372,227.867,box 9,0
0.83:  218.4597,29.85256,227.8587,box 9,0
