ParticipantNo: 11005
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_02
!!1_dsp1_02
0.02:  174.2,171.2,270.4307,
0.03:  174.2,171.2,270.4307,box 2,2
0.05:  174.1684,171.2002,270.4307,box 2,2
0.07:  173.9556,171.2523,270.4307,box 2,2
0.08:  173.7506,171.3147,270.4307,box 2,2
0.1:  173.5116,171.3874,270.4307,box 2,2
0.11:  173.2689,171.4612,270.4307,box 2,2
0.13:  173.0311,171.5335,270.4307,box 2,2
0.15:  172.79,171.6068,270.4307,box 2,2
0.16:  172.5548,171.6783,270.4307,box 2,2
0.2:  172.1036,171.8403,270.4307,box 2,2
0.2:  172.0662,171.8537,270.4307,box 2,2
0.21:  171.8419,171.9398,270.4307,box 2,2
0.23:  171.6114,172.0399,270.4307,box 2,2
0.25:  171.3877,172.1489,270.416,box 2,2
0.26:  171.174,172.2704,270.2999,box 2,2
0.28:  170.9292,172.4238,269.9304,box 2,2
0.3:  170.754,172.5395,269.4594,box 2,2
0.31:  170.5526,172.6759,268.8363,box 2,2
0.33:  170.3126,172.8337,268.0484,box 2,2
0.35:  170.1382,172.945,267.2605,box 2,2
0.36:  169.9289,173.0744,266.4727,box 2,2
0.38:  169.7167,173.2017,265.6848,box 2,2
0.4:  169.5034,173.3257,264.8969,box 2,2
0.42:  169.2553,173.4654,264.109,box 2,2
0.43:  169.04,173.5828,263.3211,box 2,2
0.45:  168.8405,173.688,262.5333,box 2,2
0.46:  168.6362,173.7921,261.7454,box 2,2
0.48:  168.419,173.9008,260.9575,box 2,2
0.5:  168.2043,174.0181,260.176,box 2,2
0.51:  167.9884,174.1371,259.4958,box 2,2
0.53:  167.7675,174.2565,259.0375,box 2,2
0.55:  167.5539,174.373,258.8707,box 2,2
0.57:  167.3071,174.51,258.8561,box 2,2
0.58:  167.1231,174.612,258.8477,box 2,2
0.6:  166.9088,174.7349,258.8477,box 2,2
0.61:  166.6941,174.8579,258.8477,box 2,2
0.63:  166.48,174.9807,258.8477,box 2,2
0.65:  166.2632,175.1031,258.8477,box 2,2
0.66:  166.0518,175.2242,258.8458,box 2,2
0.68:  165.8007,175.3659,258.8375,box 2,2
0.7:  165.6181,175.4704,258.8165,box 2,2
0.71:  165.4019,175.5921,258.7701,box 2,2
0.73:  165.1842,175.714,258.6477,box 2,3
0.75:  164.9699,175.8327,258.3732,box 2,3
0.76:  164.7521,175.9513,257.9656,box 2,3
0.78:  164.5268,176.0594,257.4122,box 2,3
0.8:  164.2982,176.1598,256.7258,box 2,3
0.81:  164.0673,176.25,255.9442,box 2,3
0.83:  163.8255,176.3275,255.1563,box 2,3
0.85:  163.5885,176.3977,254.3685,box 2,3
0.86:  163.3489,176.4594,253.5806,box 2,3
0.88:  163.0616,176.5251,252.7927,box 2,3
0.9:  162.8177,176.5761,252.0048,box 2,3
0.91:  162.6142,176.6158,251.2169,box 2,3
0.93:  162.321,176.6688,250.4291,box 2,3
0.95:  162.114,176.7033,249.6412,box 2,3
0.97:  161.8234,176.7477,248.8723,box 2,3
0.98:  161.5892,176.7804,248.1415,box 2,3
1:  161.3692,176.8085,247.455,box 2,3
1.02:  161.081,176.842,246.8319,box 2,3
1.03:  160.8414,176.8678,246.3229,box 2,3
1.05:  160.6177,176.8902,245.9026,box 2,3
1.07:  160.3274,176.9199,245.5521,box 2,3
1.08:  160.0897,176.9409,245.2332,box 2,3
1.1:  159.8285,176.9626,244.9333,box 2,3
1.11:  159.6171,176.9791,244.6461,box 2,3
1.13:  159.3661,176.9975,244.378,box 2,3
1.15:  159.1164,177.0147,244.1161,box 2,3
1.17:  158.8245,177.0333,243.8416,box 2,3
1.18:  158.6137,177.0474,243.5291,box 2,3
1.2:  158.3605,177.0605,243.1469,box 2,3
1.21:  158.108,177.0715,242.6822,box 2,3
1.23:  157.8582,177.0821,242.1288,box 2,3
1.25:  157.6042,177.0879,241.4867,box 2,3
1.27:  157.3139,177.0909,240.7749,box 2,3
1.28:  157.1043,177.0903,240.025,box 2,3
1.3:  156.8139,177.0856,239.2625,box 2,3
1.31:  156.6011,177.0793,238.4936,box 2,3
1.33:  156.3508,177.0685,237.7248,box 2,3
1.35:  156.1003,177.0545,236.9686,box 2,3
1.36:  155.8499,177.0372,236.2377,box 2,3
1.38:  155.5665,177.0144,235.583,box 2,3
1.4:  155.3479,176.9944,234.9662,box 2,3
1.42:  155.0655,176.9659,234.4192,box 2,3
1.43:  154.8215,176.9393,233.9609,box 2,3
1.45:  154.5954,176.9132,233.6166,box 2,3
1.47:  154.3005,176.8783,233.4245,box 2,3
1.48:  154.0952,176.8534,233.2958,box 2,3
1.5:  153.8462,176.823,233.2114,box 2,3
1.51:  153.6002,176.7926,233.1524,box 2,3
1.53:  153.3472,176.7612,233.106,box 2,3
1.55:  153.0988,176.7302,233.066,box 2,3
1.57:  152.8034,176.6931,233.0323,box 2,3
1.58:  152.599,176.6673,232.9987,box 2,3
1.6:  152.3505,176.6359,232.965,box 2,3
1.61:  152.1039,176.6044,232.925,box 2,3
1.63:  151.8504,176.572,232.885,box 2,3
1.65:  151.6067,176.5417,232.8323,box 2,3
1.66:  151.3601,176.5096,232.767,box 2,3
1.68:  151.108,176.4775,232.6509,box 2,3
1.7:  150.8607,176.4452,232.4588,box 2,3
1.71:  150.6102,176.4098,232.1526,box 2,3
1.73:  150.3612,176.3727,231.7069,box 2,3
1.75:  150.1104,176.3327,231.1282,box 2,3
1.76:  149.8678,176.2911,230.4481,box 2,3
1.78:  149.6163,176.2444,229.6665,box 2,3
1.8:  149.3709,176.1953,228.8787,box 2,3
1.82:  149.0774,176.1324,228.0908,box 2,3
1.83:  148.8793,176.0871,227.3029,box 2,3
1.85:  148.6301,176.0265,226.515,box 2,3
1.86:  148.3941,175.9657,225.7272,box 2,3
1.88:  148.0981,175.8876,224.9393,box 2,3
1.9:  147.9053,175.8323,224.1514,box 2,3
