ParticipantNo: 11007
Time for Trials (seconds): 60
Controller type: Keyboard and Mouse
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_14
!!1_dsp1_14
0.02:  32.2,31.9,180,
0.03:  32.2,31.9,180,box 9,9
0.05:  32.2,31.9,180,box 9,9
0.07:  32.2,31.9,180,box 9,9
0.08:  32.2,31.9,180,box 9,9
0.1:  32.2,31.9,180,box 9,9
0.12:  32.2,31.9,180,box 9,9
0.13:  32.2,31.9,180,box 9,9
0.15:  32.2,31.9,180,box 9,9
0.17:  32.2,31.9,180,box 9,9
0.18:  32.2,31.9,180,box 9,9
0.2:  32.2,31.9,180,box 9,9
0.22:  32.2,31.9,180,box 9,9
0.23:  32.2,31.9,180,box 9,9
0.25:  32.2,31.9,180,box 9,9
0.27:  32.2,31.9,180,box 9,9
0.28:  32.2,31.9,180,box 9,9
0.3:  32.2,31.9,180,box 9,9
0.32:  32.2,31.9,180,box 9,9
0.33:  32.2,31.9,180,box 9,9
0.35:  32.2,31.9,180,box 9,9
0.37:  32.2,31.9,180,box 9,9
0.38:  32.2,31.9,180,box 9,9
0.4:  32.2,31.9,180.1,box 9,9
0.42:  32.2,31.9,180.2,box 9,9
0.43:  32.2,31.9,180.2,box 9,9
0.45:  32.2,31.9,180.2,box 9,9
0.47:  32.2,31.9,180.2,box 9,9
0.48:  32.2,31.9,180.2,box 9,9
0.5:  32.2,31.9,180.2,box 9,9
0.52:  32.2,31.9,180.2,box 9,9
0.53:  32.2,31.9,180.2,box 9,9
0.55:  32.2,31.9,180.2,box 9,9
0.57:  32.2,31.9,180.2,box 9,9
0.58:  32.2,31.9,180.2,box 9,9
0.6:  32.2,31.9,180.2,box 9,9
0.62:  32.2,31.9,180.2,box 9,9
0.63:  32.2,31.9,180.2,box 9,9
0.65:  32.2,31.9,180.2,box 9,9
0.67:  32.2,31.9,180.2,box 9,9
0.68:  32.2,31.9,180.2,box 9,9
0.7:  32.2,31.9,180.2,box 9,9
0.72:  32.2,31.9,180.2,box 9,9
0.73:  32.2,31.9,180.2,box 9,9
0.75:  32.2,31.9,180.2,box 9,9
0.77:  32.2,31.9,180.2,box 9,9
0.78:  32.2,31.9,180.2,box 9,9
0.8:  32.2,31.9,180.2,box 9,9
0.82:  32.2,31.9,180.2,box 9,9
0.83:  32.2,31.9,180.2,box 9,9
0.85:  32.2,31.9,180.2,box 9,9
0.87:  32.2,31.9,180.2,box 9,9
0.88:  32.2,31.9,180.2,box 9,9
0.9:  32.2,31.9,180.2,box 9,9
0.92:  32.2,31.9,180.2,box 9,9
0.93:  32.2,31.9,180.2,box 9,9
0.95:  32.2,31.9,180.2,box 9,9
0.97:  32.2,31.9,180.2,box 9,9
0.98:  32.2,31.9,180.2,box 9,9
1:  32.2,31.9,180.3,box 9,9
1.02:  32.2,31.9,180.4,box 9,9
1.03:  32.2,31.9,180.4,box 9,9
1.05:  32.2,31.9,180.4,box 9,9
1.07:  32.2,31.9,180.4,box 9,9
1.08:  32.2,31.9,180.4,box 9,9
1.1:  32.2,31.9,180.4,box 9,9
1.12:  32.2,31.9,180.2,box 9,9
1.13:  32.2,31.9,180.1,box 9,9
1.15:  32.2,31.9,180,box 9,9
1.17:  32.2,31.9,180,box 9,9
1.18:  32.2,31.9,180,box 9,9
1.2:  32.2,31.9,180,box 9,9
1.22:  32.2,31.9,180,box 9,9
