ParticipantNo: 12003
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_18
!!1_dsp2_18
0.02:  191.8,52.7,63.72756,
0.03:  191.8,52.7,63.73588,box 9,2
0.05:  191.8,52.7,63.7442,box 9,2
0.07:  191.8,52.7,63.75885,box 9,2
0.08:  191.8,52.7,63.76717,box 9,2
0.1:  191.8,52.7,63.78182,box 9,2
0.12:  191.8,52.7,63.79014,box 9,2
0.13:  191.8,52.7,63.79846,box 9,2
0.15:  191.8,52.7,63.80677,box 9,2
0.17:  191.8,52.7,63.8151,box 9,2
0.18:  191.8,52.7,63.82342,box 9,2
0.2:  191.8,52.7,63.83174,box 9,2
0.22:  191.8,52.7,63.84639,box 9,2
0.23:  191.8,52.7,63.85471,box 9,2
0.25:  191.8,52.7,63.86303,box 9,2
0.27:  191.8,52.7,63.87135,box 9,2
0.28:  191.8,52.7,63.87968,box 9,2
0.3:  191.8,52.7,63.888,box 9,2
0.32:  191.8,52.7,63.89631,box 9,2
0.33:  191.8,52.7,63.90463,box 9,2
0.35:  191.8,52.7,63.9066,box 9,2
0.37:  191.8,52.7,63.91492,box 9,2
0.38:  191.8,52.7,63.92324,box 9,2
0.4:  191.8,52.7,63.93156,box 9,2
0.42:  191.8,52.7,63.93988,box 9,2
0.43:  191.8,52.7,63.9482,box 9,2
0.45:  191.8,52.7,63.95651,box 9,2
0.47:  191.8,52.7,63.9585,box 9,2
0.48:  191.8,52.7,63.96048,box 9,2
0.5:  191.8,52.7,63.9688,box 9,2
0.52:  191.8,52.7,63.97712,box 9,2
0.53:  191.8,52.7,63.98544,box 9,2
0.55:  191.8,52.7,63.99376,box 9,2
0.57:  191.8,52.7,64.00208,box 9,2
0.58:  191.8,52.7,64.00406,box 9,2
0.6:  191.8,52.7,64.00603,box 9,2
0.62:  191.8,52.7,64.00802,box 9,2
0.63:  191.8,52.7,64.01001,box 9,2
0.65:  191.8,52.7,64.01199,box 9,2
0.67:  191.8,52.7,64.01397,box 9,2
0.68:  191.8,52.7,64.01595,box 9,2
0.7:  191.8,52.7,64.01794,box 9,2
0.72:  191.8,52.7,64.01992,box 9,2
0.73:  191.8,52.7,64.0219,box 9,2
0.75:  191.8,52.7,64.02389,box 9,2
0.77:  191.8,52.7,64.02586,box 9,2
0.78:  191.8,52.7,64.02586,box 9,2
0.8:  191.7947,52.71096,64.02586,box 9,2
0.82:  191.7755,52.75032,64.02586,box 9,2
0.83:  191.7461,52.81063,64.01755,box 9,2
0.85:  191.6963,52.91275,63.99021,box 9,2
0.87:  191.6143,53.07996,63.87415,box 9,2
0.88:  191.5127,53.28503,63.65034,box 9,2
0.9:  191.4005,53.50777,63.27443,box 9,2
0.92:  191.2871,53.72835,62.78443,box 9,2
0.93:  191.169,53.95143,62.1043,box 9,2
0.95:  191.0488,54.17105,61.31643,box 9,2
0.97:  190.9273,54.38608,60.52854,box 9,2
0.98:  190.7999,54.60448,59.74066,box 9,2
1:  190.6731,54.81509,58.95279,box 9,2
1.02:  190.5355,55.03672,58.16491,box 9,2
1.03:  190.4016,55.24592,57.37703,box 9,2
1.05:  190.2616,55.45823,56.58915,box 9,2
1.07:  190.1244,55.66005,55.80127,box 9,2
1.08:  189.9819,55.86374,55.01339,box 9,2
1.1:  189.839,56.06201,54.22551,box 9,2
1.12:  189.6877,56.26599,53.43763,box 9,2
1.13:  189.5365,56.4642,52.64975,box 9,2
1.15:  189.3835,56.65899,51.86187,box 9,2
1.17:  189.227,56.85273,51.074,box 9,2
1.18:  189.0658,57.04691,50.28612,box 9,2
1.2:  188.9034,57.23704,49.49824,box 9,2
1.22:  188.74,57.42305,48.71037,box 9,2
1.23:  188.5704,57.61084,47.92249,box 9,2
1.25:  188.4015,57.7929,47.13461,box 9,2
1.27:  188.2294,57.9732,46.34673,box 9,2
1.28:  188.0517,58.15442,45.55885,box 9,2
1.3:  187.8712,58.33351,44.77097,box 9,2
1.32:  187.6928,58.5057,43.98309,box 9,2
1.33:  187.5111,58.67626,43.19521,box 9,2
1.35:  187.3266,58.84481,42.40733,box 9,2
1.37:  187.1398,59.01077,41.61945,box 9,2
1.38:  186.9414,59.18568,40.83158,box 9,2
1.4:  186.7684,59.3558,40.04369,box 9,2
1.42:  186.6058,59.55217,39.28117,box 9,2
1.43:  186.4864,59.75932,38.55033,box 9,2
1.45:  186.3979,60.00095,37.87653,box 9,2
1.47:  186.3464,60.23884,37.2471,box 9,2
1.48:  186.3122,60.48232,36.64302,box 9,2
1.5:  186.3107,60.72424,36.07064,box 9,3
1.52:  186.3107,60.96484,35.5236,box 9,3
1.53:  186.3107,61.21118,34.99557,box 9,3
1.55:  186.3107,61.45342,34.48656,box 9,3
1.57:  186.3107,61.7093,33.98389,box 9,3
1.58:  186.3107,61.93473,33.48122,box 9,3
1.6:  186.3107,62.17288,32.98488,box 9,3
1.62:  186.3081,62.41001,32.48855,box 9,3
1.63:  186.2583,62.65731,31.98587,box 9,3
