ParticipantNo: 1
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_17
!!1_dsp1_17
0.02:  50.9,191.8,228.0689,
0.03:  50.9,191.8,228.0606,
0.05:  50.9,191.8,228.0523,box 1,8
0.07:  50.9,191.8,228.0439,box 1,8
0.08:  50.9,191.8,228.0356,box 1,8
0.1:  50.9,191.8,228.021,box 1,8
0.12:  50.9,191.8,228.0063,box 1,8
0.13:  50.9,191.8,227.998,box 1,8
0.15:  50.9,191.8,227.9833,box 1,8
0.17:  50.9,191.8,227.975,box 1,8
0.18:  50.9,191.8,227.9604,box 1,8
0.2:  50.9,191.8,227.9457,box 1,8
0.22:  50.9,191.8,227.931,box 1,8
0.23:  50.9,191.8,227.9227,box 1,8
0.25:  50.9,191.8,227.9144,box 1,8
0.27:  50.9,191.8,227.9061,box 1,8
0.28:  50.9,191.8,227.9041,box 1,8
0.3:  50.9,191.8,227.9041,box 1,8
0.32:  50.9,191.8,227.9568,box 1,8
0.33:  50.9,191.8,228.1426,box 1,8
0.35:  50.9,191.8,228.5058,box 1,8
0.37:  50.9,191.8,229.0972,box 1,8
0.38:  50.9,191.8,229.8724,box 1,8
0.4:  50.9,191.8,230.6413,box 1,8
0.42:  50.9,191.8,231.4165,box 1,8
0.43:  50.9,191.8,232.1854,box 1,8
0.45:  50.9,191.8,232.9606,box 1,8
0.47:  50.9,191.8,233.7357,box 1,8
0.48:  50.9,191.8,234.511,box 1,8
0.5:  50.9,191.8,235.2862,box 1,8
0.52:  50.9,191.8,236.0614,box 1,8
0.53:  50.9,191.8,236.8366,box 1,8
0.55:  50.9,191.8,237.6118,box 1,8
0.57:  50.9,191.8,238.3933,box 1,8
0.58:  50.9,191.8,239.1749,box 1,8
0.6:  50.9,191.8,239.9564,box 1,8
0.62:  50.87005,191.7832,240.7316,box 1,8
0.63:  50.78277,191.7358,241.5005,box 1,8
0.65:  50.63694,191.6591,242.2567,box 1,8
0.67:  50.44697,191.5623,242.9812,box 1,8
0.68:  50.22097,191.4505,243.693,box 1,8
0.7:  49.99658,191.3429,244.3731,box 1,8
0.72:  49.76269,191.2422,245.0152,box 1,8
0.73:  49.52855,191.1468,245.594,box 1,8
0.75:  49.29526,191.0569,246.1283,box 1,8
0.77:  49.0625,190.9722,246.6183,box 1,8
0.78:  48.82513,190.893,247.0703,box 1,8
0.8:  48.58804,190.8159,247.4969,box 1,8
0.82:  48.35008,190.7403,247.8982,box 1,8
0.83:  48.11003,190.6684,248.2804,box 1,8
0.85:  47.86931,190.6005,248.6627,box 1,8
0.87:  47.61911,190.5421,249.045,box 1,8
0.88:  47.36967,190.5005,249.4209,box 1,8
0.9:  47.11375,190.4727,249.7778,box 1,8
0.92:  46.86781,190.4526,250.0776,box 1,8
0.93:  46.61589,190.4358,250.2381,box 1,8
0.95:  46.36859,190.4247,250.2464,box 1,8
0.97:  46.11795,190.4268,250.2484,box 1,8
0.98:  45.87197,190.4375,250.2503,box 1,8
1:  45.62735,190.4512,250.2523,box 1,8
1.02:  45.37936,190.4675,250.2543,box 1,8
1.03:  45.14141,190.4831,250.2563,box 1,8
1.05:  44.88031,190.5013,250.2646,box 1,9
1.07:  44.65433,190.5192,250.2666,box 1,9
1.08:  44.41314,190.547,250.2686,box 1,9
1.1:  44.16583,190.5888,250.2705,box 1,9
1.12:  43.91587,190.6367,250.2725,box 1,9
1.13:  43.67144,190.6815,250.2745,box 1,9
1.15:  43.42415,190.7267,250.2765,box 1,9
1.17:  43.17081,190.7753,250.2784,box 1,9
1.18:  42.92932,190.8217,250.2868,box 1,9
1.2:  42.67419,190.8707,250.2951,box 1,9
1.22:  42.43561,190.9165,250.2971,box 1,9
1.23:  42.18787,190.9641,250.2991,box 1,9
1.25:  41.95584,191.0087,250.301,box 1,9
1.27:  41.70616,191.0546,250.303,box 1,9
1.28:  41.46029,191.0997,250.305,box 1,9
1.3:  41.21474,191.1469,250.3133,box 1,9
1.32:  40.9656,191.1927,250.3153,box 1,9
1.33:  40.72946,191.2361,250.3173,box 1,9
1.35:  40.48147,191.2817,250.3256,box 1,9
1.37:  40.23499,191.3292,250.3339,box 1,9
1.38:  39.98701,191.3749,250.3422,box 1,9
1.4:  39.74334,191.4219,250.3506,box 1,9
1.42:  39.49773,191.4672,250.3525,box 1,9
1.43:  39.25284,191.5145,250.3379,box 1,9
1.45:  39.00609,191.5617,250.2662,box 1,9
1.47:  38.75623,191.6067,250.1121,box 1,9
1.48:  38.51089,191.652,249.8693,box 1,9
1.5:  38.26238,191.6928,249.525,box 1,9
1.52:  38.02335,191.7219,249.0984,box 1,9
1.53:  37.7773,191.7229,248.545,box 1,9
1.55:  37.53466,191.7006,247.9219,box 1,9
1.57:  37.28652,191.6553,247.2481,box 1,9
1.58:  37.03834,191.5933,246.511,box 1,9
1.6:  36.80121,191.5107,245.7675,box 1,9
1.62:  36.56899,191.4214,245.0239,box 1,9
1.63:  36.33704,191.3206,244.2804,box 1,9
1.65:  36.11261,191.2171,243.5432,box 1,9
1.67:  35.88584,191.1089,242.8061,box 1,9
1.68:  35.65855,190.9968,242.0689,box 1,9
1.7:  35.43023,190.8833,241.3317,box 1,9
1.72:  35.21024,190.7705,240.5945,box 1,9
