ParticipantNo: 21002_2
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_05
!!1_dsp1_05
0.02:  216.1,31.84,261.726,
0.03:  216.1,31.84,261.726,box 9,0
0.05:  216.1,31.84,261.726,box 9,0
0.07:  216.1,31.84,261.726,box 9,0
0.08:  216.1,31.84,261.726,box 9,0
0.1:  216.1,31.84,261.726,box 9,0
0.12:  216.1,31.84,261.726,box 9,0
0.14:  216.1,31.84,261.726,box 9,0
0.15:  216.1,31.84,261.726,box 9,0
0.17:  216.1,31.84,261.726,box 9,0
0.18:  216.1,31.84,261.726,box 9,0
0.2:  216.1,31.84,261.726,box 9,0
0.22:  216.1,31.84,261.726,box 9,0
0.23:  216.1,31.84,261.726,box 9,0
0.25:  216.1,31.84,261.726,box 9,0
0.27:  216.1,31.84,261.726,box 9,0
0.29:  216.1,31.84,261.726,box 9,0
0.3:  216.1,31.84,261.726,box 9,0
0.32:  216.1,31.84,261.726,box 9,0
0.33:  216.1,31.84,261.726,box 9,0
0.35:  216.1,31.84,261.726,box 9,0
0.37:  216.1,31.84,261.726,box 9,0
0.39:  216.1,31.84,261.726,box 9,0
0.4:  216.1,31.84,261.726,box 9,0
0.42:  216.1,31.84,261.726,box 9,0
0.43:  216.1,31.84,261.726,box 9,0
0.45:  216.1,31.84,261.724,box 9,0
0.47:  216.1,31.84,261.722,box 9,0
0.48:  216.1,31.84,261.72,box 9,0
0.5:  216.1,31.84,261.718,box 9,0
0.52:  216.1,31.84,261.7161,box 9,0
0.53:  216.1,31.84,261.7141,box 9,0
0.55:  216.1,31.84,261.7121,box 9,0
0.57:  216.1,31.84,261.7121,box 9,0
0.59:  216.1,31.84,261.7121,box 9,0
0.6:  216.1,31.84,261.7101,box 9,0
0.62:  216.1,31.84,261.7081,box 9,0
0.64:  216.1,31.84,261.7062,box 9,0
0.65:  216.1,31.84,261.7042,box 9,0
0.67:  216.1,31.84,261.7022,box 9,0
0.68:  216.1,31.84,261.7002,box 9,0
0.7:  216.1,31.84,261.6982,box 9,0
0.72:  216.1,31.84,261.6963,box 9,0
0.74:  216.1,31.84,261.6943,box 9,0
0.75:  216.1,31.84,261.6923,box 9,0
0.77:  216.1,31.84,261.6903,box 9,0
0.79:  216.1,31.84,261.6884,box 9,0
0.8:  216.1,31.84,261.6864,box 9,0
0.82:  216.1,31.84,261.6844,box 9,0
0.84:  216.1,31.84,261.6824,box 9,0
0.85:  216.1,31.84,261.6804,box 9,0
0.87:  216.1,31.84,261.6785,box 9,0
0.89:  216.1,31.84,261.6701,box 9,0
0.9:  216.1,31.84,261.6682,box 9,0
0.92:  216.1,31.84,261.6599,box 9,0
0.94:  216.1,31.84,261.6515,box 9,0
0.95:  216.1,31.84,261.6432,box 9,0
0.97:  216.1,31.84,261.6349,box 9,0
0.98:  216.1,31.84,261.6266,box 9,0
1:  216.1,31.84,261.6182,box 9,0
1.02:  216.1,31.84,261.6099,box 9,0
1.03:  216.1,31.84,261.6016,box 9,0
1.05:  216.1,31.84,261.5996,box 9,0
1.07:  216.1,31.84,261.5913,box 9,0
1.09:  216.1,31.84,261.5893,box 9,0
1.1:  216.1,31.84,261.5873,box 9,0
1.12:  216.1,31.84,261.5854,box 9,0
1.13:  216.1,31.84,261.577,box 9,0
1.15:  216.1,31.84,261.5687,box 9,0
1.17:  216.1,31.84,261.5604,box 9,0
1.19:  216.1,31.84,261.5521,box 9,0
1.2:  216.1,31.84,261.5438,box 9,0
1.22:  216.1,31.84,261.5355,box 9,0
1.24:  216.1,31.84,261.5271,box 9,0
1.25:  216.1,31.84,261.5188,box 9,0
1.27:  216.1,31.84,261.5168,box 9,0
1.29:  216.1,31.84,261.5085,box 9,0
1.3:  216.1,31.84,261.5002,box 9,0
1.32:  216.1,31.84,261.4919,box 9,0
1.34:  216.1,31.84,261.4899,box 9,0
1.35:  216.1,31.84,261.4879,box 9,0
1.37:  216.1,31.84,261.4859,box 9,0
1.39:  216.1,31.84,261.4859,box 9,0
1.4:  216.1,31.84,261.4859,box 9,0
1.42:  216.1,31.84,261.4859,box 9,0
1.43:  216.1,31.84,261.4859,box 9,0
1.45:  216.1,31.84,261.4859,box 9,0
1.47:  216.1,31.84,261.4859,box 9,0
1.49:  216.1,31.84,261.4859,box 9,0
1.5:  216.1,31.84,261.4859,box 9,0
1.52:  216.1,31.84,261.4859,box 9,0
1.53:  216.1,31.84,261.4859,box 9,0
1.55:  216.1,31.84,261.4859,box 9,0
1.57:  216.1,31.84,261.4859,box 9,0
1.59:  216.1,31.84,261.4859,box 9,0
1.6:  216.1,31.84,261.4859,box 9,0
1.62:  216.1,31.84,261.4859,box 9,0
1.63:  216.1,31.84,261.4859,box 9,0
1.65:  216.1,31.84,261.4859,box 9,0
1.67:  216.1,31.84,261.4859,box 9,0
1.69:  216.1,31.84,261.4859,box 9,0
1.7:  216.1,31.84,261.4859,box 9,0
1.72:  216.1,31.84,261.4859,box 9,0
1.73:  216.1,31.84,261.4859,box 9,0
1.75:  216.1,31.84,261.4859,box 9,0
