ParticipantNo: 12005
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_19
!!1_dsp1_19
0.02:  72.6,151.2,157.2719,
0.03:  72.6,151.2,157.2719,box 3,7
0.05:  72.6,151.2,157.2719,box 3,7
0.07:  72.6,151.2,157.2719,box 3,7
0.08:  72.6,151.2,157.2719,box 3,7
0.1:  72.6,151.2,157.2719,box 3,7
0.12:  72.6,151.2,157.2719,box 3,7
0.13:  72.6,151.2,157.2719,box 3,7
0.15:  72.6,151.2,157.2719,box 3,7
0.17:  72.6,151.2,157.2719,box 3,7
0.19:  72.6,151.2,157.2719,box 3,7
0.2:  72.6,151.2,157.2719,box 3,7
0.22:  72.6,151.2,157.2719,box 3,7
0.24:  72.6,151.2,157.2719,box 3,7
0.25:  72.6,151.2,157.2719,box 3,7
0.27:  72.6,151.2,157.2719,box 3,7
0.28:  72.6,151.2,157.2719,box 3,7
0.3:  72.6,151.2,157.2739,box 3,7
0.32:  72.6,151.2,157.2739,box 3,7
0.33:  72.6,151.2,157.2739,box 3,7
0.35:  72.6,151.2,157.2739,box 3,7
0.37:  72.6,151.2,157.2739,box 3,7
0.38:  72.6,151.2,157.2739,box 3,7
0.4:  72.6,151.2,157.2739,box 3,7
0.42:  72.6,151.2,157.2739,box 3,7
0.43:  72.6,151.2,157.2739,box 3,7
0.45:  72.6,151.2,157.2739,box 3,7
0.47:  72.6,151.2,157.2739,box 3,7
0.49:  72.6,151.2,157.2739,box 3,7
0.5:  72.6,151.2,157.2739,box 3,7
0.52:  72.6,151.2,157.2739,box 3,7
0.53:  72.6,151.2,157.2719,box 3,7
0.55:  72.6,151.2,157.2636,box 3,7
0.57:  72.6,151.2,157.249,box 3,7
0.59:  72.6,151.2,157.228,box 3,7
0.6:  72.6,151.2,157.2006,box 3,7
0.62:  72.6,151.2,157.1353,box 3,7
0.63:  72.6,151.2,157.0256,box 3,7
0.65:  72.6,151.2,156.8334,box 3,7
0.67:  72.6,151.2,156.5399,box 3,7
0.69:  72.6,151.2,156.0816,box 3,7
0.7:  72.6,151.2,155.5346,box 3,7
0.72:  72.6,151.2,154.8037,box 3,7
0.73:  72.6,151.2,154.0159,box 3,7
0.75:  72.6,151.2,153.228,box 3,7
0.77:  72.6,151.2,152.4401,box 3,7
0.78:  72.6,151.2,151.6522,box 3,7
0.8:  72.6,151.2,150.8643,box 3,7
0.82:  72.6,151.2,150.0765,box 3,7
0.83:  72.6,151.2,149.2886,box 3,7
0.85:  72.6,151.2,148.5007,box 3,7
0.87:  72.6,151.2,147.7128,box 3,7
0.88:  72.6,151.2,146.9249,box 3,7
0.9:  72.6,151.2,146.1371,box 3,7
0.92:  72.6,151.2,145.3492,box 3,7
0.93:  72.6,151.2,144.5613,box 3,7
0.95:  72.6,151.2,143.7734,box 3,7
0.97:  72.6,151.2,142.9855,box 3,7
0.98:  72.6,151.2,142.2294,box 3,7
1:  72.6,151.2,141.5492,box 3,7
1.02:  72.6,151.2,140.9451,box 3,7
1.03:  72.6,151.2,140.4742,box 3,7
1.05:  72.6,151.2,140.1363,box 3,7
1.07:  72.60374,151.2031,139.9378,box 3,7
1.08:  72.64713,151.2397,139.8724,box 3,7
1.1:  72.76939,151.3428,139.8641,box 3,7
1.12:  72.89942,151.4525,139.8621,box 3,7
1.13:  73.07564,151.601,139.8602,box 3,7
1.15:  73.26571,151.7614,139.8518,box 3,7
1.17:  73.46459,151.9292,139.8435,box 3,7
1.18:  73.64584,152.0821,139.8415,box 3,7
1.2:  73.83866,152.2449,139.8332,box 3,7
1.22:  74.02966,152.4061,139.8249,box 3,7
1.23:  74.22151,152.5682,139.8166,box 3,7
1.25:  74.41338,152.7303,139.8083,box 3,7
1.27:  74.60442,152.8917,139.7999,box 3,7
1.28:  74.79366,153.0516,139.798,box 3,7
1.3:  74.98637,153.2146,139.7896,box 3,7
1.32:  75.1761,153.375,139.7813,box 3,7
1.33:  75.36842,153.5376,139.7793,box 3,7
1.35:  75.55949,153.6992,139.7774,box 3,7
1.37:  75.74737,153.8582,139.769,box 3,7
1.39:  75.96551,154.0428,139.7607,box 3,7
1.4:  76.15547,154.2035,139.7587,box 3,7
1.42:  76.31908,154.342,139.7568,box 3,7
1.43:  76.51515,154.508,139.7548,box 3,7
1.45:  76.70425,154.6681,139.7464,box 3,7
1.47:  76.9215,154.8522,139.7191,box 3,7
1.48:  77.08605,154.9919,139.6728,box 3,7
1.5:  77.27612,155.1537,139.5884,box 3,7
1.52:  77.46519,155.316,139.3583,box 3,7
1.53:  77.65445,155.4806,138.9887,box 3,7
1.55:  77.84029,155.6449,138.5114,box 3,7
1.57:  78.02419,155.8108,137.958,box 3,7
1.59:  78.23932,156.0094,137.2842,box 3,7
1.6:  78.39371,156.1557,136.547,box 3,7
