ParticipantNo: 12005
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_23
!!1_dsp2_23
0.02:  153.75,131.9,103.1356,
0.03:  153.75,131.9,103.1273,
0.05:  153.75,131.9,103.1253,box 7,6
0.07:  153.75,131.9,103.1234,box 7,6
0.08:  153.75,131.9,103.1087,box 7,6
0.1:  153.75,131.9,103.1067,box 7,6
0.12:  153.75,131.9,103.0921,box 7,6
0.13:  153.75,131.9,103.0837,box 7,6
0.15:  153.75,131.9,103.0754,box 7,6
0.17:  153.75,131.9,103.0734,box 7,6
0.18:  153.75,131.9,103.0715,box 7,6
0.2:  153.75,131.9,103.0695,box 7,6
0.22:  153.75,131.9,103.0675,box 7,6
0.23:  153.75,131.9,103.0655,box 7,6
0.25:  153.75,131.9,103.0635,box 7,6
0.27:  153.75,131.9,103.0552,box 7,6
0.28:  153.75,131.9,103.0532,box 7,6
0.3:  153.75,131.9,103.0513,box 7,6
0.32:  153.75,131.9,103.0493,box 7,6
0.33:  153.75,131.9,103.041,box 7,6
0.35:  153.75,131.9,103.0326,box 7,6
0.37:  153.75,131.9,103.0243,box 7,6
0.38:  153.75,131.9,103.0223,box 7,6
0.4:  153.75,131.9,103.014,box 7,6
0.42:  153.75,131.9,103.0121,box 7,6
0.43:  153.75,131.9,103.0101,box 7,6
0.45:  153.75,131.9,103.0081,box 7,6
0.47:  153.75,131.9,102.9998,box 7,6
0.48:  153.75,131.9,102.9978,box 7,6
0.5:  153.75,131.9,102.9958,box 7,6
0.52:  153.75,131.9,102.9938,box 7,6
0.53:  153.75,131.9,102.9918,box 7,6
0.55:  153.75,131.9,102.9899,box 7,6
0.57:  153.75,131.9,102.9879,box 7,6
0.58:  153.75,131.9,102.9859,box 7,6
0.6:  153.75,131.9,102.9839,box 7,6
0.62:  153.75,131.9,102.9819,box 7,6
0.63:  153.75,131.9,102.9819,box 7,6
0.65:  153.75,131.9,102.9799,box 7,6
0.67:  153.75,131.9,102.9799,box 7,6
0.68:  153.75,131.9,102.978,box 7,6
0.7:  153.75,131.9,102.976,box 7,6
0.72:  153.75,131.9,102.9677,box 7,6
0.73:  153.75,131.9,102.953,box 7,6
0.75:  153.75,131.9,102.9257,box 7,6
0.77:  153.75,131.9,102.892,box 7,6
0.78:  153.75,131.9,102.852,box 7,6
0.8:  153.75,131.9,102.7993,box 7,6
0.82:  153.75,131.9,102.7339,box 7,6
0.83:  153.75,131.9,102.6559,box 7,6
0.85:  153.75,131.9,102.5715,box 7,6
0.87:  153.75,131.9,102.4618,box 7,6
0.88:  153.75,131.9,102.3394,box 7,6
0.9:  153.75,131.9,102.1727,box 7,6
0.92:  153.75,131.9,101.9362,box 7,6
0.93:  153.75,131.9,101.6426,box 7,6
0.95:  153.75,131.9,101.3174,box 7,6
0.97:  153.75,131.9,100.9922,box 7,6
0.98:  153.75,131.9,100.6607,box 7,6
1:  153.75,131.9,100.3228,box 7,6
1.02:  153.75,131.9,99.98489,box 7,6
1.03:  153.75,131.9,99.65334,box 7,6
1.05:  153.75,131.9,99.31545,box 7,6
1.07:  153.75,131.9,98.97757,box 7,6
1.08:  153.75,131.9,98.64601,box 7,6
1.1:  153.75,131.9,98.30813,box 7,6
1.12:  153.75,131.9,97.97024,box 7,6
1.13:  153.75,131.9,97.63235,box 7,6
1.15:  153.75,131.9,97.3008,box 7,6
1.17:  153.75,131.9,96.97558,box 7,6
1.18:  153.75,131.9,96.67571,box 7,6
1.2:  153.75,131.9,96.37585,box 7,6
1.22:  153.75,131.9,96.08233,box 7,6
1.23:  153.75,131.9,95.88387,box 7,6
1.25:  153.75,131.9,95.72345,box 7,6
1.27:  153.75,131.9,95.60104,box 7,6
1.28:  153.75,131.9,95.49132,box 7,6
1.3:  153.75,131.9,95.39427,box 7,6
1.32:  153.75,131.9,95.29721,box 7,6
1.33:  153.75,131.9,95.21918,box 7,6
1.35:  153.75,131.9,95.14748,box 7,6
1.37:  153.75,131.9,95.08212,box 7,6
1.38:  153.75,131.9,95.01675,box 7,6
1.4:  153.75,131.9,94.97675,box 7,6
1.42:  153.75,131.9,94.94942,box 7,6
1.43:  153.75,131.9,94.92208,box 7,6
1.45:  153.75,131.9,94.90108,box 7,6
1.47:  153.75,131.9,94.87376,box 7,6
1.48:  153.75,131.9,94.85277,box 7,6
1.5:  153.75,131.9,94.82544,box 7,6
1.52:  153.75,131.9,94.80444,box 7,6
1.53:  153.75,131.9,94.78345,box 7,6
1.55:  153.75,131.9,94.76246,box 7,6
1.57:  153.75,131.9,94.7478,box 7,6
1.58:  153.75,131.9,94.73314,box 7,6
1.6:  153.75,131.9,94.71215,box 7,6
1.62:  153.75,131.9,94.69115,box 7,6
1.63:  153.7514,131.9171,94.67016,box 7,6
1.65:  153.7546,131.9562,94.64916,box 7,6
1.67:  153.76,132.023,94.62817,box 7,6
1.68:  153.7652,132.1183,94.60717,box 7,6
1.7:  153.7669,132.2311,94.59252,box 7,6
1.72:  153.7535,132.3732,94.57787,box 7,6
1.73:  153.7381,132.5161,94.5632,box 7,6
1.75:  153.7226,132.6626,94.54855,box 7,6
1.77:  153.7001,132.8118,94.52755,box 7,6
1.78:  153.6727,132.9642,94.51289,box 7,6
1.8:  153.6377,133.1351,94.49825,box 7,6
1.82:  153.6043,133.3014,94.48358,box 7,6
1.83:  153.5702,133.4696,94.46892,box 7,6
1.85:  153.5347,133.6514,94.4606,box 7,6
1.87:  153.4972,133.8305,94.45229,box 7,6
1.88:  153.4593,134.0118,94.44396,box 7,6
1.9:  153.4219,134.1903,94.43565,box 7,6
1.92:  153.3841,134.3707,94.42733,box 7,6
1.93:  153.3465,134.55,94.41901,box 7,6
1.95:  153.3087,134.7301,94.41069,box 7,6
1.97:  153.2706,134.9083,94.40237,box 7,6
1.98:  153.2326,135.0856,94.38773,box 7,6
2:  153.1945,135.2603,94.37307,box 7,6
2.02:  153.156,135.4361,94.35841,box 7,6
2.03:  153.1182,135.6087,94.34375,box 7,6
2.05:  153.0816,135.7868,94.32909,box 7,6
2.07:  153.0461,135.9624,94.32078,box 7,6
