0.7388 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
12.7298 	INFO 	Loaded monitor calibration from ['2021_09_24 13:53']
12.7320 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
14.4920 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0.4, 0.4, 0.4]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000237DD684240>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000237DD62CC18>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.4928 	EXP 	window1: mouseVisible = True
14.4929 	EXP 	window1: recordFrameIntervals = False
14.6550 	EXP 	window1: recordFrameIntervals = True
14.8410 	DEBUG 	Screen (0) actual frame rate measured at 59.21
14.8411 	EXP 	window1: recordFrameIntervals = False
15.0927 	EXP 	Created Ready_experimenter_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.075, italic=False, languageStyle='LTR', name='Ready_experimenter_text', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='Waiting for the experimenter…', units='height', win=Window(...), wrapWidth=1.5)
15.0928 	EXP 	window1: mouseVisible = False
15.0980 	EXP 	Created Ready_scanner_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.075, italic=False, languageStyle='LTR', name='Ready_scanner_text', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='Waiting for the scanner…', units='height', win=Window(...), wrapWidth=1.5)
15.1001 	EXP 	Created Fixation_horz = Line(__class__=<class 'psychopy.visual.line.Line'>, autoDraw=False, autoLog=True, closeShape=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=UNKNOWN, interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=UNKNOWN, lineWidth=5, name='Fixation_horz', opacity=0.5, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
15.1009 	EXP 	Created Fixation_vert = Line(__class__=<class 'psychopy.visual.line.Line'>, autoDraw=False, autoLog=True, closeShape=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=None, depth=-2.0, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=UNKNOWN, interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=UNKNOWN, lineWidth=5, name='Fixation_vert', opacity=0.5, ori=90.0, pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
15.1043 	EXP 	Created Done_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.075, italic=False, languageStyle='LTR', name='Done_text', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='Done!', units='height', win=Window(...), wrapWidth=1.5)
15.1375 	EXP 	Ready_experimenter_text: autoDraw = True
614.4983 	DATA 	Keypress: return
614.5044 	EXP 	Ready_experimenter_text: autoDraw = False
614.5044 	EXP 	Ready_scanner_text: autoDraw = True
634.2379 	DATA 	Keypress: t
634.2447 	EXP 	Ready_scanner_text: autoDraw = False
634.2447 	EXP 	Fixation_horz: autoDraw = True
634.2447 	EXP 	Fixation_vert: autoDraw = True
635.7273 	DATA 	Keypress: t
637.2294 	DATA 	Keypress: t
638.7276 	DATA 	Keypress: t
640.2274 	DATA 	Keypress: t
641.7280 	DATA 	Keypress: t
643.2275 	DATA 	Keypress: t
644.7291 	DATA 	Keypress: t
646.2276 	DATA 	Keypress: t
647.7277 	DATA 	Keypress: t
649.2273 	DATA 	Keypress: t
650.7287 	DATA 	Keypress: t
652.2273 	DATA 	Keypress: t
653.7276 	DATA 	Keypress: t
655.2269 	DATA 	Keypress: t
656.7287 	DATA 	Keypress: t
658.2283 	DATA 	Keypress: t
659.7292 	DATA 	Keypress: t
661.2308 	DATA 	Keypress: t
662.7266 	DATA 	Keypress: t
664.2274 	DATA 	Keypress: t
665.7274 	DATA 	Keypress: t
667.2290 	DATA 	Keypress: t
668.7273 	DATA 	Keypress: t
670.2280 	DATA 	Keypress: t
671.7279 	DATA 	Keypress: t
673.2280 	DATA 	Keypress: t
674.7281 	DATA 	Keypress: t
676.2291 	DATA 	Keypress: t
677.7276 	DATA 	Keypress: t
679.2288 	DATA 	Keypress: t
680.7276 	DATA 	Keypress: t
682.2280 	DATA 	Keypress: t
683.7284 	DATA 	Keypress: t
685.2278 	DATA 	Keypress: t
686.7304 	DATA 	Keypress: t
688.2279 	DATA 	Keypress: t
689.7277 	DATA 	Keypress: t
691.2285 	DATA 	Keypress: t
692.7280 	DATA 	Keypress: t
694.2303 	DATA 	Keypress: t
695.7294 	DATA 	Keypress: t
697.2280 	DATA 	Keypress: t
698.7288 	DATA 	Keypress: t
700.2300 	DATA 	Keypress: t
701.7313 	DATA 	Keypress: t
703.2274 	DATA 	Keypress: t
704.7282 	DATA 	Keypress: t
706.2275 	DATA 	Keypress: t
707.7285 	DATA 	Keypress: t
709.2293 	DATA 	Keypress: t
710.7280 	DATA 	Keypress: t
712.2278 	DATA 	Keypress: t
713.7288 	DATA 	Keypress: t
715.2276 	DATA 	Keypress: t
716.7300 	DATA 	Keypress: t
718.2292 	DATA 	Keypress: t
719.7281 	DATA 	Keypress: t
721.2279 	DATA 	Keypress: t
722.7283 	DATA 	Keypress: t
724.2310 	DATA 	Keypress: t
725.7278 	DATA 	Keypress: t
727.2299 	DATA 	Keypress: t
728.7290 	DATA 	Keypress: t
730.2301 	DATA 	Keypress: t
731.7286 	DATA 	Keypress: t
733.2275 	DATA 	Keypress: t
734.7276 	DATA 	Keypress: t
736.2294 	DATA 	Keypress: t
737.7274 	DATA 	Keypress: t
739.2291 	DATA 	Keypress: t
740.7290 	DATA 	Keypress: t
742.2323 	DATA 	Keypress: t
743.7292 	DATA 	Keypress: t
745.2284 	DATA 	Keypress: t
746.7298 	DATA 	Keypress: t
748.2285 	DATA 	Keypress: t
749.7274 	DATA 	Keypress: t
751.2297 	DATA 	Keypress: t
752.7281 	DATA 	Keypress: t
754.2308 	DATA 	Keypress: t
755.7274 	DATA 	Keypress: t
757.2279 	DATA 	Keypress: t
758.7302 	DATA 	Keypress: t
760.2288 	DATA 	Keypress: t
761.7281 	DATA 	Keypress: t
763.2283 	DATA 	Keypress: t
764.7283 	DATA 	Keypress: t
766.2313 	DATA 	Keypress: t
767.7293 	DATA 	Keypress: t
769.2183 	DATA 	Keypress: t
770.7281 	DATA 	Keypress: t
772.2282 	DATA 	Keypress: t
773.7295 	DATA 	Keypress: t
775.2290 	DATA 	Keypress: t
776.7284 	DATA 	Keypress: t
778.2283 	DATA 	Keypress: t
779.7282 	DATA 	Keypress: t
781.2284 	DATA 	Keypress: t
782.7275 	DATA 	Keypress: t
784.2290 	DATA 	Keypress: t
785.7282 	DATA 	Keypress: t
787.2285 	DATA 	Keypress: t
788.7276 	DATA 	Keypress: t
790.2219 	DATA 	Keypress: t
791.7294 	DATA 	Keypress: t
793.2285 	DATA 	Keypress: t
794.7295 	DATA 	Keypress: t
796.2281 	DATA 	Keypress: t
797.7284 	DATA 	Keypress: t
799.2283 	DATA 	Keypress: t
800.7297 	DATA 	Keypress: t
802.2293 	DATA 	Keypress: t
803.7294 	DATA 	Keypress: t
805.2297 	DATA 	Keypress: t
806.7284 	DATA 	Keypress: t
808.2308 	DATA 	Keypress: t
809.7375 	DATA 	Keypress: t
811.2311 	DATA 	Keypress: t
812.7290 	DATA 	Keypress: t
814.2283 	DATA 	Keypress: t
815.7285 	DATA 	Keypress: t
817.2286 	DATA 	Keypress: t
818.7295 	DATA 	Keypress: t
820.2294 	DATA 	Keypress: t
821.7291 	DATA 	Keypress: t
823.2289 	DATA 	Keypress: t
824.7285 	DATA 	Keypress: t
826.2292 	DATA 	Keypress: t
827.7301 	DATA 	Keypress: t
829.2288 	DATA 	Keypress: t
830.7298 	DATA 	Keypress: t
832.2290 	DATA 	Keypress: t
833.7283 	DATA 	Keypress: t
835.2300 	DATA 	Keypress: t
836.7288 	DATA 	Keypress: t
838.2283 	DATA 	Keypress: t
839.7287 	DATA 	Keypress: t
841.2287 	DATA 	Keypress: t
842.7296 	DATA 	Keypress: t
844.2291 	DATA 	Keypress: t
845.7284 	DATA 	Keypress: t
847.2296 	DATA 	Keypress: t
848.7286 	DATA 	Keypress: t
850.2296 	DATA 	Keypress: t
851.7286 	DATA 	Keypress: t
853.2308 	DATA 	Keypress: t
854.7292 	DATA 	Keypress: t
856.2299 	DATA 	Keypress: t
857.7292 	DATA 	Keypress: t
859.2293 	DATA 	Keypress: t
860.7286 	DATA 	Keypress: t
862.2292 	DATA 	Keypress: t
863.7289 	DATA 	Keypress: t
865.2289 	DATA 	Keypress: t
866.7289 	DATA 	Keypress: t
868.2317 	DATA 	Keypress: t
869.7286 	DATA 	Keypress: t
871.2320 	DATA 	Keypress: t
872.7283 	DATA 	Keypress: t
874.2294 	DATA 	Keypress: t
875.7287 	DATA 	Keypress: t
877.2308 	DATA 	Keypress: t
878.7292 	DATA 	Keypress: t
880.2287 	DATA 	Keypress: t
881.7305 	DATA 	Keypress: t
883.2290 	DATA 	Keypress: t
884.7298 	DATA 	Keypress: t
886.2291 	DATA 	Keypress: t
887.7289 	DATA 	Keypress: t
889.2310 	DATA 	Keypress: t
890.7292 	DATA 	Keypress: t
892.2172 	DATA 	Keypress: t
893.7287 	DATA 	Keypress: t
895.2291 	DATA 	Keypress: t
896.7304 	DATA 	Keypress: t
898.2287 	DATA 	Keypress: t
899.7307 	DATA 	Keypress: t
901.2287 	DATA 	Keypress: t
902.7286 	DATA 	Keypress: t
904.2334 	DATA 	Keypress: t
905.7295 	DATA 	Keypress: t
907.2291 	DATA 	Keypress: t
908.7295 	DATA 	Keypress: t
910.2288 	DATA 	Keypress: t
911.7294 	DATA 	Keypress: t
913.2297 	DATA 	Keypress: t
914.7290 	DATA 	Keypress: t
916.2300 	DATA 	Keypress: t
917.7304 	DATA 	Keypress: t
919.2186 	DATA 	Keypress: t
920.7297 	DATA 	Keypress: t
922.2294 	DATA 	Keypress: t
923.7297 	DATA 	Keypress: t
925.2295 	DATA 	Keypress: t
926.7289 	DATA 	Keypress: t
928.2292 	DATA 	Keypress: t
929.7299 	DATA 	Keypress: t
931.2302 	DATA 	Keypress: t
932.7300 	DATA 	Keypress: t
934.2290 	DATA 	Keypress: t
935.7292 	DATA 	Keypress: t
937.2291 	DATA 	Keypress: t
938.7331 	DATA 	Keypress: t
940.2293 	DATA 	Keypress: t
941.7293 	DATA 	Keypress: t
943.2290 	DATA 	Keypress: t
944.7297 	DATA 	Keypress: t
946.2296 	DATA 	Keypress: t
947.7312 	DATA 	Keypress: t
949.2292 	DATA 	Keypress: t
950.7298 	DATA 	Keypress: t
952.2293 	DATA 	Keypress: t
953.7302 	DATA 	Keypress: t
955.2297 	DATA 	Keypress: t
956.7292 	DATA 	Keypress: t
958.2285 	DATA 	Keypress: t
959.7292 	DATA 	Keypress: t
961.2297 	DATA 	Keypress: t
962.7296 	DATA 	Keypress: t
964.2295 	DATA 	Keypress: t
965.7294 	DATA 	Keypress: t
967.2300 	DATA 	Keypress: t
968.7286 	DATA 	Keypress: t
970.2293 	DATA 	Keypress: t
971.7320 	DATA 	Keypress: t
973.2287 	DATA 	Keypress: t
974.7288 	DATA 	Keypress: t
976.2294 	DATA 	Keypress: t
977.7297 	DATA 	Keypress: t
979.2299 	DATA 	Keypress: t
980.7300 	DATA 	Keypress: t
982.2297 	DATA 	Keypress: t
983.7307 	DATA 	Keypress: t
985.2165 	DATA 	Keypress: t
986.7162 	DATA 	Keypress: t
988.2294 	DATA 	Keypress: t
989.7294 	DATA 	Keypress: t
991.2314 	DATA 	Keypress: t
992.7167 	DATA 	Keypress: t
994.2319 	DATA 	Keypress: t
995.7294 	DATA 	Keypress: t
997.2294 	DATA 	Keypress: t
998.7306 	DATA 	Keypress: t
1000.2301 	DATA 	Keypress: t
1001.7294 	DATA 	Keypress: t
1003.2317 	DATA 	Keypress: t
1004.7162 	DATA 	Keypress: t
1006.2159 	DATA 	Keypress: t
1007.7298 	DATA 	Keypress: t
1009.2326 	DATA 	Keypress: t
1010.7297 	DATA 	Keypress: t
1012.2158 	DATA 	Keypress: t
1013.7296 	DATA 	Keypress: t
1015.2296 	DATA 	Keypress: t
1016.7309 	DATA 	Keypress: t
1018.2163 	DATA 	Keypress: t
1019.7293 	DATA 	Keypress: t
1021.2298 	DATA 	Keypress: t
1022.7295 	DATA 	Keypress: t
1024.2315 	DATA 	Keypress: t
1025.7158 	DATA 	Keypress: t
1027.2323 	DATA 	Keypress: t
1028.7299 	DATA 	Keypress: t
1030.2298 	DATA 	Keypress: t
1031.7288 	DATA 	Keypress: t
1033.2160 	DATA 	Keypress: t
1034.7289 	DATA 	Keypress: t
1036.2146 	DATA 	Keypress: t
1037.7302 	DATA 	Keypress: t
1039.2307 	DATA 	Keypress: t
1040.7305 	DATA 	Keypress: t
1042.2299 	DATA 	Keypress: t
1043.7151 	DATA 	Keypress: t
1045.2304 	DATA 	Keypress: t
1046.7149 	DATA 	Keypress: t
1048.2309 	DATA 	Keypress: t
1049.7300 	DATA 	Keypress: t
1051.2152 	DATA 	Keypress: t
1052.7160 	DATA 	Keypress: t
1054.2154 	DATA 	Keypress: t
1055.7304 	DATA 	Keypress: t
1057.2297 	DATA 	Keypress: t
1058.7311 	DATA 	Keypress: t
1060.2300 	DATA 	Keypress: t
1061.7193 	DATA 	Keypress: t
1063.2182 	DATA 	Keypress: t
1064.7307 	DATA 	Keypress: t
1066.2154 	DATA 	Keypress: t
1067.7306 	DATA 	Keypress: t
1069.2298 	DATA 	Keypress: t
1070.7150 	DATA 	Keypress: t
1072.2298 	DATA 	Keypress: t
1073.7298 	DATA 	Keypress: t
1075.2302 	DATA 	Keypress: t
1076.7297 	DATA 	Keypress: t
1078.2306 	DATA 	Keypress: t
1079.7302 	DATA 	Keypress: t
1081.2146 	DATA 	Keypress: t
1082.7182 	DATA 	Keypress: t
1084.2306 	DATA 	Keypress: t
1085.7155 	DATA 	Keypress: t
1087.2150 	DATA 	Keypress: t
1088.7291 	DATA 	Keypress: t
1090.2310 	DATA 	Keypress: t
1091.7299 	DATA 	Keypress: t
1093.2299 	DATA 	Keypress: t
1094.7300 	DATA 	Keypress: t
1096.2295 	DATA 	Keypress: t
1097.7310 	DATA 	Keypress: t
1099.2293 	DATA 	Keypress: t
1100.7149 	DATA 	Keypress: t
1102.2157 	DATA 	Keypress: t
1103.7153 	DATA 	Keypress: t
1206.5354 	DATA 	Keypress: return
1206.5472 	EXP 	Fixation_horz: autoDraw = False
1206.5472 	EXP 	Fixation_vert: autoDraw = False
1206.5472 	EXP 	Done_text: autoDraw = True
1208.6469 	DATA 	Keypress: return
1208.6598 	EXP 	Done_text: autoDraw = False
1208.6607 	INFO 	saved data to 'C:\\Users\\Public\\Moore_fMRI\\DSP_PsychoPy\\data/21003_DSP_Resting_State.csv'
1208.6612 	INFO 	saved data to C:\Users\Public\Moore_fMRI\DSP_PsychoPy\data/21003_DSP_Resting_State.psydat
1208.6797 	EXP 	window1: mouseVisible = True
1208.6801 	DEBUG 	Saving data for DSP_Resting_State ExperimentHandler
