Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,main_task_start,real_timestamp_main_task_start,Ready_scanner_text.started,Ready_scanner_text.stopped,Ready_scanner_resp.keys,Ready_scanner_resp.rt,Ready_scanner_resp.started,Ready_scanner_resp.stopped,Learning_1_start,real_timestamp_learning_1_start,learning_1_end,real_timestamp_learning_1_end,learning_1_duration,Learning_1_instruction.started,Learning_1_instruction.stopped,Learning_1_3.started,Learning_1_3.stopped,Learning_1_2.started,Learning_1_2.stopped,Learning_1_1.started,Learning_1_1.stopped,Learning_1_fixation_horz.started,Learning_1_fixation_horz.stopped,Learning_1_fixation_vert.started,Learning_1_fixation_vert.stopped,learning_video_file_1,control_1_start,real_timestamp_control_1_start,control_1_end,real_timestamp_control_1_end,control_1_duration,Control_1_instruction.started,Control_1_instruction.stopped,Control_1_3.started,Control_1_3.stopped,Control_1_2.started,Control_1_2.stopped,Control_1_1.started,Control_1_1.stopped,Control_1_resp.keys,Control_1_resp.rt,Control_1_resp.started,Control_1_resp.stopped,Control_1_same_different_text.started,Control_1_same_different_text.stopped,Control_1_resp_recorded_text.started,Control_1_resp_recorded_text.stopped,Control_1_fixation_horz.started,Control_1_fixation_horz.stopped,Control_1_fixation_vert.started,Control_1_fixation_vert.stopped,control_video_file_1,Learning_2_start,real_timestamp_learning_2_start,learning_2_end,real_timestamp_learning_2_end,learning_2_duration,Learning_2_instruction.started,Learning_2_instruction.stopped,Learning_2_3.started,Learning_2_3.stopped,Learning_2_2.started,Learning_2_2.stopped,Learning_2_1.started,Learning_2_1.stopped,Learning_2_fixation_horz.started,Learning_2_fixation_horz.stopped,Learning_2_fixation_vert.started,Learning_2_fixation_vert.stopped,learning_video_file_2,control_2_start,real_timestamp_control_2_start,control_2_end,real_timestamp_control_2_end,control_2_duration,Control_2_instruction.started,Control_2_instruction.stopped,Control_2_3.started,Control_2_3.stopped,Control_2_2.started,Control_2_2.stopped,Control_2_1.started,Control_2_1.stopped,Control_2_resp.keys,Control_2_resp.rt,Control_2_resp.started,Control_2_resp.stopped,Control_2_same_different_text.started,Control_2_same_different_text.stopped,Control_2_resp_recorded_text.started,Control_2_resp_recorded_text.stopped,Control_2_fixation_horz.started,Control_2_fixation_horz.stopped,Control_2_fixation_vert.started,Control_2_fixation_vert.stopped,control_video_file_2,Learning_3_start,real_timestamp_learning_3_start,learning_3_end,real_timestamp_learning_3_end,learning_3_duration,Learning_3_instruction.started,Learning_3_instruction.stopped,Learning_3_3.started,Learning_3_3.stopped,Learning_3_2.started,Learning_3_2.stopped,Learning_3_1.started,Learning_3_1.stopped,Learning_3_fixation_horz.started,Learning_3_fixation_horz.stopped,Learning_3_fixation_vert.started,Learning_3_fixation_vert.stopped,learning_video_file_3,main_task_end,real_timestamp_main_task_end,main_task_duration,Done_text.started,Done_text.stopped,Done_resp.keys,Done_resp.rt,Done_resp.started,Done_resp.stopped,participant,run,group,version,date,expName,psychopyVersion,frameRate,
,,,,22.670554699958302,None,return,8.789896300062537,22.670554699958302,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21016,4,nor,D,2022_Nov_30_0900,DSP_Bold,2020.2.10,60.93938053869052,
,,,,,,,,,,31.49149227004964,None,31.49149227004964,None,None,31.49149227004964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21016,4,nor,D,2022_Nov_30_0900,DSP_Bold,2020.2.10,60.93938053869052,
0,0,0,0,,,,,,,,,,,,,,31.494133100030012,None,32.50913110002875,None,y,2.2963646000716835,32.50913110002875,None,34.827834800002165,None,b,1.5162792999763042,34.827834800002165,None,36.382247200002894,None,y,1,1.3602877999655902,36.382247200002894,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21016,4,nor,D,2022_Nov_30_0900,DSP_Bold,2020.2.10,60.93938053869052,
1,0,1,0,,,,,,,,,,,,,,37.762970600044355,None,38.77622120000888,None,y,2.0140387000283226,38.77622120000888,None,40.81161540001631,None,b,1.260501200100407,40.81161540001631,None,42.09359029994812,None,y,1,1.700498400023207,42.09359029994812,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21016,4,nor,D,2022_Nov_30_0900,DSP_Bold,2020.2.10,60.93938053869052,
2,0,2,0,,,,,,,,,,,,,,43.826842300011776,None,44.841789299971424,None,y,2.0132872000103816,44.841789299971424,None,46.87562549998984,None,b,1.4384608999826014,46.87562549998984,None,48.34423349995632,None,y,1,2.2341528000542894,48.34423349995632,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21016,4,nor,D,2022_Nov_30_0900,DSP_Bold,2020.2.10,60.93938053869052,
3,0,3,0,,,,,,,,,,,,,,50.614404699997976,None,51.625297200051136,None,y,2.6498893999960274,51.625297200051136,None,54.294195499969646,None,b,1.4149215000215918,54.294195499969646,None,55.726028300006874,None,n,0,0.3335376000031829,55.726028300006874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21016,4,nor,D,2022_Nov_30_0900,DSP_Bold,2020.2.10,60.93938053869052,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669816949.3739843,2022-11-30-09:02:29.373984,56.07780480000656,None,t,76.52643430000171,56.07780480000656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21016,4,nor,D,2022_Nov_30_0900,DSP_Bold,2020.2.10,60.93938053869052,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669816949.3739843,2022-11-30-09:02:29.373984,1669817030.3736098,2022-11-30-09:03:50.373610,80.99962544441223,132.62803419993725,135.64232240000274,135.6093581999885,136.60949619999155,136.60949619999155,137.6087710999418,137.6087710999418,138.61320449993946,198.6113091999432,None,198.6113091999432,None,./DSP_Videos/Learning/Learning_Normal.mp4,1669817030.3736098,2022-11-30-09:03:50.373610,1669817121.3578176,2022-11-30-09:05:21.357818,90.98420786857605,213.62778660003096,216.64230479998514,216.60910530004185,217.60938329994678,217.60938329994678,218.60967969999183,218.60967969999183,219.61027910001576,y,1.421725600026548,279.61339680000674,289.62628940003924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21016,4,nor,D,2022_Nov_30_0900,DSP_Bold,2020.2.10,60.93938053869052,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.61339680000674,281.07753030001186,281.07753030001186,289.61052600003313,289.61052600003313,None,289.61052600003313,None,./DSP_Videos/Control/Normal/Videos/Control_Route_1_Normal_A_000_same.mp4,1669817121.3578176,2022-11-30-09:05:21.357818,1669817202.3417444,2022-11-30-09:06:42.341744,80.98392677307129,304.6119493000442,307.6272562999511,307.593834899948,308.59362699999474,308.59362699999474,309.59322229993995,309.59322229993995,310.59388830000535,370.58143939997535,None,370.58143939997535,None,./DSP_Videos/Learning/Learning_Normal.mp4,1669817202.3417444,2022-11-30-09:06:42.341744,1669817293.325632,2022-11-30-09:08:13.325632,90.98388767242432,385.59559529996477,388.594610500033,388.57812690001447,389.57737820001785,389.57737820001785,390.57811090000905,390.57811090000905,391.5777254999848,b,3.171955000027083,451.5662171000149,461.5778641999932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21016,4,nor,D,2022_Nov_30_0900,DSP_Bold,2020.2.10,60.93938053869052,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.5662171000149,454.7792633000063,454.7792633000063,461.5778641999932,461.5778641999932,None,461.5778641999932,None,./DSP_Videos/Control/Normal/Videos/Control_Route_3_Normal_A_001_different.mp4,1669817293.325632,2022-11-30-09:08:13.325632,1669817374.3093622,2022-11-30-09:09:34.309362,80.98373007774353,476.57961390004493,479.5813276999397,479.565057800035,480.57827910000924,480.5616238999646,481.5630837000208,481.5630837000208,482.5630509000039,542.5493668999989,None,542.5493668999989,None,./DSP_Videos/Learning/Learning_Normal.mp4,1669817374.3093622,2022-11-30-09:09:34.309362,424.9353778362274,557.5635159999365,None,return,0.9279173000250012,557.5635159999365,None,21016,4,nor,D,2022_Nov_30_0900,DSP_Bold,2020.2.10,60.93938053869052,
