0.9342 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
9.7456 	INFO 	Loaded monitor calibration from ['2021_06_16 15:12']
9.7488 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
11.3339 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0.4, 0.4, 0.4]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000022427D441D0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000022427CFCBA8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.3347 	EXP 	window1: mouseVisible = True
11.3348 	EXP 	window1: recordFrameIntervals = False
11.4972 	EXP 	window1: recordFrameIntervals = True
11.6806 	DEBUG 	Screen (0) actual frame rate measured at 60.03
11.6806 	EXP 	window1: recordFrameIntervals = False
11.9586 	EXP 	Created Ready_experimenter_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.075, italic=False, languageStyle='LTR', name='Ready_experimenter_text', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='Waiting for the experimenter…', units='height', win=Window(...), wrapWidth=1.5)
11.9587 	EXP 	window1: mouseVisible = False
11.9638 	EXP 	Created Ready_scanner_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.075, italic=False, languageStyle='LTR', name='Ready_scanner_text', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='Waiting for the scanner…', units='height', win=Window(...), wrapWidth=1.5)
11.9659 	EXP 	Created Fixation_horz = Line(__class__=<class 'psychopy.visual.line.Line'>, autoDraw=False, autoLog=True, closeShape=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=UNKNOWN, interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=UNKNOWN, lineWidth=5, name='Fixation_horz', opacity=0.5, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
11.9667 	EXP 	Created Fixation_vert = Line(__class__=<class 'psychopy.visual.line.Line'>, autoDraw=False, autoLog=True, closeShape=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=None, depth=-2.0, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=UNKNOWN, interpolate=True, lineColor=array([-1, -1, -1]), lineColorSpace='rgb', lineRGB=UNKNOWN, lineWidth=5, name='Fixation_vert', opacity=0.5, ori=90.0, pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
11.9701 	EXP 	Created Done_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.075, italic=False, languageStyle='LTR', name='Done_text', opacity=1, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='Done!', units='height', win=Window(...), wrapWidth=1.5)
12.0121 	EXP 	Ready_experimenter_text: autoDraw = True
36.3898 	DATA 	Keypress: return
36.3971 	EXP 	Ready_experimenter_text: autoDraw = False
36.3971 	EXP 	Ready_scanner_text: autoDraw = True
248.8736 	DATA 	Keypress: t
248.8820 	EXP 	Ready_scanner_text: autoDraw = False
248.8820 	EXP 	Fixation_horz: autoDraw = True
248.8820 	EXP 	Fixation_vert: autoDraw = True
250.3673 	DATA 	Keypress: t
251.8673 	DATA 	Keypress: t
253.3682 	DATA 	Keypress: t
254.8704 	DATA 	Keypress: t
256.3690 	DATA 	Keypress: t
257.8692 	DATA 	Keypress: t
259.3710 	DATA 	Keypress: t
260.8609 	DATA 	Keypress: t
262.3703 	DATA 	Keypress: t
263.8697 	DATA 	Keypress: t
265.3686 	DATA 	Keypress: t
266.8685 	DATA 	Keypress: t
268.3698 	DATA 	Keypress: t
269.8674 	DATA 	Keypress: t
271.3681 	DATA 	Keypress: t
272.8698 	DATA 	Keypress: t
274.3671 	DATA 	Keypress: t
275.8700 	DATA 	Keypress: t
277.3687 	DATA 	Keypress: t
278.8712 	DATA 	Keypress: t
280.3687 	DATA 	Keypress: t
281.8695 	DATA 	Keypress: t
283.3702 	DATA 	Keypress: t
284.8670 	DATA 	Keypress: t
286.3681 	DATA 	Keypress: t
287.8696 	DATA 	Keypress: t
289.3667 	DATA 	Keypress: t
290.8697 	DATA 	Keypress: t
292.3704 	DATA 	Keypress: t
