trial_type	onset	duration	response_time	same_or_diff	response	correct	env_type	vid_file
instructions	0.0	5.994656399998348						
learning_vid	5.994656399998348	59.99030050000877					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
instructions	82.40376800001832	5.997473899973556						
control_vid	88.40124189999187	59.99993200000608					alternate	./DSP_Videos/Control/Alternate/Videos/Control_Route_1_Alternate_B_000_different.mp4
response	148.40117389999796	9.999966100003775		different	none_recorded	False		
instructions	173.40647519999766	5.97887500000067						
learning_vid	179.38535019999833	59.999816600000514					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
instructions	255.81477510000695	5.987770600011572						
control_vid	261.8025457000185	59.999739599996246					alternate	./DSP_Videos/Control/Alternate/Videos/Control_Route_2_Alternate_B_001_different.mp4
response	321.8022853000148	10.000003599998308		different	none_recorded	False		
instructions	346.8058999000059	5.980706000002101						
learning_vid	352.786605900008	59.999776699987706					alternate	./DSP_Videos/Learning/Learning_Alternate.mp4
