ParticipantNo: 12014
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_03
!!1_dsp2_03
0.02:  133.4,210.1,257.4045,
0.03:  133.4,210.1,257.4045,box 6,10
0.05:  133.4,210.1,257.4065,box 6,10
0.07:  133.4,210.1,257.4085,box 6,10
0.08:  133.4,210.1,257.4105,box 6,10
0.1:  133.4,210.1,257.4105,box 6,10
0.12:  133.4,210.1,257.4124,box 6,10
0.13:  133.4,210.1,257.4144,box 6,10
0.15:  133.4,210.1,257.4144,box 6,10
0.17:  133.4,210.1,257.4144,box 6,10
0.18:  133.4,210.1,257.4144,box 6,10
0.2:  133.4,210.1,257.4164,box 6,10
0.22:  133.4,210.1,257.4164,box 6,10
0.23:  133.4,210.1,257.4184,box 6,10
0.25:  133.4,210.1,257.4203,box 6,10
0.27:  133.4,210.1,257.4223,box 6,10
0.28:  133.4,210.1,257.4223,box 6,10
0.3:  133.4,210.1,257.4223,box 6,10
0.32:  133.4,210.1,257.4243,box 6,10
0.33:  133.4,210.1,257.4263,box 6,10
0.35:  133.4,210.1,257.4283,box 6,10
0.37:  133.4,210.1,257.4302,box 6,10
0.38:  133.4,210.1,257.4322,box 6,10
0.4:  133.4,210.1,257.4322,box 6,10
0.42:  133.4,210.1,257.4322,box 6,10
0.43:  133.4,210.1,257.4322,box 6,10
0.45:  133.4,210.1,257.4322,box 6,10
0.47:  133.4,210.1,257.4322,box 6,10
0.48:  133.4,210.1,257.4322,box 6,10
0.5:  133.4,210.1,257.4322,box 6,10
0.52:  133.4,210.1,257.4342,box 6,10
0.53:  133.4,210.1,257.4342,box 6,10
0.55:  133.4,210.1,257.4342,box 6,10
0.57:  133.4,210.1,257.4362,box 6,10
0.58:  133.4,210.1,257.4362,box 6,10
0.6:  133.4,210.1,257.4362,box 6,10
0.62:  133.4,210.1,257.4382,box 6,10
0.63:  133.4,210.1,257.4401,box 6,10
0.65:  133.4,210.1,257.4401,box 6,10
0.67:  133.4,210.1,257.4401,box 6,10
0.68:  133.4,210.1,257.4401,box 6,10
0.7:  133.4,210.1,257.4421,box 6,10
0.72:  133.4,210.1,257.4421,box 6,10
0.73:  133.4,210.1,257.4421,box 6,10
0.75:  133.4,210.1,257.4421,box 6,10
0.77:  133.4,210.1,257.4441,box 6,10
0.78:  133.4,210.1,257.4441,box 6,10
0.8:  133.4,210.1,257.4461,box 6,10
0.82:  133.4,210.1,257.4481,box 6,10
0.83:  133.4,210.1,257.45,box 6,10
0.85:  133.4,210.1,257.45,box 6,10
0.87:  133.4,210.1,257.45,box 6,10
0.88:  133.4,210.1,257.452,box 6,10
0.9:  133.4,210.1,257.454,box 6,10
0.92:  133.4,210.1,257.456,box 6,10
0.93:  133.4,210.1,257.456,box 6,10
0.95:  133.4,210.1,257.4579,box 6,10
0.97:  133.4,210.1,257.4579,box 6,10
0.98:  133.4,210.1,257.4579,box 6,10
1:  133.4,210.1,257.4579,box 6,10
1.02:  133.4,210.1,257.4599,box 6,10
1.03:  133.4,210.1,257.4619,box 6,10
1.05:  133.4,210.1,257.4639,box 6,10
1.07:  133.4,210.1,257.4639,box 6,10
1.08:  133.4,210.1,257.4639,box 6,10
1.1:  133.4,210.1,257.4659,box 6,10
1.12:  133.4,210.1,257.4678,box 6,10
1.13:  133.4,210.1,257.4698,box 6,10
1.15:  133.4,210.1,257.4718,box 6,10
1.17:  133.4,210.1,257.4738,box 6,10
1.18:  133.4,210.1,257.4757,box 6,10
1.2:  133.4,210.1,257.4777,box 6,10
1.22:  133.4,210.1,257.4797,box 6,10
1.23:  133.4,210.1,257.4817,box 6,10
1.25:  133.4,210.1,257.4817,box 6,10
1.27:  133.4,210.1,257.4836,box 6,10
1.28:  133.4,210.1,257.4856,box 6,10
1.3:  133.4,210.1,257.4856,box 6,10
1.32:  133.4,210.1,257.4856,box 6,10
1.33:  133.4,210.1,257.4856,box 6,10
1.35:  133.4,210.1,257.4876,box 6,10
1.37:  133.4,210.1,257.4876,box 6,10
1.38:  133.4,210.1,257.4896,box 6,10
1.4:  133.4,210.1,257.4916,box 6,10
1.42:  133.4,210.1,257.4936,box 6,10
1.43:  133.4,210.1,257.4955,box 6,10
1.45:  133.4,210.1,257.4975,box 6,10
1.47:  133.4,210.1,257.4995,box 6,10
1.48:  133.4,210.1,257.5015,box 6,10
1.5:  133.4,210.1,257.5034,box 6,10
1.52:  133.4,210.1,257.5034,box 6,10
1.53:  133.4,210.1,257.5054,box 6,10
1.55:  133.4,210.1,257.5054,box 6,10
1.57:  133.4,210.1,257.5054,box 6,10
1.58:  133.4,210.1,257.5054,box 6,10
1.6:  133.4,210.1,257.5054,box 6,10
1.62:  133.4,210.1,257.5054,box 6,10
1.63:  133.4,210.1,257.5054,box 6,10
1.65:  133.4,210.1,257.5074,box 6,10
1.67:  133.4,210.1,257.5094,box 6,10
1.68:  133.4,210.1,257.5114,box 6,10
1.7:  133.4,210.1,257.5114,box 6,10
1.72:  133.4,210.1,257.5134,box 6,10
1.73:  133.4,210.1,257.5154,box 6,10
1.75:  133.4,210.1,257.5173,box 6,10
1.77:  133.4,210.1,257.5173,box 6,10
1.78:  133.4,210.1,257.5173,box 6,10
1.8:  133.4,210.1,257.5173,box 6,10
1.82:  133.5066,210.1134,257.5173,box 6,10
1.83:  133.694,210.1125,257.5173,box 6,10
1.85:  133.9406,210.1093,257.5173,box 6,10
1.87:  134.2057,210.1028,257.5173,box 6,10
1.88:  134.4508,210.0967,257.5173,box 6,10
1.9:  134.7046,210.0904,257.5173,box 6,10
1.92:  134.968,210.0839,257.5173,box 6,10
1.93:  135.218,210.0748,257.5173,box 6,10
1.95:  135.4691,210.0662,257.5173,box 6,10
1.97:  135.7338,210.0596,257.5173,box 6,10
