ParticipantNo: 11016
Time for Trials (seconds): 60
Controller type: Keyboard and Mouse
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_21
!!1_dsp1_21
0.02:  112.6,113,143,
0.03:  112.6,113,143,box 5,5
0.05:  112.6,113,143,box 5,5
0.07:  112.6,113,143,box 5,5
0.08:  112.6,113,143,box 5,5
0.1:  112.6,113,143,box 5,5
0.12:  112.6,113,143,box 5,5
0.13:  112.6,113,143,box 5,5
0.15:  112.6,113,143,box 5,5
0.17:  112.6,113,143,box 5,5
0.18:  112.6,113,143,box 5,5
0.2:  112.6,113,143,box 5,5
0.22:  112.6,113,143,box 5,5
0.23:  112.6,113,143,box 5,5
0.25:  112.6,113,143,box 5,5
0.27:  112.6,113,143,box 5,5
0.28:  112.6,113,143,box 5,5
0.3:  112.6,113,143,box 5,5
0.32:  112.6,113,143,box 5,5
0.33:  112.6,113,143,box 5,5
0.35:  112.6,113,143.2,box 5,5
0.37:  112.6,113,143.7,box 5,5
0.38:  112.6,113,144.4,box 5,5
0.4:  112.6,113,145.3,box 5,5
0.42:  112.6,113,146.9,box 5,5
0.43:  112.6,113,148.5,box 5,5
0.45:  112.6,113,149.7,box 5,5
0.47:  112.6,113,152.6,box 5,5
0.48:  112.6,113,154.3,box 5,5
0.5:  112.6,113,157.2,box 5,5
0.52:  112.6,113,160.4,box 5,5
0.53:  112.6,113,164.8,box 5,5
0.55:  112.6,113,169.4,box 5,5
0.57:  112.6,113,177.2,box 5,5
0.58:  112.6,113,182.2,box 5,5
0.6:  112.6,113,186.8,box 5,5
0.62:  112.6,113,190.4,box 5,5
0.63:  112.6,113,192.7,box 5,5
0.65:  112.6,113,194.1,box 5,5
0.67:  112.6,113,194.4,box 5,5
0.69:  112.6,113,194.4,box 5,5
0.7:  112.6,113,194.4,box 5,5
0.72:  112.6,113,194.4,box 5,5
0.73:  112.6,113,194.4,box 5,5
0.75:  112.6,113,194.5,box 5,5
0.77:  112.6,113,194.6,box 5,5
0.79:  112.6,113,194.8,box 5,5
0.8:  112.6,113,195,box 5,5
0.82:  112.6,113,195.2,box 5,5
0.84:  112.6,113,195.7,box 5,5
0.85:  112.6,113,197.1,box 5,5
0.87:  112.6,113,197.9,box 5,5
0.89:  112.6,113,201.7,box 5,5
0.9:  112.6,113,204.9,box 5,5
0.92:  112.6,113,208.8,box 5,5
0.93:  112.6,113,212.9,box 5,5
0.95:  112.6,113,217.4,box 5,5
0.97:  112.6,113,222,box 5,5
0.98:  112.6,113,228.6,box 5,5
1:  112.6,113,233.3,box 5,5
1.02:  112.6,113,237.4,box 5,5
1.03:  112.6,113,241.7,box 5,5
1.05:  112.6,113,245.8,box 5,5
1.07:  112.6,113,249.5,box 5,5
1.08:  112.6,113,253.4,box 5,5
1.1:  112.6,113,255.3,box 5,5
1.12:  112.6,113,256,box 5,5
1.13:  112.6,113,256.4,box 5,5
1.15:  112.6,113,256.7,box 5,5
1.17:  112.6,113,257.2,box 5,5
1.18:  112.6,113,257.7,box 5,5
1.2:  112.6,113,258.1,box 5,5
1.22:  112.6,113,258.2,box 5,5
1.23:  112.6,113,258.2,box 5,5
1.25:  112.6,113,258,box 5,5
1.27:  112.6,113,257.8,box 5,5
1.28:  112.6,113,257.6,box 5,5
1.3:  112.6,113,257.5,box 5,5
1.32:  112.6,113,257.5,box 5,5
1.33:  112.6,113,257.5,box 5,5
1.35:  112.6,113,257.3,box 5,5
1.37:  112.6,113,257.2,box 5,5
1.38:  112.6,113,257.2,box 5,5
1.4:  112.6,113,257.5,box 5,5
1.42:  112.6,113,258.8,box 5,5
1.43:  112.6,113,260.1,box 5,5
1.45:  112.6,113,261.3,box 5,5
1.47:  112.6,113,262.4,box 5,5
1.48:  112.6,113,263.1,box 5,5
1.5:  112.6,113,263.2,box 5,5
1.52:  112.5893,112.9987,263.2,box 5,5
1.53:  112.5623,112.9956,263.3,box 5,5
1.55:  112.5297,112.9917,263.3,box 5,5
1.57:  112.4758,112.9854,263.3,box 5,5
1.58:  112.4131,112.978,263.3,box 5,5
1.6:  112.3457,112.9701,263.3,box 5,5
1.62:  112.2599,112.9591,262.7,box 5,5
1.63:  112.162,112.9454,262,box 5,5
1.65:  112.0416,112.928,261.8,box 5,5
1.67:  111.9291,112.911,261.4,box 5,5
1.68:  111.7817,112.8879,261.1,box 5,5
1.7:  111.6479,112.867,261.1,box 5,5
1.72:  111.4877,112.8419,261.1,box 5,5
1.73:  111.3147,112.8157,261.4,box 5,5
1.75:  111.1303,112.7924,262.8,box 5,5
1.77:  110.9316,112.7698,263.5,box 5,5
1.78:  110.7046,112.7455,263.9,box 5,5
1.8:  110.4989,112.7235,263.9,box 5,5
1.82:  110.2643,112.6985,263.9,box 5,5
1.83:  110.0173,112.6721,263.9,box 5,5
1.85:  109.7697,112.6456,263.9,box 5,5
1.87:  109.5209,112.619,263.9,box 5,5
1.88:  109.2733,112.5926,263.9,box 5,5
1.9:  109.0246,112.566,263.9,box 5,5
1.92:  108.7562,112.5373,263.9,box 5,5
1.93:  108.5114,112.5111,263.9,box 5,5
1.95:  108.2792,112.4863,263.9,box 5,5
1.97:  108.0301,112.4597,263.9,box 5,5
1.98:  107.7617,112.431,263.9,box 5,5
2:  107.5306,112.4063,263.9,box 5,5
2.02:  107.2844,112.38,263.9,box 5,5
2.03:  107.0326,112.3531,263.9,box 5,5
2.05:  106.7869,112.3268,263.9,box 5,5
2.07:  106.541,112.3006,263.9,box 5,5
2.08:  106.2734,112.2719,263.9,box 5,5
2.1:  106.0181,112.2447,263.9,box 5,5
2.12:  105.7873,112.22,263.9,box 5,5
2.13:  105.5214,112.1916,263.9,box 5,5
2.15:  105.2956,112.1675,263.9,box 5,5
2.17:  105.0232,112.1384,263.9,box 5,6
2.18:  104.7745,112.1118,263.9,box 5,6
2.2:  104.5341,112.0861,263.9,box 5,6
2.22:  104.3006,112.0611,263.9,box 5,6
2.23:  104.0346,112.0327,263.9,box 5,6
2.25:  103.8027,112.0079,263.9,box 5,6
2.27:  103.5561,111.9816,263.9,box 5,6
2.28:  103.3038,111.9546,263.9,box 5,6
2.3:  103.0584,111.9284,263.9,box 5,6
2.32:  102.8085,111.9017,263.9,box 5,6
2.33:  102.563,111.8754,263.9,box 5,6
2.35:  102.3116,111.8481,263.8,box 5,6
2.37:  102.0631,111.8207,263.7,box 5,6
2.38:  101.8181,111.7932,263.6,box 5,6
2.4:  101.549,111.763,263.6,box 5,6
2.42:  101.3002,111.7351,263.6,box 5,6
2.43:  101.0663,111.7089,263.6,box 5,6
2.45:  100.8194,111.6812,263.6,box 5,6
2.47:  100.5717,111.6534,263.6,box 5,6
2.48:  100.3037,111.6233,263.6,box 5,6
2.5:  100.078,111.5988,263.8,box 5,6
2.52:  99.82548,111.5723,264,box 5,6
2.53:  99.57788,111.5484,264.5,box 5,6
2.55:  99.33033,111.5268,265,box 5,6
2.57:  99.05083,111.5053,265.6,box 5,6
2.58:  98.8129,111.4907,266.5,box 5,6
2.6:  98.57461,111.4811,267.7,box 5,6
2.62:  98.33113,111.4782,269.3,box 5,6
2.63:  98.08377,111.4825,271,box 5,6
2.65:  97.83049,111.4975,273.4,box 5,6
2.67:  97.55898,111.528,276.4,box 5,6
2.68:  97.3215,111.5631,278.4,box 5,6
2.7:  97.08307,111.603,279.5,box 5,6
2.72:  96.84354,111.6351,280.4,box 5,6
2.73:  96.59176,111.6592,281.1,box 5,6
2.75:  96.34292,111.6765,282.4,box 5,6
2.77:  96.0656,111.687,283.6,box 5,6
2.78:  95.80116,111.6951,286,box 5,6
2.8:  95.55039,111.7,287.9,box 5,6
2.82:  95.30063,111.7016,289.6,box 5,6
2.83:  95.0353,111.7006,291.5,box 5,6
2.85:  94.75369,111.6962,293.3,box 5,6
2.87:  94.47638,111.6897,295.2,box 5,6
2.88:  94.19038,111.6839,297.6,box 5,6
2.9:  93.89769,111.6857,301.3,box 5,6
2.92:  93.59554,111.6897,303.8,box 5,6
2.94:  93.25631,111.698,306.6,box 5,6
2.95:  92.92243,111.7091,309.1,box 5,6
2.97:  92.66589,111.7197,311,box 5,6
2.99:  92.29467,111.746,314.6,box 5,6
3:  91.98155,111.7687,316.2,box 5,6
3.02:  91.614,111.7957,317.9,box 5,6
3.03:  91.30604,111.8163,318.8,box 5,6
3.05:  90.95126,111.8424,319.2,box 5,6
3.07:  90.59988,111.8682,319.2,box 5,6
3.08:  90.24728,111.8941,319.2,box 5,6
3.1:  89.8952,111.9199,319.2,box 5,6
3.12:  89.54098,111.9459,319.2,box 5,6
3.13:  89.19096,111.9723,319.3,box 5,6
3.15:  88.7924,112.0029,319.4,box 5,6
3.17:  88.44351,112.0316,319.7,box 5,6
3.18:  88.10011,112.0623,320.1,box 5,6
3.2:  87.73796,112.1022,321.3,box 5,6
3.22:  87.42986,112.1363,321.3,box 5,6
3.23:  87.0775,112.1752,321.3,box 5,6
3.25:  86.72649,112.2139,321.3,box 5,6
3.27:  86.37307,112.2529,321.3,box 5,6
3.28:  86.02322,112.2916,321.3,box 5,6
3.3:  85.6713,112.3304,321.3,box 5,6
3.32:  85.32214,112.369,321.3,box 5,6
3.34:  84.92689,112.4126,321.3,box 5,6
3.35:  84.59851,112.4488,321.3,box 5,7
3.37:  84.26588,112.4856,321.3,box 5,7
3.38:  83.89964,112.526,321.3,box 5,7
3.4:  83.56489,112.563,321.3,box 5,7
3.42:  83.21103,112.602,321.3,box 5,7
3.43:  82.85831,112.641,321.3,box 5,7
3.45:  82.51205,112.6792,321.3,box 5,7
3.47:  82.15873,112.7182,321.3,box 5,7
3.48:  81.80678,112.7571,321.3,box 5,7
3.5:  81.45508,112.7959,321.3,box 5,7
3.52:  81.11011,112.834,321.3,box 5,7
3.53:  80.75305,112.8734,321.3,box 5,7
3.55:  80.36466,112.9163,321.3,box 5,7
3.57:  80.05043,112.951,321.3,box 5,7
3.59:  79.65329,112.992,320.9,box 5,7
3.6:  79.3426,113.0186,319.9,box 5,7
3.62:  78.9924,113.0425,318.9,box 5,7
3.63:  78.59832,113.0542,316.7,box 5,7
3.65:  78.2498,113.0573,315.5,box 5,7
3.67:  77.91016,113.0472,313.3,box 5,7
3.68:  77.58676,113.024,310.9,box 5,7
3.7:  77.22778,112.9831,308.5,box 5,7
3.72:  76.88208,112.929,306.1,box 5,7
3.74:  76.49004,112.8449,302.9,box 5,7
3.75:  76.18816,112.7741,301.8,box 5,7
3.77:  75.84335,112.6875,300.9,box 5,7
3.78:  75.50366,112.5977,300.2,box 5,7
3.8:  75.16527,112.5052,299.7,box 5,7
3.82:  74.8222,112.41,299.5,box 5,7
3.83:  74.48743,112.3166,299.4,box 5,7
3.85:  74.14713,112.2215,299.4,box 5,7
3.87:  73.78549,112.1206,299.4,box 5,7
3.88:  73.46465,112.031,299.4,box 5,7
3.9:  73.12267,111.9355,299.4,box 5,7
3.92:  72.77925,111.8396,299.4,box 5,7
3.93:  72.44767,111.7561,299.4,box 5,7
3.95:  72.11745,111.6793,298.9,box 5,7
3.97:  71.80093,111.6144,298.8,box 5,7
3.98:  71.48486,111.5587,298.7,box 5,7
4:  71.17454,111.5141,298.7,box 5,7
4.02:  70.87347,111.4807,298.7,box 5,7
4.03:  70.57366,111.4579,298.7,box 5,7
4.05:  70.28479,111.4463,298.7,box 5,7
4.07:  69.97901,111.4463,298.7,box 5,7
4.08:  69.70492,111.4569,298.7,box 5,7
4.1:  69.44792,111.4767,298.7,box 5,7
4.12:  69.17921,111.509,298.7,box 5,7
4.13:  68.91474,111.5518,298.5,box 5,7
4.15:  68.65762,111.6026,297.9,box 5,7
4.17:  68.39124,111.6657,297.2,box 5,7
4.18:  68.15176,111.7284,295.9,box 5,7
4.2:  67.91638,111.7967,294.7,box 5,7
4.22:  67.68048,111.8731,293.7,box 5,7
4.23:  67.44329,111.9571,292.4,box 5,7
4.25:  67.20983,112.0457,290.8,box 5,7
4.27:  66.95775,112.1335,289.2,box 5,7
4.28:  66.73461,112.1991,286.4,box 5,7
4.3:  66.49435,112.2635,285,box 5,7
4.32:  66.24975,112.324,283.9,box 5,7
4.33:  66.00983,112.3799,283.1,box 5,7
4.35:  65.763,112.4351,282.6,box 5,7
4.37:  65.50085,112.4932,282.5,box 5,7
4.38:  65.2753,112.5432,282.5,box 5,8
4.4:  65.03043,112.5975,282.5,box 5,8
4.42:  64.7888,112.651,282.5,box 5,8
4.43:  64.54253,112.7056,282.5,box 5,8
4.45:  64.29829,112.7598,282.5,box 5,8
4.47:  64.05705,112.8132,282.5,box 5,8
4.48:  63.81062,112.8679,282.5,box 5,8
4.5:  63.56641,112.922,282.5,box 5,8
4.52:  63.30579,112.9798,282.5,box 5,8
4.53:  63.07747,113.0304,282.5,box 5,8
4.55:  62.83718,113.0837,282.5,box 5,8
4.57:  62.57686,113.1414,282.5,box 5,8
4.58:  62.34115,113.1937,282.5,box 5,8
4.6:  62.10352,113.2463,282.5,box 5,8
4.62:  61.85834,113.3007,282.5,box 5,8
4.63:  61.61465,113.3547,282.5,box 5,8
4.65:  61.36935,113.4091,282.5,box 5,8
4.67:  61.12573,113.4631,282.5,box 5,8
4.68:  60.86591,113.5207,282.5,box 5,8
4.7:  60.63779,113.5713,282.5,box 5,8
4.72:  60.39487,113.6251,282.5,box 5,8
4.73:  60.14862,113.6797,282.5,box 5,8
4.75:  59.90635,113.7334,282.5,box 5,8
4.77:  59.66167,113.7877,282.5,box 5,8
4.78:  59.40396,113.8448,282.5,box 5,8
4.8:  59.17327,113.896,282.5,box 5,8
4.82:  58.92937,113.9496,282.4,box 5,8
4.83:  58.68942,114.0019,282.3,box 5,8
4.85:  58.44062,114.0557,282.2,box 5,8
4.87:  58.19506,114.1083,282.1,box 5,8
4.88:  57.93901,114.1632,282.1,box 5,8
4.9:  57.70374,114.2132,282,box 5,8
4.92:  57.44846,114.2675,282,box 5,8
4.93:  57.20762,114.3187,282,box 5,8
4.95:  56.97179,114.3688,282,box 5,8
4.97:  56.72971,114.4203,282,box 5,8
4.98:  56.48292,114.4727,282,box 5,8
5:  56.24137,114.5241,282,box 5,8
5.02:  55.99549,114.5763,282,box 5,8
5.03:  55.74947,114.6286,282,box 5,8
5.05:  55.50695,114.6802,282,box 5,8
5.07:  55.26252,114.7321,282,box 5,8
5.08:  55.00429,114.787,282,box 5,8
5.1:  54.76184,114.8386,282,box 5,8
5.12:  54.52713,114.8885,282,box 5,8
5.13:  54.28344,114.9402,282,box 5,8
5.15:  54.03887,114.9922,282,box 5,8
5.17:  53.77974,115.0473,282,box 5,8
5.18:  53.53751,115.0988,282,box 5,8
5.2:  53.29578,115.1502,282,box 5,8
5.22:  53.05781,115.1889,282,box 5,8
5.23:  52.79335,115.2178,282,box 5,8
5.25:  52.56088,115.2325,282,box 5,8
5.27:  52.28366,115.2354,282,box 5,8
5.28:  52.03731,115.2268,282,box 5,8
5.3:  51.78377,115.2064,282,box 5,8
5.32:  51.51981,115.173,282,box 5,8
5.33:  51.25566,115.1278,282,box 5,8
5.35:  50.97144,115.0659,282,box 5,8
5.37:  50.71862,115.0007,282,box 5,8
5.38:  50.44672,114.9185,281.9,box 5,8
5.4:  50.17088,114.8237,281.9,box 5,8
5.42:  49.87455,114.7089,281.9,box 5,8
5.43:  49.61001,114.5965,281.9,box 5,8
5.45:  49.32972,114.4665,281.9,box 5,8
5.47:  49.04433,114.3231,281.9,box 5,8
5.48:  48.75761,114.1902,281.9,box 5,8
5.5:  48.48483,114.0743,281.9,box 5,8
5.52:  48.18975,113.9614,281.9,box 5,8
5.53:  47.92849,113.8715,281.9,box 5,8
5.55:  47.65379,113.7886,281.9,box 5,8
5.57:  47.38465,113.7186,281.9,box 5,8
5.58:  47.11914,113.661,281.9,box 5,8
5.6:  46.83899,113.6133,281.9,box 5,8
5.62:  46.58229,113.5808,281.9,box 5,8
5.63:  46.32523,113.56,281.9,box 5,8
5.65:  46.06786,113.5511,281.9,box 5,8
5.67:  45.81359,113.5544,281.9,box 5,8
5.68:  45.56017,113.5701,281.9,box 5,8
5.7:  45.30318,113.5992,281.9,box 5,8
5.72:  45.06837,113.637,281.9,box 5,8
5.73:  44.82616,113.6881,281.9,box 5,9
5.75:  44.57932,113.7401,281.9,box 5,9
5.77:  44.33469,113.7916,281.9,box 5,9
5.78:  44.09132,113.8429,281.9,box 5,9
5.8:  43.84512,113.8948,281.9,box 5,9
5.82:  43.60141,113.9462,281.9,box 5,9
5.83:  43.35627,113.9978,281.9,box 5,9
5.85:  43.1118,114.0493,281.9,box 5,9
5.87:  42.86718,114.1009,281.9,box 5,9
5.88:  42.62362,114.1522,281.9,box 5,9
5.9:  42.37885,114.2038,281.9,box 5,9
5.92:  42.13376,114.2554,281.9,box 5,9
5.93:  41.88939,114.3069,281.9,box 5,9
5.95:  41.64749,114.3579,281.9,box 5,9
5.97:  41.40017,114.41,281.9,box 5,9
5.98:  41.1472,114.4633,281.9,box 5,9
6:  40.90737,114.5019,281.9,box 5,9
6.02:  40.65796,114.5293,281.9,box 5,9
6.03:  40.40467,114.5445,281.9,box 5,9
6.05:  40.15063,114.5475,281.9,box 5,9
6.07:  39.89421,114.5384,281.9,box 5,9
6.08:  39.6381,114.5174,281.9,box 5,9
6.1:  39.37297,114.4835,281.9,box 5,9
6.12:  39.10449,114.4374,282,box 5,9
6.13:  38.84225,114.3812,282,box 5,9
6.15:  38.5672,114.3101,282,box 5,9
6.17:  38.2948,114.2281,282,box 5,9
6.18:  38.01763,114.1332,282,box 5,9
6.2:  37.73983,114.0273,282.1,box 5,9
6.22:  37.45028,113.9051,282.1,box 5,9
6.23:  37.1726,113.7772,282.1,box 5,9
6.25:  36.88765,113.635,282.1,box 5,9
6.27:  36.60025,113.4808,282.1,box 5,9
6.28:  36.30124,113.3097,282.2,box 5,9
6.3:  36.01612,113.1372,282.3,box 5,9
6.32:  35.71547,112.9468,282.6,box 5,9
6.33:  35.40265,112.7521,283.1,box 5,9
6.35:  35.11059,112.5731,283.5,box 5,9
6.37:  34.80849,112.3937,284.3,box 5,9
6.38:  34.50122,112.2191,285.4,box 5,9
6.4:  34.17445,112.0469,287.2,box 5,9
6.42:  33.86669,111.8974,289.1,box 5,9
6.43:  33.53953,111.7511,290.9,box 5,9
6.45:  33.22075,111.6197,292.6,box 5,9
6.47:  32.88861,111.4988,295,box 5,9
6.48:  32.53804,111.3869,297.3,box 5,9
6.5:  32.21251,111.2942,299.1,box 5,9
6.52:  31.86819,111.2191,302.7,box 5,9
6.53:  31.51696,111.1508,304,box 5,9
6.55:  31.16696,111.0923,305.5,box 5,9
6.57:  30.81782,111.0407,306.6,box 5,9
6.58:  30.46471,110.9917,307.1,box 5,9
6.6:  30.11546,110.9464,307.6,box 5,9
6.62:  29.73235,110.8986,307.9,box 5,9
6.63:  29.41892,110.8607,308.1,box 5,9
6.65:  29.03352,110.8175,308.6,box 5,9
6.67:  28.70016,110.7824,309,box 5,9
6.68:  28.35853,110.7483,309.3,box 5,9
6.7:  28.01099,110.7173,309.9,box 5,9
