ParticipantNo: 12018
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_22
!!1_dsp2_22
0.02:  112.6,111.5,90.84771,
0.03:  112.6,111.5,90.84771,box 5,5
0.05:  112.6,111.5,90.84771,box 5,5
0.07:  112.6,111.5,90.84771,box 5,5
0.08:  112.6,111.5,90.84771,box 5,5
0.1:  112.6,111.5,90.84771,box 5,5
0.12:  112.6,111.5,90.84771,box 5,5
0.13:  112.6,111.5,90.84771,box 5,5
0.15:  112.6,111.5,90.84771,box 5,5
0.17:  112.6,111.5,90.84771,box 5,5
0.18:  112.6,111.5,90.8497,box 5,5
0.2:  112.6,111.5,90.8497,box 5,5
0.22:  112.6,111.5,90.8497,box 5,5
0.23:  112.6,111.5,90.8497,box 5,5
0.25:  112.6,111.5,90.8497,box 5,5
0.27:  112.6,111.5,90.8497,box 5,5
0.28:  112.6,111.5,90.8497,box 5,5
0.3:  112.6,111.5,90.8497,box 5,5
0.32:  112.6,111.5,90.8497,box 5,5
0.33:  112.6,111.5,90.8497,box 5,5
0.35:  112.6,111.5,90.85168,box 5,5
0.37:  112.6,111.5,90.85168,box 5,5
0.38:  112.6,111.5,90.85168,box 5,5
0.4:  112.6,111.5,90.85168,box 5,5
0.42:  112.6,111.5,90.85168,box 5,5
0.43:  112.6,111.5,90.85168,box 5,5
0.45:  112.6,111.5,90.85168,box 5,5
0.47:  112.6,111.5,90.85168,box 5,5
0.48:  112.6,111.5,90.85168,box 5,5
0.5:  112.6,111.5,90.85168,box 5,5
0.52:  112.6,111.5,90.85168,box 5,5
0.53:  112.6,111.5,90.85168,box 5,5
0.55:  112.6,111.5,90.85168,box 5,5
0.57:  112.6,111.5,90.8497,box 5,5
0.58:  112.6,111.5,90.84138,box 5,5
0.6:  112.6,111.5,90.83306,box 5,5
0.62:  112.6,111.5,90.80573,box 5,5
0.63:  112.6,111.5,90.72768,box 5,5
0.65:  112.6,111.5,90.52924,box 5,5
0.67:  112.6,111.5,90.19769,box 5,5
0.68:  112.6,111.5,89.78374,box 5,5
0.7:  112.6,111.5,89.28107,box 5,5
0.72:  112.6,111.5,88.68966,box 5,5
0.73:  112.6,111.5,87.99052,box 5,5
0.75:  112.6,111.5,87.21531,box 5,5
0.77:  112.6,111.5,86.42743,box 5,5
0.78:  112.6,111.5,85.63955,box 5,5
0.8:  112.6,111.5,84.85167,box 5,5
0.82:  112.6,111.5,84.06379,box 5,5
0.83:  112.6,111.5,83.27591,box 5,5
0.85:  112.6,111.5,82.48803,box 5,5
0.87:  112.6,111.5,81.70015,box 5,5
0.88:  112.6,111.5,80.91227,box 5,5
0.9:  112.6,111.5,80.12439,box 5,5
0.92:  112.6,111.5,79.33652,box 5,5
0.93:  112.6,111.5,78.54863,box 5,5
0.95:  112.6,111.5,77.76075,box 5,5
0.97:  112.6,111.5,76.97287,box 5,5
0.98:  112.6,111.5,76.18499,box 5,5
1:  112.6,111.5,75.39711,box 5,5
1.02:  112.6,111.5,74.60924,box 5,5
1.03:  112.6,111.5,73.82137,box 5,5
1.05:  112.6,111.5,73.03349,box 5,5
1.07:  112.6,111.5,72.24561,box 5,5
1.08:  112.6,111.5,71.45773,box 5,5
1.1:  112.6,111.5,70.66985,box 5,5
1.12:  112.6,111.5,69.88197,box 5,5
1.13:  112.6,111.5,69.09409,box 5,5
1.15:  112.6,111.5,68.30621,box 5,5
1.17:  112.6,111.5,67.51833,box 5,5
1.18:  112.6,111.5,66.73045,box 5,5
1.2:  112.6,111.5,65.94257,box 5,5
1.22:  112.6,111.5,65.1547,box 5,5
1.23:  112.6,111.5,64.36682,box 5,5
1.25:  112.6,111.5,63.57894,box 5,5
1.27:  112.6,111.5,62.79107,box 5,5
1.28:  112.6,111.5,62.00318,box 5,5
1.3:  112.6,111.5,61.21531,box 5,5
1.32:  112.6,111.5,60.42743,box 5,5
1.33:  112.6,111.5,59.63955,box 5,5
1.35:  112.6,111.5,58.85167,box 5,5
1.37:  112.6,111.5,58.06379,box 5,5
1.38:  112.6,111.5,57.27591,box 5,5
1.4:  112.6,111.5,56.48803,box 5,5
1.42:  112.6,111.5,55.70015,box 5,5
1.43:  112.6,111.5,54.91228,box 5,5
1.45:  112.6,111.5,54.12439,box 5,5
1.47:  112.6,111.5,53.33652,box 5,5
1.48:  112.6,111.5,52.54864,box 5,5
1.5:  112.6,111.5,51.76076,box 5,5
1.52:  112.6,111.5,50.97288,box 5,5
1.53:  112.6,111.5,50.18501,box 5,5
1.55:  112.6,111.5,49.39713,box 5,5
1.57:  112.6,111.5,48.60925,box 5,5
1.58:  112.6,111.5,47.82137,box 5,5
1.6:  112.6,111.5,47.03349,box 5,5
1.62:  112.6,111.5,46.24561,box 5,5
1.63:  112.6,111.5,45.45773,box 5,5
1.65:  112.6,111.5,44.66986,box 5,5
1.67:  112.6,111.5,43.88197,box 5,5
1.68:  112.6,111.5,43.0941,box 5,5
1.7:  112.6,111.5,42.30622,box 5,5
1.72:  112.6,111.5,41.51834,box 5,5
1.73:  112.6,111.5,40.73046,box 5,5
1.75:  112.6,111.5,39.94258,box 5,5
1.77:  112.6,111.5,39.1547,box 5,5
1.78:  112.6,111.5,38.36682,box 5,5
1.8:  112.6,111.5,37.57894,box 5,5
1.82:  112.6,111.5,36.79107,box 5,5
1.83:  112.6,111.5,36.00319,box 5,5
1.85:  112.6,111.5,35.21531,box 5,5
1.87:  112.6,111.5,34.42743,box 5,5
1.88:  112.6,111.5,33.63955,box 5,5
1.9:  112.6,111.5,32.85168,box 5,5
1.92:  112.6,111.5,32.06379,box 5,5
1.93:  112.6,111.5,31.27592,box 5,5
1.95:  112.6,111.5,30.48804,box 5,5
1.97:  112.6,111.5,29.70017,box 5,5
1.98:  112.6,111.5,28.91228,box 5,5
2:  112.6,111.5,28.1244,box 5,5
2.02:  112.6,111.5,27.33653,box 5,5
2.03:  112.6,111.5,26.54865,box 5,5
2.05:  112.6,111.5,25.76077,box 5,5
2.07:  112.6,111.5,24.97289,box 5,5
2.08:  112.6,111.5,24.18501,box 5,5
2.1:  112.6,111.5,23.39713,box 5,5
2.12:  112.6,111.5,22.60925,box 5,5
2.13:  112.6,111.5,21.82771,box 5,5
2.15:  112.6,111.5,21.03984,box 5,5
2.17:  112.6,111.5,20.25196,box 5,5
2.18:  112.6,111.5,19.46408,box 5,5
2.2:  112.6,111.5,18.68254,box 5,5
2.22:  112.6,111.5,17.89466,box 5,5
2.23:  112.6,111.5,17.10678,box 5,5
2.25:  112.6,111.5,16.3189,box 5,5
2.27:  112.6,111.5,15.53102,box 5,5
2.28:  112.6,111.5,14.74315,box 5,5
2.3:  112.6,111.5,13.95527,box 5,5
2.32:  112.6,111.5,13.16739,box 5,5
2.33:  112.6,111.5,12.37951,box 5,5
2.35:  112.6,111.5,11.59163,box 5,5
2.37:  112.6,111.5,10.81009,box 5,5
2.38:  112.6,111.5,10.06024,box 5,5
2.4:  112.6,111.5,9.361091,box 5,5
2.42:  112.6,111.5,8.731658,box 5,5
2.43:  112.6,111.5,8.235322,box 5,5
2.45:  112.6,111.5,7.903771,box 5,5
2.47:  112.6,111.5,7.825737,box 5,5
2.48:  112.6,111.5,7.792067,box 5,5
2.5:  112.6,111.5,7.764736,box 5,5
2.52:  112.6,111.5,7.743742,box 5,5
2.53:  112.6,111.5,7.722746,box 5,5
2.55:  112.6,111.5,7.695415,box 5,5
2.57:  112.6,111.5,7.67442,box 5,5
2.58:  112.6,111.5,7.653426,box 5,5
2.6:  112.6,111.5,7.632432,box 5,5
2.62:  112.6,111.5,7.611437,box 5,5
2.63:  112.6,111.5,7.584105,box 5,5
2.65:  112.6,111.5,7.550435,box 5,5
2.67:  112.6,111.5,7.510427,box 5,5
2.68:  112.6,111.5,7.464081,box 5,5
2.7:  112.6,111.5,7.398721,box 5,5
2.72:  112.6,111.5,7.257308,box 5,5
2.73:  112.6,111.5,7.058853,box 5,5
2.75:  112.6,111.5,6.784342,box 5,5
2.77:  112.6,111.5,6.440115,box 5,5
2.78:  112.6,111.5,6.026173,box 5,5
2.8:  112.6,111.5,5.555189,box 5,5
2.82:  112.6,111.5,5.046176,box 5,5
2.83:  112.6,111.5,4.46111,box 5,5
2.85:  112.6,111.5,3.831679,box 5,5
2.87:  112.6,111.5,3.157882,box 5,5
2.88:  112.6,111.5,2.465071,box 5,5
2.9:  112.6,111.5,1.734233,box 5,5
2.92:  112.6,111.5,0.9717063,box 5,5
2.93:  112.6,111.5,0.1838275,box 5,5
2.95:  112.6,111.5,359.3959,box 5,5
2.97:  112.6,111.5,358.6081,box 5,5
2.98:  112.6,111.5,357.8202,box 5,5
3:  112.6,111.5,357.0323,box 5,5
3.02:  112.6,111.5,356.2444,box 5,5
3.03:  112.6,111.5,355.4565,box 5,5
3.05:  112.6,111.5,354.6687,box 5,5
3.07:  112.6,111.5,353.8808,box 5,5
3.08:  112.6,111.5,353.0929,box 5,5
3.1:  112.6,111.5,352.3051,box 5,5
3.12:  112.6,111.5,351.5172,box 5,5
3.13:  112.6,111.5,350.7293,box 5,5
3.15:  112.6,111.5,349.9414,box 5,5
3.17:  112.6,111.5,349.1535,box 5,5
3.18:  112.6,111.5,348.3656,box 5,5
3.2:  112.6,111.5,347.5778,box 5,5
3.22:  112.6,111.5,346.7899,box 5,5
3.23:  112.6,111.5,346.002,box 5,5
3.25:  112.6,111.5,345.2141,box 5,5
3.27:  112.6,111.5,344.4262,box 5,5
3.28:  112.6,111.5,343.6384,box 5,5
3.3:  112.6,111.5,342.8505,box 5,5
3.31:  112.6,111.5,342.0626,box 5,5
3.33:  112.6,111.5,341.2747,box 5,5
3.35:  112.6,111.5,340.4868,box 5,5
3.37:  112.6,111.5,339.699,box 5,5
3.38:  112.6,111.5,338.9111,box 5,5
3.4:  112.6,111.5,338.1232,box 5,5
3.42:  112.6,111.5,337.3353,box 5,5
3.43:  112.6,111.5,336.5475,box 5,5
3.45:  112.6,111.5,335.7596,box 5,5
3.47:  112.6,111.5,334.9717,box 5,5
3.48:  112.6,111.5,334.1838,box 5,5
3.5:  112.6,111.5,333.3959,box 5,5
3.52:  112.6,111.5,332.6081,box 5,5
3.53:  112.6,111.5,331.8202,box 5,5
3.55:  112.6,111.5,331.0323,box 5,5
3.57:  112.6,111.5,330.2444,box 5,5
3.58:  112.6,111.5,329.4565,box 5,5
3.6:  112.6,111.5,328.6687,box 5,5
3.62:  112.6,111.5,327.8808,box 5,5
3.63:  112.6,111.5,327.0929,box 5,5
3.65:  112.6,111.5,326.305,box 5,5
3.67:  112.6,111.5,325.5172,box 5,5
3.68:  112.6,111.5,324.7293,box 5,5
3.7:  112.6,111.5,323.9414,box 5,5
3.72:  112.6,111.5,323.1535,box 5,5
3.73:  112.6,111.5,322.3656,box 5,5
3.75:  112.6,111.5,321.5778,box 5,5
3.77:  112.6,111.5,320.7899,box 5,5
3.78:  112.6,111.5,320.002,box 5,5
3.8:  112.6,111.5,319.2141,box 5,5
3.82:  112.6,111.5,318.4262,box 5,5
3.83:  112.6,111.5,317.6384,box 5,5
3.85:  112.6,111.5,316.8505,box 5,5
3.87:  112.6,111.5,316.0626,box 5,5
3.88:  112.6,111.5,315.2747,box 5,5
3.9:  112.6,111.5,314.4868,box 5,5
3.92:  112.6,111.5,313.699,box 5,5
3.93:  112.6,111.5,312.9111,box 5,5
3.95:  112.6,111.5,312.1232,box 5,5
3.97:  112.6,111.5,311.3353,box 5,5
3.98:  112.6,111.5,310.5475,box 5,5
4:  112.6,111.5,309.7596,box 5,5
4.02:  112.6,111.5,308.9717,box 5,5
4.03:  112.6,111.5,308.1838,box 5,5
4.05:  112.6,111.5,307.3959,box 5,5
4.07:  112.6,111.5,306.6081,box 5,5
4.08:  112.6,111.5,305.8202,box 5,5
4.1:  112.6,111.5,305.0323,box 5,5
4.12:  112.6,111.5,304.2508,box 5,5
4.13:  112.6,111.5,303.4946,box 5,5
4.15:  112.6,111.5,302.7384,box 5,5
4.17:  112.6,111.5,301.9885,box 5,5
4.18:  112.6,111.5,301.2387,box 5,5
4.2:  112.6,111.5,300.4888,box 5,5
4.22:  112.6,111.5,299.7326,box 5,5
4.23:  112.6,111.5,298.9764,box 5,5
4.25:  112.6,111.5,298.2139,box 5,5
4.27:  112.6,111.5,297.4387,box 5,5
4.28:  112.6,111.5,296.6635,box 5,5
4.3:  112.6,111.5,295.8883,box 5,5
4.32:  112.6,111.5,295.1194,box 5,5
4.33:  112.6,111.5,294.3506,box 5,5
4.35:  112.6,111.5,293.5817,box 5,5
4.37:  112.6,111.5,292.8192,box 5,5
4.38:  112.6,111.5,292.0693,box 5,5
4.4:  112.6,111.5,291.3385,box 5,5
4.42:  112.6,111.5,290.6457,box 5,5
4.43:  112.6,111.5,289.9655,box 5,5
4.45:  112.6,111.5,289.3234,box 5,5
4.47:  112.6,111.5,288.7003,box 5,5
4.48:  112.6,111.5,288.1089,box 5,5
4.5:  112.6,111.5,287.5556,box 5,5
4.52:  112.6,111.5,287.0656,box 5,5
4.53:  112.6,111.5,286.6707,box 5,5
4.55:  112.6,111.5,286.3454,box 5,5
4.57:  112.6,111.5,286.128,box 5,5
4.58:  112.6,111.5,286.0309,box 5,5
4.6:  112.6,111.5,286.0162,box 5,5
4.62:  112.6,111.5,286.0162,box 5,5
4.63:  112.6,111.5,286.0182,box 5,5
4.65:  112.6,111.5,286.0182,box 5,5
4.67:  112.6,111.5,286.0182,box 5,5
4.68:  112.6,111.5,286.0182,box 5,5
4.7:  112.6,111.5,286.0182,box 5,5
4.72:  112.6,111.5,286.0182,box 5,5
4.73:  112.6,111.5,286.0182,box 5,5
4.75:  112.6,111.5,286.0182,box 5,5
4.77:  112.6,111.5,286.0182,box 5,5
4.78:  112.6,111.5,286.0182,box 5,5
4.8:  112.6,111.5,286.0182,box 5,5
4.82:  112.6,111.5,286.0182,box 5,5
4.83:  112.6,111.5,286.0182,box 5,5
4.85:  112.6,111.5,286.0182,box 5,5
4.87:  112.6,111.5,286.0182,box 5,5
4.88:  112.6,111.5,286.0182,box 5,5
4.9:  112.6,111.5,286.0182,box 5,5
4.92:  112.6,111.5,286.0182,box 5,5
4.93:  112.6,111.5,286.0182,box 5,5
4.95:  112.6,111.5,286.0182,box 5,5
4.97:  112.6,111.5,286.0182,box 5,5
4.98:  112.6,111.5,286.0182,box 5,5
5:  112.6,111.5,286.0182,box 5,5
5.02:  112.6,111.5,286.0182,box 5,5
5.03:  112.6,111.5,286.0182,box 5,5
5.05:  112.6,111.5,286.0182,box 5,5
5.07:  112.6,111.5,286.0182,box 5,5
5.08:  112.6,111.5,286.0182,box 5,5
5.1:  112.6,111.5,286.0182,box 5,5
5.12:  112.6,111.5,286.0182,box 5,5
5.13:  112.6,111.5,286.0182,box 5,5
5.15:  112.6,111.5,286.0182,box 5,5
5.17:  112.6,111.5,286.0182,box 5,5
5.18:  112.6,111.5,286.0836,box 5,5
5.2:  112.6,111.5,286.3264,box 5,5
5.22:  112.6,111.5,286.772,box 5,5
5.23:  112.6,111.5,287.4585,box 5,5
5.25:  112.6,111.5,288.2464,box 5,5
