ParticipantNo: 11014
Time for Trials (seconds): 60
Controller type: Keyboard and Mouse
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_05
!!1_dsp1_05
0.02:  216.1,31.84,191,
0.03:  216.1,31.84,191,box 9,0
0.05:  216.1,31.84,191,box 9,0
0.07:  216.1,31.84,191,box 9,0
0.08:  216.1,31.84,191,box 9,0
0.1:  216.1,31.84,191,box 9,0
0.12:  216.1,31.84,191,box 9,0
0.13:  216.1,31.84,191,box 9,0
0.15:  216.1,31.84,191,box 9,0
0.17:  216.1,31.84,191,box 9,0
0.18:  216.1,31.84,191,box 9,0
0.2:  216.1,31.84,191,box 9,0
0.22:  216.1,31.84,191,box 9,0
0.23:  216.1,31.84,191,box 9,0
0.25:  216.1,31.84,191,box 9,0
0.27:  216.1,31.84,191,box 9,0
0.28:  216.1,31.84,191,box 9,0
0.3:  216.1,31.84,191,box 9,0
0.32:  216.1,31.84,191,box 9,0
0.33:  216.1,31.84,191,box 9,0
0.35:  216.1,31.84,191,box 9,0
0.37:  216.1,31.84,191,box 9,0
0.38:  216.1,31.84,191,box 9,0
0.4:  216.1,31.84,191,box 9,0
0.42:  216.1,31.84,191,box 9,0
0.43:  216.1,31.84,191,box 9,0
0.45:  216.1,31.84,191,box 9,0
0.47:  216.1,31.84,191,box 9,0
0.48:  216.1,31.84,191,box 9,0
0.5:  216.1,31.84,191,box 9,0
0.52:  216.1,31.84,191,box 9,0
0.53:  216.1,31.84,191,box 9,0
0.55:  216.1,31.84,191,box 9,0
0.57:  216.1,31.84,191,box 9,0
0.58:  216.1,31.84,191,box 9,0
0.6:  216.1,31.84,191,box 9,0
0.62:  216.1,31.84,191,box 9,0
0.63:  216.1,31.84,191,box 9,0
0.65:  216.1,31.84,191,box 9,0
0.67:  216.1,31.84,191,box 9,0
0.68:  216.1,31.84,191,box 9,0
0.7:  216.1,31.84,191,box 9,0
0.72:  216.1,31.84,191,box 9,0
0.73:  216.1,31.84,191,box 9,0
0.75:  216.1,31.84,191,box 9,0
0.77:  216.1,31.84,191,box 9,0
0.78:  216.1,31.84,191,box 9,0
0.8:  216.0976,31.82747,191,box 9,0
0.82:  216.0928,31.80306,191,box 9,0
0.83:  216.0854,31.76506,191,box 9,0
0.85:  216.0761,31.71688,191,box 9,0
0.87:  216.0641,31.65527,191,box 9,0
0.88:  216.0493,31.57915,191,box 9,0
0.9:  216.0332,31.49607,191,box 9,0
0.92:  216.0187,31.4217,191,box 9,0
0.93:  216.007,31.3614,191,box 9,0
0.95:  215.9973,31.31186,191,box 9,0
0.97:  215.9901,31.27446,191,box 9,0
0.98:  215.9854,31.2503,191,box 9,0
1:  215.983,31.23815,191,box 9,0
1.02:  215.9785,31.21471,191,box 9,0
1.03:  215.9714,31.1786,191,box 9,0
1.05:  215.9616,31.12812,191,box 9,0
1.07:  215.9499,31.06791,191,box 9,0
1.08:  215.9355,30.99374,191,box 9,0
1.1:  215.9197,30.91244,191,box 9,0
1.12:  215.9001,30.81166,191,box 9,0
1.13:  215.8786,30.70103,191,box 9,0
1.15:  215.8552,30.58045,191,box 9,0
1.17:  215.8294,30.44767,191,box 9,0
1.18:  215.8009,30.30136,191,box 9,0
1.2:  215.7706,30.14096,190.7,box 9,0
1.22:  215.7386,29.97174,190.7,box 9,0
1.23:  215.7039,29.78805,190.7,box 9,0
1.25:  215.6668,29.59146,190.7,box 9,0
1.27:  215.6262,29.37653,190.7,box 9,0
1.28:  215.5853,29.16002,190.7,box 9,0
1.3:  215.541,28.92553,190.7,box 9,0
1.32:  215.4954,28.68444,190.7,box 9,0
1.33:  215.4492,28.43989,190.7,box 9,0
1.35:  215.4024,28.19223,190.7,box 9,0
1.37:  215.3561,27.94701,190.7,box 9,0
