ParticipantNo: 12218
Time for Trials (seconds): 60
Controller type: Gamepad
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_02
!!1_dsp2_02
0.02:  171.3,171,38.67819,
0.03:  171.3,171,38.67819,box 8,8
0.05:  171.3,171,38.67819,box 8,8
0.07:  171.3,171,38.67819,box 8,8
0.08:  171.3,171,38.67819,box 8,8
0.1:  171.3,171,38.67819,box 8,8
0.12:  171.3,171,38.67819,box 8,8
0.13:  171.3,171,38.67819,box 8,8
0.15:  171.3,171,38.67819,box 8,8
0.17:  171.3,171,38.67819,box 8,8
0.18:  171.3,171,38.67819,box 8,8
0.2:  171.3,171,38.67819,box 8,8
0.22:  171.3,171,38.67819,box 8,8
0.23:  171.3,171,38.67819,box 8,8
0.25:  171.3,171,38.67819,box 8,8
0.27:  171.3,171,38.67819,box 8,8
0.28:  171.3,171,38.67819,box 8,8
0.3:  171.3,171,38.67819,box 8,8
0.32:  171.3,171,38.67819,box 8,8
0.33:  171.3,171,38.67819,box 8,8
0.35:  171.3,171,38.67819,box 8,8
0.37:  171.3,171,38.67819,box 8,8
0.38:  171.3,171,38.67819,box 8,8
0.4:  171.3,171,38.67819,box 8,8
0.42:  171.3,171,38.67819,box 8,8
0.43:  171.3,171,38.67819,box 8,8
0.45:  171.3,171,38.67819,box 8,8
0.47:  171.3,171,38.67819,box 8,8
0.48:  171.3,171,38.67819,box 8,8
0.5:  171.3,171,38.67819,box 8,8
0.52:  171.3,171,38.67819,box 8,8
0.53:  171.3,171,38.67819,box 8,8
0.55:  171.3,171,38.67819,box 8,8
0.57:  171.3,171,38.67819,box 8,8
0.58:  171.3,171,38.67819,box 8,8
0.6:  171.3,171,38.67819,box 8,8
0.62:  171.3,171,38.67819,box 8,8
0.63:  171.3,171,38.67819,box 8,8
0.65:  171.3,171,38.67819,box 8,8
0.67:  171.3,171,38.67819,box 8,8
0.68:  171.3,171,38.67819,box 8,8
0.7:  171.3,171,38.67819,box 8,8
0.72:  171.3,171,38.67819,box 8,8
0.73:  171.3,171,39.04143,box 8,8
0.75:  171.3,171,39.82931,box 8,8
0.77:  171.3,171,40.61719,box 8,8
0.78:  171.3,171,41.40507,box 8,8
0.8:  171.3,171,42.19295,box 8,8
0.82:  171.3,171,42.98083,box 8,8
0.83:  171.3,171,43.76871,box 8,8
0.85:  171.3,171,44.55658,box 8,8
0.87:  171.3,171,45.34447,box 8,8
0.88:  171.3,171,46.13234,box 8,8
0.9:  171.3,171,46.92022,box 8,8
0.92:  171.3,171,47.7081,box 8,8
0.93:  171.3,171,48.49598,box 8,8
0.95:  171.3,171,49.28386,box 8,8
0.97:  171.3,171,50.07174,box 8,8
0.98:  171.3,171,50.85962,box 8,8
1:  171.3,171,51.6475,box 8,8
1.02:  171.3,171,52.43537,box 8,8
1.03:  171.3,171,53.22325,box 8,8
1.05:  171.3,171,54.01113,box 8,8
1.07:  171.3,171,54.79901,box 8,8
1.08:  171.3,171,55.58688,box 8,8
1.1:  171.3,171,56.37476,box 8,8
1.12:  171.3,171,57.16264,box 8,8
1.13:  171.3,171,57.95052,box 8,8
1.15:  171.3,171,58.7384,box 8,8
1.17:  171.3,171,59.52628,box 8,8
1.18:  171.3,171,60.31416,box 8,8
1.2:  171.3,171,61.10203,box 8,8
1.22:  171.3,171,61.88992,box 8,8
1.23:  171.3,171,62.67779,box 8,8
1.25:  171.3,171,63.46567,box 8,8
1.27:  171.3,171,64.25356,box 8,8
1.28:  171.3,171,65.04143,box 8,8
1.3:  171.3,171,65.82931,box 8,8
1.32:  171.3,171,66.6172,box 8,8
1.33:  171.3,171,67.40507,box 8,8
1.35:  171.3,171,68.19295,box 8,8
1.37:  171.3,171,68.98083,box 8,8
1.38:  171.3,171,69.7687,box 8,8
1.4:  171.3,171,70.55659,box 8,8
1.42:  171.3,171,71.34446,box 8,8
1.43:  171.3,171,72.13235,box 8,8
1.45:  171.3,171,72.92022,box 8,8
1.47:  171.3,171,73.70811,box 8,8
1.48:  171.3,171,74.49598,box 8,8
1.5:  171.3,171,75.28385,box 8,8
1.52:  171.3,171,76.07173,box 8,8
1.53:  171.3,171,76.8596,box 8,8
1.55:  171.3,171,77.64748,box 8,8
1.57:  171.3,171,78.43536,box 8,8
1.58:  171.3,171,79.22325,box 8,8
1.6:  171.3,171,80.01113,box 8,8
1.62:  171.3,171,80.79901,box 8,8
1.63:  171.3,171,81.58688,box 8,8
1.65:  171.3,171,82.37477,box 8,8
1.67:  171.3,171,83.16264,box 8,8
1.68:  171.3,171,83.95052,box 8,8
1.7:  171.3,171,84.7384,box 8,8
1.72:  171.3,171,85.52628,box 8,8
1.73:  171.3,171,86.31416,box 8,8
1.75:  171.3,171,87.10204,box 8,8
1.77:  171.3,171,87.88992,box 8,8
1.78:  171.3,171,88.6778,box 8,8
1.8:  171.3,171,89.46567,box 8,8
1.82:  171.3,171,90.25356,box 8,8
1.83:  171.3,171,91.04144,box 8,8
1.85:  171.3,171,91.82932,box 8,8
1.87:  171.3,171,92.61719,box 8,8
1.88:  171.3,171,93.40508,box 8,8
1.9:  171.3,171,94.19296,box 8,8
1.92:  171.3,171,94.98083,box 8,8
1.93:  171.3,171,95.76871,box 8,8
1.95:  171.3,171,96.55659,box 8,8
1.97:  171.3,171,97.34447,box 8,8
1.98:  171.3,171,98.13235,box 8,8
2:  171.3,171,98.92023,box 8,8
2.02:  171.3,171,99.70811,box 8,8
2.03:  171.3,171,100.496,box 8,8
2.05:  171.3,171,101.2839,box 8,8
2.07:  171.3,171,102.0717,box 8,8
2.08:  171.3,171,102.8596,box 8,8
2.1:  171.3,171,103.6475,box 8,8
2.12:  171.3,171,104.4354,box 8,8
2.13:  171.3,171,105.2233,box 8,8
2.15:  171.3,171,106.0111,box 8,8
2.17:  171.3,171,106.799,box 8,8
2.18:  171.3,171,107.5869,box 8,8
2.2:  171.3,171,108.3748,box 8,8
2.22:  171.3,171,109.1626,box 8,8
2.23:  171.3,171,109.9505,box 8,8
2.25:  171.3,171,110.7384,box 8,8
2.27:  171.3,171,111.5263,box 8,8
2.28:  171.3,171,112.3142,box 8,8
2.3:  171.3,171,113.102,box 8,8
2.32:  171.3,171,113.8899,box 8,8
2.33:  171.3,171,114.6778,box 8,8
2.35:  171.3,171,115.4657,box 8,8
2.37:  171.3,171,116.2535,box 8,8
2.38:  171.3,171,117.0414,box 8,8
2.4:  171.3,171,117.8293,box 8,8
