ParticipantNo: 21010
Time for Trials (seconds): 60
Controller type: Arrows Only
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_11
!!1_dsp2_11
0.02:  71.3,71,177.0569,
0.03:  71.3,71,177.0569,box 3,3
0.05:  71.3,71,177.0569,box 3,3
0.07:  71.3,71,177.0569,box 3,3
0.08:  71.3,71,177.0569,box 3,3
0.1:  71.3,71,177.0569,box 3,3
0.12:  71.3,71,177.0569,box 3,3
0.13:  71.3,71,177.0569,box 3,3
0.15:  71.3,71,177.0569,box 3,3
0.17:  71.3,71,177.0569,box 3,3
0.18:  71.3,71,177.0569,box 3,3
0.2:  71.3,71,177.0569,box 3,3
0.22:  71.3,71,177.0569,box 3,3
0.23:  71.3,71,177.0569,box 3,3
0.25:  71.3,71,177.0569,box 3,3
0.27:  71.3,71,177.0569,box 3,3
0.28:  71.3,71,177.0569,box 3,3
0.3:  71.3,71,177.0569,box 3,3
0.32:  71.3,71,177.0569,box 3,3
0.33:  71.3,71,177.0569,box 3,3
0.35:  71.3,71,177.0569,box 3,3
0.37:  71.3,71,177.0569,box 3,3
0.38:  71.3,71,177.0569,box 3,3
0.4:  71.3,71,177.0569,box 3,3
0.42:  71.3,71,177.0569,box 3,3
0.43:  71.3,71,177.0569,box 3,3
0.45:  71.3,71,177.0569,box 3,3
0.47:  71.3,71,177.0569,box 3,3
0.48:  71.3,71,177.0569,box 3,3
0.5:  71.3,71,177.0569,box 3,3
0.52:  71.3,71,177.0569,box 3,3
0.53:  71.3,71,177.0569,box 3,3
0.55:  71.3,71,177.0569,box 3,3
0.57:  71.3,71,177.0569,box 3,3
0.58:  71.3,71,177.0569,box 3,3
0.6:  71.3,71,177.0569,box 3,3
0.62:  71.3,71,177.0569,box 3,3
0.63:  71.3,71,177.0569,box 3,3
0.65:  71.3,71,177.0569,box 3,3
0.67:  71.3,71,177.0569,box 3,3
0.68:  71.3,71,177.0569,box 3,3
0.7:  71.3,71,177.0569,box 3,3
0.72:  71.3,71,177.0569,box 3,3
0.73:  71.3,71,177.0569,box 3,3
0.75:  71.3,71,177.0569,box 3,3
0.77:  71.3,71,177.0569,box 3,3
0.78:  71.3,71,177.0569,box 3,3
0.8:  71.3,71,177.0569,box 3,3
0.82:  71.3,71,177.0569,box 3,3
0.83:  71.3,71,177.0569,box 3,3
0.85:  71.3,71,177.0569,box 3,3
0.87:  71.3,71,177.0569,box 3,3
0.88:  71.3,71,177.0569,box 3,3
0.9:  71.3,71,177.0569,box 3,3
0.92:  71.3,71,177.0569,box 3,3
0.93:  71.3,71,177.0569,box 3,3
0.95:  71.3,71,177.0569,box 3,3
0.97:  71.3,71,177.0569,box 3,3
0.98:  71.3,71,177.0569,box 3,3
1:  71.3,71,177.0569,box 3,3
1.02:  71.3,71,177.0569,box 3,3
1.03:  71.3,71,177.0569,box 3,3
1.05:  71.3,71,177.0569,box 3,3
1.07:  71.3,71,177.0569,box 3,3
1.08:  71.3,71,177.0569,box 3,3
1.1:  71.3,71,177.0569,box 3,3
1.12:  71.3,71,177.0569,box 3,3
1.13:  71.3,71,177.0569,box 3,3
1.15:  71.3,71,177.0569,box 3,3
1.17:  71.3,71,177.0569,box 3,3
1.18:  71.3,71,177.0569,box 3,3
1.2:  71.3,71,177.0569,box 3,3
1.22:  71.3,71,177.0569,box 3,3
1.23:  71.3,71,177.0569,box 3,3
1.25:  71.3,71,177.0569,box 3,3
1.27:  71.3,71,177.0569,box 3,3
1.28:  71.3,71,177.0569,box 3,3
1.3:  71.3,71,177.0569,box 3,3
1.32:  71.3,71,177.0569,box 3,3
1.33:  71.3,71,177.0569,box 3,3
1.35:  71.3,71,177.0569,box 3,3
1.37:  71.3,71,177.0569,box 3,3
1.38:  71.3,71,177.0569,box 3,3
1.4:  71.3,71,177.0569,box 3,3
1.42:  71.3,71,177.0569,box 3,3
1.43:  71.3,71,177.0569,box 3,3
1.45:  71.3,71,177.0569,box 3,3
1.47:  71.3,71,177.0569,box 3,3
1.48:  71.3,71,177.0569,box 3,3
1.5:  71.3,71,177.0569,box 3,3
1.52:  71.3,71,177.0569,box 3,3
1.53:  71.3,71,177.0569,box 3,3
1.55:  71.3,71,177.0569,box 3,3
1.57:  71.3,71,177.0569,box 3,3
1.58:  71.3,71,177.0569,box 3,3
1.6:  71.3,71,177.0569,box 3,3
1.62:  71.3,71,177.0569,box 3,3
1.63:  71.3,71,177.0569,box 3,3
1.65:  71.3,71,177.0569,box 3,3
1.67:  71.3,71,177.0569,box 3,3
1.68:  71.3,71,177.0569,box 3,3
1.7:  71.3,71,177.0569,box 3,3
1.72:  71.3,71,177.0569,box 3,3
1.73:  71.3,71,177.0569,box 3,3
1.75:  71.3,71,177.0569,box 3,3
1.77:  71.3,71,177.0569,box 3,3
1.78:  71.3,71,177.0569,box 3,3
1.8:  71.3,71,177.0569,box 3,3
1.82:  71.3,71,177.0569,box 3,3
1.83:  71.3,71,177.0569,box 3,3
1.85:  71.3,71,177.0569,box 3,3
1.87:  71.3,71,177.0569,box 3,3
1.88:  71.3,71,177.0569,box 3,3
1.9:  71.3,71,177.0569,box 3,3
1.92:  71.3,71,177.0569,box 3,3
1.93:  71.3,71,177.0569,box 3,3
1.95:  71.3,71,177.0569,box 3,3
1.97:  71.3,71,177.0569,box 3,3
1.98:  71.3,71,177.0569,box 3,3
2:  71.3,71,177.0569,box 3,3
2.02:  71.3,71,177.0569,box 3,3
2.03:  71.3,71,177.0569,box 3,3
2.05:  71.3,71,177.0569,box 3,3
2.07:  71.3,71,177.0569,box 3,3
2.08:  71.3,71,177.0569,box 3,3
2.1:  71.3,71,177.0569,box 3,3
2.12:  71.3,71,177.0569,box 3,3
2.13:  71.3,71,177.0569,box 3,3
2.15:  71.3,71,177.0569,box 3,3
2.17:  71.3,71,177.0569,box 3,3
2.18:  71.3,71,177.0569,box 3,3
2.2:  71.3,71,177.0569,box 3,3
2.22:  71.3,71,177.0569,box 3,3
2.23:  71.3,71,177.0569,box 3,3
2.25:  71.3,71,177.0569,box 3,3
2.27:  71.3,71,177.0569,box 3,3
2.28:  71.3,71,177.0569,box 3,3
2.3:  71.3,71,177.0569,box 3,3
2.32:  71.3,71,177.0569,box 3,3
2.33:  71.3,71,177.0569,box 3,3
2.35:  71.3,71,177.0569,box 3,3
2.37:  71.3,71,177.0569,box 3,3
2.38:  71.3,71,177.0569,box 3,3
2.4:  71.3,71,177.0569,box 3,3
2.42:  71.3,71,177.0569,box 3,3
2.43:  71.3,71,177.0569,box 3,3
2.45:  71.3,71,177.0569,box 3,3
2.47:  71.3,71,177.0569,box 3,3
2.48:  71.3,71,177.0569,box 3,3
2.5:  71.3,71,177.0569,box 3,3
2.52:  71.3,71,177.0569,box 3,3
2.53:  71.3,71,177.0569,box 3,3
2.55:  71.3,71,177.0569,box 3,3
2.57:  71.3,71,177.0569,box 3,3
2.58:  71.3,71,177.0569,box 3,3
2.6:  71.3,71,177.0569,box 3,3
2.62:  71.3,71,177.0569,box 3,3
2.63:  71.3,71,177.0569,box 3,3
2.65:  71.3,71,177.0569,box 3,3
2.67:  71.3,71,177.0569,box 3,3
2.68:  71.3,71,177.0569,box 3,3
2.7:  71.3,71,177.0569,box 3,3
2.72:  71.3,71,177.0569,box 3,3
2.73:  71.3,71,177.0569,box 3,3
2.75:  71.3,71,177.0569,box 3,3
2.77:  71.3,71,177.0569,box 3,3
2.78:  71.3,71,177.0569,box 3,3
2.8:  71.3,71,177.0569,box 3,3
2.82:  71.3,71,177.0569,box 3,3
2.83:  71.3,71,177.0569,box 3,3
2.85:  71.3,71,177.0569,box 3,3
2.87:  71.3,71,177.0569,box 3,3
2.88:  71.3,71,177.0569,box 3,3
2.9:  71.3,71,177.0569,box 3,3
2.92:  71.3,71,177.0569,box 3,3
2.93:  71.3,71,177.0569,box 3,3
2.95:  71.3,71,177.0569,box 3,3
2.97:  71.3,71,177.0569,box 3,3
2.98:  71.3,71,177.0569,box 3,3
3:  71.3,71,177.0569,box 3,3
3.02:  71.3,71,177.0569,box 3,3
3.03:  71.3,71,177.0569,box 3,3
3.05:  71.3,71,177.0569,box 3,3
3.07:  71.3,71,177.0569,box 3,3
3.08:  71.3,71,177.0569,box 3,3
3.1:  71.3,71,177.0569,box 3,3
3.12:  71.3,71,177.0569,box 3,3
3.13:  71.3,71,177.0569,box 3,3
3.15:  71.3,71,177.0569,box 3,3
3.17:  71.3,71,177.0569,box 3,3
3.18:  71.3,71,177.0569,box 3,3
3.2:  71.3,71,177.0569,box 3,3
3.22:  71.3,71,177.0569,box 3,3
3.23:  71.3,71,177.0569,box 3,3
3.25:  71.3,71,177.0569,box 3,3
3.27:  71.3,71,177.0569,box 3,3
3.28:  71.3,71,177.0569,box 3,3
3.3:  71.3,71,177.0569,box 3,3
3.32:  71.3,71,177.0569,box 3,3
3.33:  71.3,71,177.0569,box 3,3
3.35:  71.3,71,177.0569,box 3,3
3.37:  71.3,71,177.0569,box 3,3
3.38:  71.3,71,177.0569,box 3,3
3.4:  71.3,71,177.0569,box 3,3
3.42:  71.3,71,177.0569,box 3,3
3.43:  71.3,71,177.0569,box 3,3
3.45:  71.3,71,177.0569,box 3,3
3.47:  71.3,71,177.0569,box 3,3
3.48:  71.3,71,177.0569,box 3,3
3.5:  71.3,71,177.0569,box 3,3
3.52:  71.3,71,177.0569,box 3,3
3.53:  71.3,71,177.0569,box 3,3
3.55:  71.3,71,177.0569,box 3,3
