ParticipantNo: 22050
Time for Trials (seconds): 60
Controller type: Arrows Only
Repetition?: Full
DSPType: 1
Encoding Tours: 0
!!1_dsp1_02
!!1_dsp1_02
0.02:  174.2,171.2,357.8309,
0.03:  174.2,171.2,357.8309,box 2,2
0.05:  174.2,171.2,357.8309,box 2,2
0.07:  174.2,171.2,357.8309,box 2,2
0.08:  174.2,171.2,357.8309,box 2,2
0.1:  174.2,171.2,357.8309,box 2,2
0.12:  174.2,171.2,357.8309,box 2,2
0.13:  174.2,171.2,357.8309,box 2,2
0.15:  174.2,171.2,357.8309,box 2,2
0.17:  174.2,171.2,357.8309,box 2,2
0.18:  174.2,171.2,357.8309,box 2,2
0.2:  174.2,171.2,357.8309,box 2,2
0.22:  174.2,171.2,357.8309,box 2,2
0.23:  174.2,171.2,357.8309,box 2,2
0.25:  174.2,171.2,357.8309,box 2,2
0.27:  174.2,171.2,357.8309,box 2,2
0.28:  174.2,171.2,357.8309,box 2,2
0.3:  174.2,171.2,357.8309,box 2,2
0.32:  174.2,171.2,357.8309,box 2,2
0.33:  174.2,171.2,357.8309,box 2,2
0.35:  174.2,171.2,357.8309,box 2,2
0.37:  174.2,171.2,357.8309,box 2,2
0.38:  174.2,171.2,357.8309,box 2,2
0.4:  174.2,171.2,357.8309,box 2,2
0.42:  174.2,171.2,357.8309,box 2,2
0.43:  174.2,171.2,357.8309,box 2,2
0.45:  174.2,171.2,357.8309,box 2,2
0.47:  174.2,171.2,357.8309,box 2,2
0.48:  174.2,171.2,357.8309,box 2,2
0.5:  174.2,171.2,357.8309,box 2,2
0.52:  174.2,171.2,357.8309,box 2,2
0.53:  174.2,171.2,357.8309,box 2,2
0.55:  174.2,171.2,357.8309,box 2,2
0.57:  174.2,171.2,357.8309,box 2,2
0.58:  174.2,171.2,357.8309,box 2,2
0.6:  174.2,171.2,357.8309,box 2,2
0.62:  174.2,171.2,357.8309,box 2,2
0.63:  174.2,171.2,357.8309,box 2,2
0.65:  174.2,171.2,357.8309,box 2,2
0.67:  174.2,171.2,357.8309,box 2,2
0.68:  174.2,171.2,357.8309,box 2,2
0.7:  174.2,171.2,357.8309,box 2,2
0.72:  174.2,171.2,357.8309,box 2,2
0.73:  174.2,171.2,357.8309,box 2,2
0.75:  174.2,171.2,357.8309,box 2,2
0.77:  174.2,171.2,357.8309,box 2,2
0.78:  174.2,171.2,357.8309,box 2,2
0.8:  174.2,171.2,357.8309,box 2,2
0.82:  174.2,171.2,357.8309,box 2,2
0.83:  174.2,171.2,357.8309,box 2,2
0.85:  174.2,171.2,357.8309,box 2,2
0.87:  174.2,171.2,357.8309,box 2,2
0.88:  174.2,171.2,357.8309,box 2,2
0.9:  174.2,171.2,357.8309,box 2,2
0.92:  174.2,171.2,357.8309,box 2,2
0.93:  174.2,171.2,357.8309,box 2,2
0.95:  174.2,171.2,357.8309,box 2,2
0.97:  174.2,171.2,357.8309,box 2,2
0.98:  174.2,171.2,357.8309,box 2,2
1:  174.2,171.2,357.8309,box 2,2
1.02:  174.2,171.2,357.8309,box 2,2
1.03:  174.2,171.2,357.8309,box 2,2
1.05:  174.2,171.2,357.8309,box 2,2
1.07:  174.2,171.2,357.8309,box 2,2
1.08:  174.2,171.2,357.8309,box 2,2
1.1:  174.2,171.2,357.8309,box 2,2
1.12:  174.2,171.2,357.8309,box 2,2
1.13:  174.2,171.2,357.8309,box 2,2
1.15:  174.2,171.2,357.8309,box 2,2
1.17:  174.2,171.2,357.8309,box 2,2
1.18:  174.2,171.2,357.8309,box 2,2
1.2:  174.2,171.2,357.8309,box 2,2
1.22:  174.2,171.2,357.8309,box 2,2
1.23:  174.2,171.2,357.8309,box 2,2
1.25:  174.2,171.2,357.8309,box 2,2
1.27:  174.2,171.2,357.8309,box 2,2
1.28:  174.2,171.2,357.8309,box 2,2
1.3:  174.2,171.2,357.8309,box 2,2
1.32:  174.2,171.2,357.8309,box 2,2
1.33:  174.2,171.2,357.8309,box 2,2
1.35:  174.2,171.2,357.8309,box 2,2
1.37:  174.2,171.2,357.8309,box 2,2
1.38:  174.2,171.2,357.8309,box 2,2
1.4:  174.2,171.2,357.8309,box 2,2
1.42:  174.2,171.2,357.8309,box 2,2
1.43:  174.2,171.2,357.8309,box 2,2
1.45:  174.2,171.2,357.8309,box 2,2
1.47:  174.2,171.2,357.8309,box 2,2
1.48:  174.2,171.2,357.8309,box 2,2
1.5:  174.2,171.2,357.8309,box 2,2
1.52:  174.2,171.2,357.8309,box 2,2
1.53:  174.2,171.2,357.8309,box 2,2
1.55:  174.2,171.2,357.8309,box 2,2
1.57:  174.2,171.2,357.8309,box 2,2
1.58:  174.2,171.2,357.8309,box 2,2
