ParticipantNo: 99999
Time for Trials (seconds): 60
Controller type: Arrows Only
Repetition?: Full
DSPType: 2
Encoding Tours: 0
!!1_dsp2_09
!!1_dsp2_09
0.02:  32.7,90.6,90,
0.03:  32.7,90.6,90,
0.05:  32.7,90.6,90,box 1,4
0.07:  32.7,90.6,90,box 1,4
0.08:  32.7,90.6,90,box 1,4
0.1:  32.7,90.6,90,box 1,4
0.12:  32.7,90.6,90,box 1,4
0.13:  32.7,90.6,90,box 1,4
0.15:  32.7,90.6,90,box 1,4
0.17:  32.7,90.6,90,box 1,4
0.18:  32.7,90.6,90,box 1,4
0.2:  32.7,90.6,90,box 1,4
0.22:  32.7,90.6,90,box 1,4
0.23:  32.7,90.6,90,box 1,4
0.25:  32.7,90.6,90,box 1,4
0.27:  32.7,90.6,90,box 1,4
0.28:  32.7,90.6,90,box 1,4
0.3:  32.7,90.6,90,box 1,4
0.32:  32.7,90.6,90,box 1,4
0.33:  32.7,90.6,90,box 1,4
0.35:  32.7,90.6,90,box 1,4
0.37:  32.7,90.6,90,box 1,4
0.38:  32.7,90.6,90,box 1,4
0.4:  32.7,90.6,90,box 1,4
0.42:  32.7,90.6,90,box 1,4
0.43:  32.7,90.6,90,box 1,4
0.45:  32.7,90.6,90,box 1,4
0.47:  32.7,90.6,90,box 1,4
0.48:  32.7,90.6,90,box 1,4
0.5:  32.7,90.6,90,box 1,4
0.52:  32.7,90.6,90,box 1,4
0.53:  32.7,90.6,90,box 1,4
0.55:  32.7,90.6,90,box 1,4
0.57:  32.7,90.6,90,box 1,4
0.58:  32.7,90.6,90,box 1,4
0.6:  32.7,90.6,90,box 1,4
0.62:  32.7,90.6,90,box 1,4
0.63:  32.7,90.6,90,box 1,4
0.65:  32.7,90.6,90,box 1,4
0.67:  32.7,90.6,90,box 1,4
0.68:  32.7,90.6,90,box 1,4
0.7:  32.7,90.6,90,box 1,4
0.72:  32.7,90.6,90,box 1,4
0.73:  32.7,90.6,90,box 1,4
0.75:  32.7,90.6,90,box 1,4
0.77:  32.7,90.6,90,box 1,4
0.78:  32.7,90.6,90,box 1,4
0.8:  32.7,90.6,90,box 1,4
0.82:  32.7,90.6,90,box 1,4
0.83:  32.7,90.6,90,box 1,4
0.85:  32.7,90.6,90,box 1,4
0.87:  32.7,90.6,90,box 1,4
0.88:  32.7,90.6,90,box 1,4
0.9:  32.7,90.6,90,box 1,4
0.92:  32.7,90.6,90,box 1,4
0.93:  32.7,90.6,90,box 1,4
0.95:  32.7,90.6,90,box 1,4
0.97:  32.7,90.6,90,box 1,4
0.98:  32.7,90.6,90,box 1,4
1:  32.7,90.6,90,box 1,4
1.02:  32.7,90.6,90,box 1,4
1.03:  32.7,90.6,90,box 1,4
1.05:  32.7,90.6,90,box 1,4
1.07:  32.7,90.6,90,box 1,4
1.08:  32.7,90.6,90,box 1,4
