block_type,condition,img_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,20.801311599992914,None,b,10.611652299994603,20.801311599992914,None,,,,,,,,,,,,,,,,,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block_start,scrambled,scrambled004.bmp,0,0,0,0,,,,,,,t,3.8061001999885775,31.56051579999621,None,31.56051579999621,None,2021-06-17-12:39:47.530129,35.42269279999891,35.73147850000532,35.42269279999891,None,None,35.42269279999891,None,36.19809290000994,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scrambled,scrambled024.bmp,0,1,1,1,,,,,,,None,,36.19809290000994,None,36.19809290000994,None,2021-06-17-12:39:48.354486,36.21679979999317,36.5314292999974,36.21679979999317,None,None,36.21679979999317,None,37.01476319998328,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scrambled,scrambled060.bmp,0,2,2,2,,,,,,,None,,37.01476319998328,None,37.01476319998328,None,2021-06-17-12:39:49.167355,37.03137360000983,37.33150100000785,37.03137360000983,None,None,37.03137360000983,None,37.831393600002045,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scrambled,scrambled006.bmp,0,3,3,3,,,,,,,None,,37.831393600002045,None,37.831393600002045,None,2021-06-17-12:39:49.982941,37.84649219998391,38.148112399998354,37.84649219998391,None,None,37.84649219998391,None,38.64815409999282,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scrambled,scrambled030.bmp,0,4,4,4,,,,,,,None,,38.64815409999282,None,38.64815409999282,None,2021-06-17-12:39:50.800571,38.674172400002135,38.981500800000504,38.674172400002135,None,None,38.674172400002135,None,39.4648581999907,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scrambled,scrambled072.bmp,0,5,5,5,,,,,,,None,,39.4648581999907,None,39.4648581999907,None,2021-06-17-12:39:51.617456,39.480936999985715,39.78136620001169,39.480936999985715,None,None,39.480936999985715,None,40.28150899999018,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scrambled,scrambled047.bmp,0,6,6,6,,,,,,,None,,40.28150899999018,None,40.28150899999018,None,2021-06-17-12:39:52.432925,40.297395000001416,40.5981912999996,40.297395000001416,None,None,40.297395000001416,None,41.09818189998332,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scrambled,scrambled043.bmp,0,7,7,7,,,,,,,None,,41.09818189998332,None,41.09818189998332,None,2021-06-17-12:39:53.249592,41.11301289999392,41.41483180000796,41.11301289999392,None,None,41.11301289999392,None,41.9148269999976,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scrambled,scrambled016.bmp,0,8,8,8,,,,,,,None,,41.9148269999976,None,41.9148269999976,None,2021-06-17-12:39:54.066241,41.930006400012644,42.2315329000121,41.930006400012644,None,None,41.930006400012644,None,42.73153250000614,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scrambled,scrambled077.bmp,0,9,9,9,,,,,,,None,,42.73153250000614,None,42.73153250000614,None,2021-06-17-12:39:54.883948,42.74780839998857,43.048214000009466,42.74780839998857,None,None,42.74780839998857,None,43.54821939998946,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scrambled,scrambled034.bmp,0,10,10,10,,,,,,,None,,43.54821939998946,None,43.54821939998946,None,2021-06-17-12:39:55.700816,43.56428560000495,43.86480650000158,43.56428560000495,None,None,43.56428560000495,None,44.36471439999586,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scrambled,scrambled027.bmp,0,11,11,11,,,,,,,None,,44.36471439999586,None,44.36471439999586,None,2021-06-17-12:39:56.517395,44.38097920001019,44.68152650000411,44.38097920001019,None,None,44.38097920001019,None,45.18156960000924,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scrambled,scrambled074.bmp,0,12,12,12,,,,,,,None,,45.18156960000924,None,45.18156960000924,None,2021-06-17-12:39:57.333976,45.19855599998846,45.49795180000365,45.19855599998846,None,None,45.19855599998846,None,45.99803919999685,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scrambled,scrambled053.bmp,0,13,13,13,,,,,,,None,,45.99803919999685,None,45.99803919999685,None,2021-06-17-12:39:58.150652,46.01210930000525,46.3148988999892,46.01210930000525,None,None,46.01210930000525,None,46.814922299989846,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block_end,scrambled,scrambled062.bmp,0,14,14,14,,,,,,,None,,46.814922299989846,None,46.814922299989846,None,2021-06-17-12:39:58.966386,46.83042220000061,47.13144490000559,46.83042220000061,None,None,46.83042220000061,None,47.63155729998543,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block_start,objects,objects019.bmp,0,15,15,15,,,,,,,t,9.219599000003655,47.631552700011525,None,47.631552700011525,None,2021-06-17-12:40:09.027036,56.889071099983994,57.198332600004505,56.889071099983994,None,None,56.889071099983994,None,57.69832729999034,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,objects,objects071.bmp,0,16,16,16,,,,,,,None,,57.69832729999034,None,57.69832729999034,None,2021-06-17-12:40:09.850913,57.714682299993,58.015005799999926,57.714682299993,None,None,57.714682299993,None,58.51483379999699,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,objects,objects086.bmp,0,17,17,17,,,,,,,None,,58.51483379999699,None,58.51483379999699,None,2021-06-17-12:40:10.667246,58.53218939999351,58.831380099989474,58.53218939999351,None,None,58.53218939999351,None,59.3316777999833,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,objects,objects084.bmp,0,18,18,18,,,,,,,None,,59.3316777999833,None,59.3316777999833,None,2021-06-17-12:40:11.484283,59.34872499998892,59.64833009999711,59.34872499998892,None,None,59.34872499998892,None,60.148318099990135,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,objects,objects076.bmp,0,19,19,19,,,,,,,None,,60.148318099990135,None,60.148318099990135,None,2021-06-17-12:40:12.300922,60.17849799999385,60.48160450000432,60.17849799999385,None,None,60.17849799999385,None,60.96502150001179,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,objects,objects082.bmp,0,20,20,20,,,,,,,None,,60.96502150001179,None,60.96502150001179,None,2021-06-17-12:40:13.118438,60.98337420000462,61.281512799992925,60.98337420000462,None,None,60.98337420000462,None,61.78137479998695,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,objects,objects073.bmp,0,21,21,21,,,,,,,None,,61.78137479998695,None,61.78137479998695,None,2021-06-17-12:40:13.930102,61.792467399995076,62.09836209999048,61.792467399995076,None,None,61.792467399995076,None,62.598366199989684,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,objects,objects013.bmp,0,22,22,22,,,,,,,None,,62.598366199989684,None,62.598366199989684,None,2021-06-17-12:40:14.751975,62.62796569999773,62.931526700005634,62.62796569999773,None,None,62.62796569999773,None,63.415029599997794,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,objects,objects040.bmp,0,23,23,23,,,,,,,None,,63.415029599997794,None,63.415029599997794,None,2021-06-17-12:40:15.566443,63.43024990000413,63.73168679999071,63.43024990000413,None,None,63.43024990000413,None,64.23171230000735,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,objects,objects025.bmp,0,24,24,24,,,,,,,None,,64.23171230000735,None,64.23171230000735,None,2021-06-17-12:40:16.383134,64.24704359998577,64.54788969998481,64.24704359998577,None,None,64.24704359998577,None,65.0482971999998,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,objects,objects004.bmp,0,25,25,25,,,,,,,None,,65.0482971999998,None,65.0482971999998,None,2021-06-17-12:40:17.198762,65.07405999998446,65.38152480000281,65.07405999998446,None,None,65.07405999998446,None,65.86495730001188,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,objects,objects088.bmp,0,26,26,26,,,,,,,None,,65.86495730001188,None,65.86495730001188,None,2021-06-17-12:40:18.016585,65.8807902999979,66.18171430000803,65.8807902999979,None,None,65.8807902999979,None,66.68170650000393,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,objects,objects033.bmp,0,27,27,27,,,,,,,None,,66.68170650000393,None,66.68170650000393,None,2021-06-17-12:40:18.832997,66.69747240000288,66.99837759998627,66.69747240000288,None,None,66.69747240000288,None,67.49832340000721,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,objects,objects055.bmp,0,28,28,28,,,,,,,None,,67.49832340000721,None,67.49832340000721,None,2021-06-17-12:40:19.651730,67.51512860000366,67.81507149999379,67.51512860000366,None,None,67.51512860000366,None,68.31507730000594,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block_end,objects,objects065.bmp,0,29,29,29,,,,,,,None,,68.31507730000594,None,68.31507730000594,None,2021-06-17-12:40:20.467696,68.33195180000621,68.63176779999048,68.33195180000621,None,None,68.33195180000621,None,69.13144349999202,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
null_block,null_block,null_block.bmp,0,30,30,30,,,,,,,t,3.1954526000190526,69.13150240000687,None,69.13150240000687,None,2021-06-17-12:40:24.499041,72.36509299999452,None,72.36509299999452,None,None,72.36509299999452,None,72.37005259998841,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block_start,scenes,scenes087.bmp,0,31,31,31,,,,,,,t,1.4990863999992143,84.38190989999566,None,84.38190989999566,None,2021-06-17-12:40:38.050969,85.91221740000765,86.21525869998732,85.91221740000765,None,None,85.91221740000765,None,86.71521269998338,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scenes,scenes049.bmp,0,32,32,32,,,,,,,None,,86.71521269998338,None,86.71521269998338,None,2021-06-17-12:40:38.868827,86.7329819999868,87.03191719998722,86.7329819999868,None,None,86.7329819999868,None,87.53187589998997,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scenes,scenes008.bmp,0,33,33,33,,,,,,,None,,87.53187589998997,None,87.53187589998997,None,2021-06-17-12:40:39.684286,87.54864689998794,87.84855940000853,87.54864689998794,None,None,87.54864689998794,None,88.34855550000502,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scenes,scenes084.bmp,0,34,34,34,,,,,,,None,,88.34855550000502,None,88.34855550000502,None,2021-06-17-12:40:40.501966,88.36647829998401,88.66500619999715,88.36647829998401,None,None,88.36647829998401,None,89.16506029999873,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scenes,scenes085.bmp,0,35,35,35,,,,,,,None,,89.16506029999873,None,89.16506029999873,None,2021-06-17-12:40:41.317558,89.18298300000606,89.48191639999277,89.18298300000606,None,None,89.18298300000606,None,89.98191860000661,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scenes,scenes022.bmp,0,36,36,36,,,,,,,None,,89.98191860000661,None,89.98191860000661,None,2021-06-17-12:40:42.134529,90.0004568999866,90.29848619998666,90.0004568999866,None,None,90.0004568999866,None,90.79856689998705,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scenes,scenes031.bmp,0,37,37,37,,,,,,,None,,90.79856689998705,None,90.79856689998705,None,2021-06-17-12:40:42.951181,90.81564409998828,91.11522289999994,90.81564409998828,None,None,90.81564409998828,None,91.61524619999982,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
block,scenes,scenes015.bmp,0,38,38,38,,,,,,,None,,91.61524619999982,None,91.61524619999982,None,2021-06-17-12:40:43.768854,91.63480920001166,91.94853970000986,91.63480920001166,None,None,91.63480920001166,None,92.43184559998626,None,1,0001,2021_Jun_17_1239,localizer,2021.1.3,59.93360555554036,
