block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,13.572370700072497,None,13.572370700072497,None,return,1.073214199859649,13.572370700072497,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00001,0001,2021_Sep_03_1048,localizer,2021.1.3,60.01511190627339,
,,,0,0,0,0,,,,,,,,,,,,,14.66780380019918,None,15.666960199829191,None,y,1.6184032997116446,15.666960199829191,None,17.30033680004999,None,b,0.14267490012571216,17.30033680004999,None,17.467065799981356,None,n,0,1.6910041999071836,17.467065799981356,None,,,,,,,,,,,,,,,,,,,,,,,00001,0001,2021_Sep_03_1048,localizer,2021.1.3,60.01511190627339,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.183963200077415,None,y,4.715665199793875,19.183963200077415,None,,,,,,,,,,,,,,,,,00001,0001,2021_Sep_03_1048,localizer,2021.1.3,60.01511190627339,
block_start,scrambled,scrambled004.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,21.958568799775094,23.968224099837244,None,23.968224099837244,None,2021-09-03-10:49:06.122144,45.95293270004913,46.26720710005611,45.95293270004913,None,None,45.95293270004913,None,46.76730157993734,None,00001,0001,2021_Sep_03_1048,localizer,2021.1.3,60.01511190627339,
block,scrambled,scrambled024.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,46.76730157993734,None,46.76730157993734,None,2021-09-03-10:49:06.953033,46.80430079996586,47.1173061998561,46.80430079996586,None,None,46.80430079996586,None,47.583684879820794,None,00001,0001,2021_Sep_03_1048,localizer,2021.1.3,60.01511190627339,
block,scrambled,scrambled060.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,47.583684879820794,None,47.583684879820794,None,2021-09-03-10:49:07.755507,47.593255899846554,47.90063880011439,47.593255899846554,None,None,47.593255899846554,None,48.4004901801236,None,00001,0001,2021_Sep_03_1048,localizer,2021.1.3,60.01511190627339,
block,scrambled,scrambled006.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,48.4004901801236,None,48.4004901801236,None,2021-09-03-10:49:08.577283,48.41054600011557,48.717329300008714,48.41054600011557,None,None,48.41054600011557,None,49.21718857996166,None,00001,0001,2021_Sep_03_1048,localizer,2021.1.3,60.01511190627339,
block,scrambled,scrambled030.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,49.21718857996166,None,49.21718857996166,None,2021-09-03-10:49:09.389193,49.22574560018256,49.533895700238645,49.22574560018256,None,None,49.22574560018256,None,50.03399437991902,None,00001,0001,2021_Sep_03_1048,localizer,2021.1.3,60.01511190627339,
block,scrambled,scrambled072.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,50.03399437991902,None,50.03399437991902,None,2021-09-03-10:49:10.213948,50.067047299817204,50.36734850006178,50.067047299817204,None,None,50.067047299817204,None,50.85075558023527,None,00001,0001,2021_Sep_03_1048,localizer,2021.1.3,60.01511190627339,
block,scrambled,scrambled047.bmp,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,50.85075558023527,None,50.85075558023527,None,2021-09-03-10:49:11.031150,50.87052300013602,51.184015000239015,50.87052300013602,None,None,50.87052300013602,None,51.666492079850286,None,00001,0001,2021_Sep_03_1048,localizer,2021.1.3,60.01511190627339,
