block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,repeat_response.rt,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,8.838611300103366,None,return,36.942282100208104,8.838611300103366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
,,,,,,,,,,,,,,,,,45.835237899795175,None,45.835237899795175,None,return,1.324209500104189,45.835237899795175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,47.17573419958353,None,48.17465709988028,None,y,4.009518600068986,48.17465709988028,None,52.20848120003939,None,b,1.8327458994463086,52.20848120003939,None,54.05849730037153,None,n,0,39.44291630014777,54.05849730037153,None,,,,,,,,,,,,,,,,,,,,,,,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.52628630027175,None,y,8.740886399522424,93.52628630027175,None,,,,,,,,,,,,,,,,,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
null_block,null_block,null_block.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,15.548185999505222,102.34370750002563,None,102.34370750002563,None,2021-11-12-14:34:10.783502,117.92523945961148,None,117.92523945961148,None,None,117.92523945961148,None,117.91977579984814,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block_start,objects,objects082.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.965209100395441,129.9259604997933,None,129.9259604997933,None,2021-11-12-14:34:24.786383,131.91591569967568,132.22544580046088,131.91591569967568,None,None,131.91591569967568,None,132.72547123022377,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,objects,objects029.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,132.72547123022377,None,132.72547123022377,None,2021-11-12-14:34:25.601811,132.73189759999514,133.04278849996626,132.73189759999514,None,None,132.73189759999514,None,133.54285153001547,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,objects,objects071.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,133.54285153001547,None,133.54285153001547,None,2021-11-12-14:34:26.420176,133.5490763997659,133.8588004997,133.5490763997659,None,None,133.5490763997659,None,134.35947652999312,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,objects,objects045.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,134.35947652999312,None,134.35947652999312,None,2021-11-12-14:34:27.236806,134.3657387997955,134.67591109964997,134.3657387997955,None,None,134.3657387997955,None,135.1758727300912,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,objects,objects037.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,135.1758727300912,None,135.1758727300912,None,2021-11-12-14:34:28.052390,135.18256140034646,135.49195040017366,135.18256140034646,None,None,135.18256140034646,None,135.99280782975256,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,objects,objects020.bmp,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,135.99280782975256,None,135.99280782975256,None,2021-11-12-14:34:28.870292,135.99936790019274,136.30920939985663,135.99936790019274,None,None,135.99936790019274,None,136.80921102967113,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,objects,objects050.bmp,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,136.80921102967113,None,136.80921102967113,None,2021-11-12-14:34:29.686743,136.8154242997989,137.12713939975947,136.8154242997989,None,None,136.8154242997989,None,137.6255606301129,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,objects,objects080.bmp,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,137.6255606301129,None,137.6255606301129,None,2021-11-12-14:34:30.502088,137.63496960047632,137.94240100029856,137.63496960047632,None,None,137.63496960047632,None,138.44284433033317,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,objects,objects010.bmp,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,138.44284433033317,None,138.44284433033317,None,2021-11-12-14:34:31.320323,138.45255069993436,138.7588283997029,138.45255069993436,None,None,138.45255069993436,None,139.25936842989177,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,objects,objects064.bmp,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,139.25936842989177,None,139.25936842989177,None,2021-11-12-14:34:32.136866,139.26614919956774,139.57589829992503,139.26614919956774,None,None,139.26614919956774,None,140.07550423033535,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,objects,objects019.bmp,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,140.07550423033535,None,140.07550423033535,None,2021-11-12-14:34:32.951789,140.08053710032254,140.3919700998813,140.08053710032254,None,None,140.08053710032254,None,140.89245713036507,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,objects,objects028.bmp,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,140.89245713036507,None,140.89245713036507,None,2021-11-12-14:34:33.768987,140.89768510032445,141.2087073996663,140.89768510032445,None,None,140.89768510032445,None,141.6981903295964,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,objects,objects039.bmp,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,141.6981903295964,None,141.6981903295964,None,2021-11-12-14:34:34.582406,141.7135621998459,142.0253028003499,141.7135621998459,None,None,141.7135621998459,None,142.50895683001727,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,objects,objects054.bmp,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,142.50895683001727,None,142.50895683001727,None,2021-11-12-14:34:35.385488,142.51445049978793,142.82534960005432,142.51445049978793,None,None,142.51445049978793,None,143.32532822992653,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block_end,objects,objects036.bmp,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,143.32532822992653,None,143.32532822992653,None,2021-11-12-14:34:36.200521,143.32887620013207,143.6425347002223,143.32887620013207,None,None,143.32887620013207,None,144.14191662985831,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block_start,faces,faces036.bmp,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.749109299853444,144.1418201001361,None,144.1418201001361,None,2021-11-12-14:34:38.786943,145.91629969980568,146.22596750035882,145.91629969980568,None,None,145.91629969980568,None,146.72521173022687,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,faces,faces085.bmp,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,146.72521173022687,None,146.72521173022687,None,2021-11-12-14:34:39.601567,146.7293902002275,147.04199200030416,146.7293902002275,None,None,146.7293902002275,None,147.54234682954848,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,faces,faces024.bmp,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,147.54234682954848,None,147.54234682954848,None,2021-11-12-14:34:40.418687,147.5481265997514,147.8583896998316,147.5481265997514,None,None,147.5481265997514,None,148.3594998298213,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,faces,faces080.bmp,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,148.3594998298213,None,148.3594998298213,None,2021-11-12-14:34:41.236881,148.36882039997727,148.67585050035268,148.36882039997727,None,None,148.36882039997727,None,149.1759374300018,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,faces,faces065.bmp,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,149.1759374300018,None,149.1759374300018,None,2021-11-12-14:34:42.053565,149.18858989980072,149.49275519978255,149.18858989980072,None,None,149.18858989980072,None,149.9929253300652,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,faces,faces010.bmp,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,149.9929253300652,None,149.9929253300652,None,2021-11-12-14:34:42.870303,150.00033759977669,150.3094231998548,150.00033759977669,None,None,150.00033759977669,None,150.80953382980078,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,faces,faces006.bmp,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,150.80953382980078,None,150.80953382980078,None,2021-11-12-14:34:43.687047,150.8174659004435,151.1261579003185,150.8174659004435,None,None,150.8174659004435,None,151.62626632954925,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,faces,faces047.bmp,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,151.62626632954925,None,151.62626632954925,None,2021-11-12-14:34:44.503594,151.63338090013713,151.94234870001674,151.63338090013713,None,None,151.63338090013713,None,152.44290443044156,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,faces,faces055.bmp,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,152.44290443044156,None,152.44290443044156,None,2021-11-12-14:34:45.320383,152.44906380027533,152.7591121001169,152.44906380027533,None,None,152.44906380027533,None,153.25985862966627,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,faces,faces075.bmp,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,153.25985862966627,None,153.25985862966627,None,2021-11-12-14:34:46.139031,153.26923029962927,153.5756345000118,153.26923029962927,None,None,153.26923029962927,None,154.0753544298932,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,faces,faces066.bmp,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,154.0753544298932,None,154.0753544298932,None,2021-11-12-14:34:46.951697,154.08520940039307,154.39231720007956,154.08520940039307,None,None,154.08520940039307,None,154.89232292957604,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,faces,faces030.bmp,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,154.89232292957604,None,154.89232292957604,None,2021-11-12-14:34:47.768665,154.89794590044767,155.2088310001418,154.89794590044767,None,None,154.89794590044767,None,155.70900552999228,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,faces,faces078.bmp,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,155.70900552999228,None,155.70900552999228,None,2021-11-12-14:34:48.586259,155.7209868999198,156.025808500126,155.7209868999198,None,None,155.7209868999198,None,156.5257410304621,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,faces,faces070.bmp,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,156.5257410304621,None,156.5257410304621,None,2021-11-12-14:34:49.402078,156.53247820027173,156.84284770023078,156.53247820027173,None,None,156.53247820027173,None,157.3428795300424,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block_end,faces,faces044.bmp,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,157.3428795300424,None,157.3428795300424,None,2021-11-12-14:34:50.220233,157.3499248996377,157.65877509955317,157.3499248996377,None,None,157.3499248996377,None,158.1590132303536,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block_start,scrambled,scrambled032.bmp,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.7323934994637966,158.158993399702,None,158.158993399702,None,2021-11-12-14:34:52.785628,159.91647389996797,160.2258767997846,159.91647389996797,None,None,159.91647389996797,None,160.72536303009838,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scrambled,scrambled005.bmp,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,160.72536303009838,None,160.72536303009838,None,2021-11-12-14:34:53.600939,160.73371610045433,161.04218850005418,160.73371610045433,None,None,160.73371610045433,None,161.54232192970812,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scrambled,scrambled047.bmp,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,161.54232192970812,None,161.54232192970812,None,2021-11-12-14:34:54.418664,161.54788099974394,161.8586897002533,161.54788099974394,None,None,161.54788099974394,None,162.35901422984898,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scrambled,scrambled064.bmp,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,162.35901422984898,None,162.35901422984898,None,2021-11-12-14:34:55.235362,162.36169380042702,162.67550930008292,162.36169380042702,None,None,162.36169380042702,None,163.17591292969882,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scrambled,scrambled074.bmp,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,163.17591292969882,None,163.17591292969882,None,2021-11-12-14:34:56.052248,163.18215079978108,163.49229090008885,163.18215079978108,None,None,163.18215079978108,None,163.99215723015368,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scrambled,scrambled044.bmp,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,163.99215723015368,None,163.99215723015368,None,2021-11-12-14:34:56.868500,163.99741199985147,164.30889050010592,163.99741199985147,None,None,163.99741199985147,None,164.8090316299349,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scrambled,scrambled061.bmp,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,164.8090316299349,None,164.8090316299349,None,2021-11-12-14:34:57.685371,164.81462460011244,165.1255850996822,164.81462460011244,None,None,164.81462460011244,None,165.62613002955914,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scrambled,scrambled035.bmp,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,165.62613002955914,None,165.62613002955914,None,2021-11-12-14:34:58.503438,165.63286069966853,165.94840610027313,165.63286069966853,None,None,165.63286069966853,None,166.4417233299464,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scrambled,scrambled011.bmp,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,166.4417233299464,None,166.4417233299464,None,2021-11-12-14:34:59.317073,166.4472869001329,166.7589691998437,166.4472869001329,None,None,166.4472869001329,None,167.25883882958442,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scrambled,scrambled056.bmp,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,167.25883882958442,None,167.25883882958442,None,2021-11-12-14:35:00.135182,167.26346139982343,167.57574210036546,167.26346139982343,None,None,167.26346139982343,None,168.0758830299601,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scrambled,scrambled033.bmp,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,168.0758830299601,None,168.0758830299601,None,2021-11-12-14:35:00.952416,168.0824341000989,168.39257050026208,168.0824341000989,None,None,168.0824341000989,None,168.89250962994993,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scrambled,scrambled082.bmp,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,168.89250962994993,None,168.89250962994993,None,2021-11-12-14:35:01.768845,168.90175979956985,169.20863519981503,168.90175979956985,None,None,168.90175979956985,None,169.7090069297701,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scrambled,scrambled042.bmp,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,169.7090069297701,None,169.7090069297701,None,2021-11-12-14:35:02.585549,169.71528690028936,170.02546679973602,169.71528690028936,None,None,169.71528690028936,None,170.5256914300844,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scrambled,scrambled071.bmp,,,,,0,44,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,170.5256914300844,None,170.5256914300844,None,2021-11-12-14:35:03.402028,170.5304639004171,170.8428632002324,170.5304639004171,None,None,170.5304639004171,None,171.3429045304656,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block_end,scrambled,scrambled025.bmp,,,,,0,45,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,171.3429045304656,None,171.3429045304656,None,2021-11-12-14:35:04.220428,171.3546275999397,171.6586519004777,171.3546275999397,None,None,171.3546275999397,None,172.16272673010826,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block_start,scenes,scenes048.bmp,,,,,0,46,46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.731474899686873,172.1599682001397,None,172.1599682001397,None,2021-11-12-14:35:06.797511,173.92973919957876,174.24234510026872,173.92973919957876,None,None,173.92973919957876,None,174.7258261302486,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scenes,scenes088.bmp,,,,,0,47,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,174.7258261302486,None,174.7258261302486,None,2021-11-12-14:35:07.602147,174.73580770008266,175.04297170042992,174.73580770008266,None,None,174.73580770008266,None,175.54287903010845,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scenes,scenes047.bmp,,,,,0,48,48,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,175.54287903010845,None,175.54287903010845,None,2021-11-12-14:35:08.420210,175.54980279970914,175.85899040009826,175.54980279970914,None,None,175.54980279970914,None,176.35973692964762,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scenes,scenes042.bmp,,,,,0,49,49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,176.35973692964762,None,176.35973692964762,None,2021-11-12-14:35:09.237250,176.36852199956775,176.67549140006304,176.36852199956775,None,None,176.36852199956775,None,177.17566812969744,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scenes,scenes089.bmp,,,,,0,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,177.17566812969744,None,177.17566812969744,None,2021-11-12-14:35:10.052029,177.1850779997185,177.49232940003276,177.1850779997185,None,None,177.1850779997185,None,177.99237603042275,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scenes,scenes009.bmp,,,,,0,51,51,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,177.99237603042275,None,177.99237603042275,None,2021-11-12-14:35:10.868718,177.99799699988216,178.30892070010304,177.99799699988216,None,None,177.99799699988216,None,178.8088247301057,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scenes,scenes080.bmp,,,,,0,52,52,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,178.8088247301057,None,178.8088247301057,None,2021-11-12-14:35:11.685795,178.81982969958335,179.12560020014644,178.81982969958335,None,None,178.81982969958335,None,179.6254603303969,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scenes,scenes054.bmp,,,,,0,53,53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,179.6254603303969,None,179.6254603303969,None,2021-11-12-14:35:12.501802,179.6360839996487,179.9423916004598,179.6360839996487,None,None,179.6360839996487,None,180.4424500297755,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scenes,scenes068.bmp,,,,,0,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,180.4424500297755,None,180.4424500297755,None,2021-11-12-14:35:13.318788,180.44837229978293,180.75932389963418,180.44837229978293,None,None,180.44837229978293,None,181.25927023030818,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scenes,scenes033.bmp,,,,,0,55,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,181.25927023030818,None,181.25927023030818,None,2021-11-12-14:35:14.135859,181.2681569000706,181.57625889964402,181.2681569000706,None,None,181.2681569000706,None,182.07578883040696,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scenes,scenes011.bmp,,,,,0,56,56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,182.07578883040696,None,182.07578883040696,None,2021-11-12-14:35:14.952324,182.08177059981972,182.39217139966786,182.08177059981972,None,None,182.08177059981972,None,182.89236272964627,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scenes,scenes011.bmp,,,,,0,57,57,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,182.89236272964627,None,182.89236272964627,None,2021-11-12-14:35:15.768705,182.89332639984787,183.20899740047753,182.89332639984787,None,y,182.89332639984787,None,183.69233653042465,None,0.6793302996084094,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scenes,scenes061.bmp,,,,,0,58,58,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,183.69233653042465,None,183.69233653042465,None,2021-11-12-14:35:16.570681,183.6999145001173,184.00904219970107,183.6999145001173,183.6999145001173,None,183.6999145001173,183.6999145001173,184.5094746304676,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block,scenes,scenes040.bmp,,,,,0,59,59,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,184.5094746304676,None,184.5094746304676,None,2021-11-12-14:35:17.385813,184.5203799996525,184.82600460015237,184.5203799996525,None,None,184.5203799996525,None,185.326160130091,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
block_end,scenes,scenes050.bmp,,,,,0,60,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,185.326160130091,None,185.326160130091,None,2021-11-12-14:35:18.202497,185.33283630013466,185.64232509955764,185.33283630013466,None,None,185.33283630013466,None,186.1426553297788,None,,11003,0001,2021_Nov_12_1432,localizer,2021.1.3,59.29798285861883,
