block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,repeat_response.rt,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,8.10533160000341,None,return,105.33688749995781,8.10533160000341,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
,,,,,,,,,,,,,,,,,113.4821651999955,None,113.4821651999955,None,return,6.442522700002883,113.4821651999955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,119.94721979997121,None,120.9638703999808,None,y,2.2854348000255413,120.9638703999808,None,123.27982619998511,None,b,1.3444375999970362,123.27982619998511,None,124.64220999996178,None,n,0,1.9112326999893412,124.64220999996178,None,,,,,,,,,,,,,,,,,,,,,,,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.57630229997449,None,y,30.608011699980125,126.57630229997449,None,,,,,,,,,,,,,,,,,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
null_block,null_block,null_block.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,17.738768099981826,157.27341789996717,None,157.27341789996717,None,2022-05-26-11:53:26.001360,175.05935537997868,None,175.05935537997868,None,None,175.05935537997868,None,175.05694059998496,None,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
block_start,scenes,scenes060.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.950442600005772,187.0619850999792,None,187.0619850999792,None,2022-05-26-11:53:40.003342,189.053210699989,189.3592301000026,189.053210699989,None,None,189.053210699989,None,189.8589311399963,None,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
block,scenes,scenes037.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,189.8589311399963,None,189.8589311399963,None,2022-05-26-11:53:40.818515,189.86658510001143,190.17656059999717,189.86658510001143,None,None,189.86658510001143,None,190.676612639986,None,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
block,scenes,scenes010.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,190.676612639986,None,190.676612639986,None,2022-05-26-11:53:41.637178,190.68722479999997,190.99231930001406,190.68722479999997,None,None,190.68722479999997,None,191.49254503998674,None,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
block,scenes,scenes049.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,191.49254503998674,None,191.49254503998674,None,2022-05-26-11:53:42.452129,191.50030229997355,191.80927490000613,191.50030229997355,None,None,191.50030229997355,None,192.30992153998233,None,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
block,scenes,scenes020.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,192.30992153998233,None,192.30992153998233,None,2022-05-26-11:53:43.270546,192.32049159996677,192.62625359999947,192.32049159996677,None,None,192.32049159996677,None,193.1267917399644,None,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
block,scenes,scenes050.bmp,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,193.1267917399644,None,193.1267917399644,None,2022-05-26-11:53:44.088332,193.134940799966,193.44604609999806,193.134940799966,None,None,193.134940799966,None,193.94260173996446,None,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
block,scenes,scenes082.bmp,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,193.94260173996446,None,193.94260173996446,None,2022-05-26-11:53:44.902219,193.94974269997329,194.25963669997873,193.94974269997329,None,None,193.94974269997329,None,194.75949033997023,None,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
block,scenes,scenes065.bmp,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,194.75949033997023,None,194.75949033997023,None,2022-05-26-11:53:45.720283,194.7679162999848,195.0755524999695,194.7679162999848,None,None,194.7679162999848,None,195.5757955400157,None,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
block,scenes,scenes043.bmp,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,195.5757955400157,None,195.5757955400157,None,2022-05-26-11:53:46.535384,195.58352210000157,195.89275759999873,195.58352210000157,None,None,195.58352210000157,None,196.3927585400059,None,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
block,scenes,scenes014.bmp,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,196.3927585400059,None,196.3927585400059,None,2022-05-26-11:53:47.352336,196.4016911999788,196.70937980001327,196.4016911999788,None,None,196.4016911999788,None,197.20919903997566,None,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
block,scenes,scenes008.bmp,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,197.20919903997566,None,197.20919903997566,None,2022-05-26-11:53:48.168815,197.21830670000054,197.52544669999043,197.21830670000054,None,None,197.21830670000054,None,198.02575303999475,None,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
block,scenes,scenes005.bmp,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,198.02575303999475,None,198.02575303999475,None,2022-05-26-11:53:48.986011,198.03452180000022,198.34261880000122,198.03452180000022,None,None,198.03452180000022,None,198.8439071399742,None,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
block,scenes,scenes036.bmp,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,198.8439071399742,None,198.8439071399742,None,2022-05-26-11:53:49.805461,198.8551243999973,199.1595647999784,198.8551243999973,None,None,198.8551243999973,None,199.6597229400184,None,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
block,scenes,scenes054.bmp,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,199.6597229400184,None,199.6597229400184,None,2022-05-26-11:53:50.620317,199.6698403999908,199.97796240000753,199.6698403999908,None,None,199.6698403999908,None,200.47594003997511,None,,,,11015,0001,2022_May_26_1150,localizer,2021.1.3,60.795780280396734,
