block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,10.577515300014056,None,10.577515300014056,None,return,1.0644299999112263,10.577515300014056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12003,0001,2021_Jul_29_1232,localizer,2021.1.3,61.80828797918395,
,,,0,0,0,0,,,,,,,,,,,,,11.659427599981427,None,12.672802099958062,None,y,4.188663900014944,12.672802099958062,None,16.890546799986623,None,b,2.2860793999861926,16.890546799986623,None,19.207126999972388,None,n,0,2.5308304000645876,19.207126999972388,None,,,,,,,,,,,,,,,,,,,,,,,,,12003,0001,2021_Jul_29_1232,localizer,2021.1.3,61.80828797918395,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.75691320002079,None,y,19.414801299921237,21.75691320002079,None,,,,,,,,,,,,,,,,,,,12003,0001,2021_Jul_29_1232,localizer,2021.1.3,61.80828797918395,
null_block,null_block,null_block.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,34.71633930003736,41.256531800027005,None,41.256531800027005,None,2021-07-29-12:34:05.451854,76.00771024003626,None,76.00771024003626,None,None,76.00771024003626,None,76.00204699998721,None,,,12003,0001,2021_Jul_29_1232,localizer,2021.1.3,61.80828797918395,
block_start,objects,objects082.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.9663354000076652,88.00653659994714,None,88.00653659994714,None,2021-07-29-12:34:19.454729,89.99881130002905,90.30705109995324,89.99881130002905,None,None,89.99881130002905,None,90.80777636994608,None,,,12003,0001,2021_Jul_29_1232,localizer,2021.1.3,61.80828797918395,
block,objects,objects029.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,90.80777636994608,None,90.80777636994608,None,2021-07-29-12:34:20.271139,90.81603809993248,91.12353800004348,90.81603809993248,None,None,90.81603809993248,None,91.62359516995494,None,,,12003,0001,2021_Jul_29_1232,localizer,2021.1.3,61.80828797918395,
block,objects,objects071.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,91.62359516995494,None,91.62359516995494,None,2021-07-29-12:34:21.086083,91.62808880000375,91.94061469996814,91.62808880000375,None,None,91.62808880000375,None,92.44092606995255,None,,,12003,0001,2021_Jul_29_1232,localizer,2021.1.3,61.80828797918395,
block,objects,objects045.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,92.44092606995255,None,92.44092606995255,None,2021-07-29-12:34:21.903417,92.44781519996468,92.756768799969,92.44781519996468,None,None,92.44781519996468,None,93.25773536993657,None,,,12003,0001,2021_Jul_29_1232,localizer,2021.1.3,61.80828797918395,
block,objects,objects037.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,93.25773536993657,None,93.25773536993657,None,2021-07-29-12:34:22.720947,93.26481289998628,93.57370279997122,93.26481289998628,None,None,93.26481289998628,None,94.07446597001982,None,,,12003,0001,2021_Jul_29_1232,localizer,2021.1.3,61.80828797918395,
block,objects,objects020.bmp,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,94.07446597001982,None,94.07446597001982,None,2021-07-29-12:34:23.537853,94.08260269998573,94.39032999996562,94.08260269998573,None,None,94.08260269998573,None,94.8906401699409,None,,,12003,0001,2021_Jul_29_1232,localizer,2021.1.3,61.80828797918395,
block,objects,objects050.bmp,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,94.8906401699409,None,94.8906401699409,None,2021-07-29-12:34:24.352890,94.89605969993863,95.20767819997855,94.89605969993863,None,None,94.89605969993863,None,95.70778796994128,None,,,12003,0001,2021_Jul_29_1232,localizer,2021.1.3,61.80828797918395,
