block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,repeat_response.rt,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,14.324758499977179,None,14.324758499977179,None,return,2.2813191999448463,14.324758499977179,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12003,0002,2021_Jul_29_1251,localizer,2021.1.3,60.13435217056142,
,,,0,0,0,0,,,,,,,,,,,,,16.63079820002895,None,17.645709699951112,None,y,5.552081900066696,17.645709699951112,None,23.22907270002179,None,b,0.7306196999270469,23.22907270002179,None,23.980980699998327,None,n,0,2.11393680004403,23.980980699998327,None,,,,,,,,,,,,,,,,,,,,,,,,,,12003,0002,2021_Jul_29_1251,localizer,2021.1.3,60.13435217056142,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.11356229998637,None,y,85.91536600003019,26.11356229998637,None,,,,,,,,,,,,,,,,,,,,12003,0002,2021_Jul_29_1251,localizer,2021.1.3,60.13435217056142,
null_block,null_block,null_block.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,24.86347380001098,112.07025089999661,None,112.07025089999661,None,2021-07-29-12:53:55.101514,136.96333679001546,None,136.96333679001546,None,None,136.96333679001546,None,136.9671398999635,None,,,,12003,0002,2021_Jul_29_1251,localizer,2021.1.3,60.13435217056142,
block_start,scenes,scenes022.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.9533214000985026,148.9805576999206,None,148.9805576999206,None,2021-07-29-12:54:09.104126,150.97532949992456,151.2804517999757,150.97532949992456,None,None,150.97532949992456,None,151.78037028996042,None,,,,12003,0002,2021_Jul_29_1251,localizer,2021.1.3,60.13435217056142,
block,scenes,scenes007.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,151.78037028996042,None,151.78037028996042,None,2021-07-29-12:54:09.919574,151.7913411000045,152.0971128999954,151.7913411000045,None,None,151.7913411000045,None,152.59702738994966,None,,,,12003,0002,2021_Jul_29_1251,localizer,2021.1.3,60.13435217056142,
block,scenes,scenes008.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,152.59702738994966,None,152.59702738994966,None,2021-07-29-12:54:10.736449,152.59813219995704,152.91393429995514,152.59813219995704,None,None,152.59813219995704,None,153.4124511899776,None,,,,12003,0002,2021_Jul_29_1251,localizer,2021.1.3,60.13435217056142,
block,scenes,scenes038.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,153.4124511899776,None,153.4124511899776,None,2021-07-29-12:54:11.550762,153.41412049997598,153.71345949999522,153.41412049997598,None,None,153.41412049997598,None,154.213486989995,None,,,,12003,0002,2021_Jul_29_1251,localizer,2021.1.3,60.13435217056142,
block,scenes,scenes041.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,154.213486989995,None,154.213486989995,None,2021-07-29-12:54:12.353695,154.220455499948,154.53014409996103,154.220455499948,154.220455499948,None,154.220455499948,154.220455499948,155.0305552899721,None,,,,12003,0002,2021_Jul_29_1251,localizer,2021.1.3,60.13435217056142,
block,scenes,scenes089.bmp,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,155.0305552899721,None,155.0305552899721,None,2021-07-29-12:54:13.169648,155.03148859995417,155.34700419998262,155.03148859995417,None,None,155.03148859995417,None,155.83079759000103,None,,,,12003,0002,2021_Jul_29_1251,localizer,2021.1.3,60.13435217056142,
block,scenes,scenes020.bmp,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,155.83079759000103,None,155.83079759000103,None,2021-07-29-12:54:13.972984,155.83408479997888,156.14778020000085,155.83408479997888,155.83408479997888,None,155.83408479997888,155.83408479997888,156.64705158994767,None,,,,12003,0002,2021_Jul_29_1251,localizer,2021.1.3,60.13435217056142,
block,scenes,scenes091.bmp,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,156.64705158994767,None,156.64705158994767,None,2021-07-29-12:54:14.786458,156.6480925999349,156.96385499997996,156.6480925999349,None,None,156.6480925999349,None,157.44803139000433,None,,,,12003,0002,2021_Jul_29_1251,localizer,2021.1.3,60.13435217056142,
block,scenes,scenes058.bmp,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,157.44803139000433,None,157.44803139000433,None,2021-07-29-12:54:15.593390,157.46146829996724,157.76372649997938,157.46146829996724,157.46146829996724,None,157.46146829996724,157.46146829996724,158.26379828996724,None,,,,12003,0002,2021_Jul_29_1251,localizer,2021.1.3,60.13435217056142,
