block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,repeat_response.rt,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,9.777580600231886,None,return,2.5416032997891307,9.777580600231886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12008,0001,2021_Dec_16_1426,localizer,2021.1.3,59.40891697148491,
,,,,,,,,,,,,,,,,,12.370281499810517,None,12.370281499810517,None,return,12.533968599513173,12.370281499810517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12008,0001,2021_Dec_16_1426,localizer,2021.1.3,59.40891697148491,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,24.919831899926066,None,25.93205800000578,None,y,2.4551124991849065,25.93205800000578,None,28.41972880065441,None,b,1.2753387996926904,28.41972880065441,None,29.714824800379574,None,n,0,2.6945838006213307,29.714824800379574,None,,,,,,,,,,,,,,,,,,,,,,,,,,12008,0001,2021_Dec_16_1426,localizer,2021.1.3,59.40891697148491,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.43034990038723,None,y,26.921724599786103,32.43034990038723,None,,,,,,,,,,,,,,,,,,,,12008,0001,2021_Dec_16_1426,localizer,2021.1.3,59.40891697148491,
null_block,null_block,null_block.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,122.95154979918152,59.44338809978217,None,59.44338809978217,None,2021-12-16-14:29:23.773973,182.431452120468,None,182.431452120468,None,None,182.431452120468,None,182.4316397998482,None,,,,12008,0001,2021_Dec_16_1426,localizer,2021.1.3,59.40891697148491,
block_start,scenes,scenes006.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.9638429004698992,194.43127290066332,None,194.43127290066332,None,2021-12-16-14:29:37.775737,196.42492409981787,196.73153460025787,196.42492409981787,None,None,196.42492409981787,None,197.23184446003287,None,,,,12008,0001,2021_Dec_16_1426,localizer,2021.1.3,59.40891697148491,
block,scenes,scenes060.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,197.23184446003287,None,197.23184446003287,None,2021-12-16-14:29:38.592229,197.24315200001,197.54824960045516,197.24315200001,None,None,197.24315200001,None,198.04835666008293,None,,,,12008,0001,2021_Dec_16_1426,localizer,2021.1.3,59.40891697148491,
block,scenes,scenes035.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,198.04835666008293,None,198.04835666008293,None,2021-12-16-14:29:39.408731,198.05815810058266,198.36466680001467,198.05815810058266,None,None,198.05815810058266,None,198.86615656074136,None,,,,12008,0001,2021_Dec_16_1426,localizer,2021.1.3,59.40891697148491,
block,scenes,scenes001.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,198.86615656074136,None,198.86615656074136,None,2021-12-16-14:29:40.228396,198.87966120056808,199.1816682005301,198.87966120056808,None,None,198.87966120056808,None,199.68182955998927,None,,,,12008,0001,2021_Dec_16_1426,localizer,2021.1.3,59.40891697148491,
block,scenes,scenes012.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,199.68182955998927,None,199.68182955998927,None,2021-12-16-14:29:41.041174,199.6933948006481,199.99839720036834,199.6933948006481,None,None,199.6933948006481,None,200.4981586601585,None,,,,12008,0001,2021_Dec_16_1426,localizer,2021.1.3,59.40891697148491,
block,scenes,scenes031.bmp,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,200.4981586601585,None,200.4981586601585,None,2021-12-16-14:29:41.858338,200.50614409986883,200.81493709981441,200.50614409986883,None,None,200.50614409986883,None,201.3152785602957,None,,,,12008,0001,2021_Dec_16_1426,localizer,2021.1.3,59.40891697148491,
block,scenes,scenes066.bmp,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,201.3152785602957,None,201.3152785602957,None,2021-12-16-14:29:42.675448,201.32519310060889,201.6315066004172,201.32519310060889,None,None,201.32519310060889,None,202.13161576017737,None,,,,12008,0001,2021_Dec_16_1426,localizer,2021.1.3,59.40891697148491,
