block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,repeat_response.rt,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,11.405427900026552,None,return,82.55244210001547,11.405427900026552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
,,,,,,,,,,,,,,,,,93.99622050003381,None,93.99622050003381,None,return,0.8530403999611735,93.99622050003381,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,94.87462880002568,None,95.87401900003897,None,y,0.846171899989713,95.87401900003897,None,96.74230650003301,None,b,0.8728334000334144,96.74230650003301,None,97.64202880003722,None,n,0,2.6181974000064656,97.64202880003722,None,,,,,,,,,,,,,,,,,,,,,,,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.29190940002445,None,y,12.81311479996657,100.29190940002445,None,,,,,,,,,,,,,,,,,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block_start,objects,objects001.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,16.55562340002507,113.14662880002288,None,113.14662880002288,None,2022-01-24-14:08:49.725055,129.73510240000905,130.04176679998636,129.73510240000905,None,None,129.73510240000905,None,130.54143793004332,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,objects,objects066.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,130.54143793004332,None,130.54143793004332,None,2022-01-24-14:08:50.541023,130.5432109000394,130.8583934000344,130.5432109000394,None,None,130.5432109000394,None,131.34270053004147,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,objects,objects064.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,131.34270053004147,None,131.34270053004147,None,2022-01-24-14:08:51.346356,131.34678429999622,131.65836890001083,131.34678429999622,131.34678429999622,None,131.34678429999622,131.34678429999622,132.1581789300195,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,objects,objects081.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,132.1581789300195,None,132.1581789300195,None,2022-01-24-14:08:52.156680,132.1590395999956,132.47488709999016,132.1590395999956,None,None,132.1590395999956,None,132.95836633003782,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,objects,objects028.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,132.95836633003782,None,132.95836633003782,None,2022-01-24-14:08:52.958918,132.9611313000205,133.27515200001653,132.9611313000205,132.9611313000205,None,132.9611313000205,132.9611313000205,133.77601153004215,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,objects,objects034.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,133.77601153004215,None,133.77601153004215,None,2022-01-24-14:08:53.776487,133.7789722000016,134.0916012999951,133.7789722000016,None,None,133.7789722000016,None,134.59118943000212,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,objects,objects034.bmp,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,134.59118943000212,None,134.59118943000212,None,2022-01-24-14:08:54.589694,134.59255490003852,134.90817170002265,134.59255490003852,None,y,134.59255490003852,None,135.40817153002135,None,0.49441069999011233,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,objects,objects002.bmp,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,135.40817153002135,None,135.40817153002135,None,2022-01-24-14:08:55.406672,135.40904510003747,135.72468119999394,135.40904510003747,None,None,135.40904510003747,None,136.20842102998867,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,objects,objects073.bmp,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,136.20842102998867,None,136.20842102998867,None,2022-01-24-14:08:56.209118,136.21131750004133,136.52506770001492,136.21131750004133,136.21131750004133,None,136.21131750004133,136.21131750004133,137.02506323003908,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,objects,objects015.bmp,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,137.02506323003908,None,137.02506323003908,None,2022-01-24-14:08:57.023559,137.02593800000614,137.32503559999168,137.02593800000614,None,None,137.02593800000614,None,137.82763883002335,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,objects,objects033.bmp,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,137.82763883002335,None,137.82763883002335,None,2022-01-24-14:08:57.832171,137.835273100005,138.1421507000341,137.835273100005,137.835273100005,None,137.835273100005,137.835273100005,138.64172643000492,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,objects,objects055.bmp,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,138.64172643000492,None,138.64172643000492,None,2022-01-24-14:08:58.641415,138.6426061000093,138.9419126000139,138.6426061000093,None,None,138.6426061000093,None,139.44197383001446,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,objects,objects026.bmp,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,139.44197383001446,None,139.44197383001446,None,2022-01-24-14:08:59.443666,139.45034350000788,139.75819530000445,139.45034350000788,139.45034350000788,None,139.45034350000788,139.45034350000788,140.25794393001124,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,objects,objects032.bmp,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,140.25794393001124,None,140.25794393001124,None,2022-01-24-14:09:00.256444,140.25907940004254,140.57478920003632,140.25907940004254,None,None,140.25907940004254,None,141.07463743004482,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block_end,objects,objects059.bmp,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,141.07463743004482,None,141.07463743004482,None,2022-01-24-14:09:01.073141,141.07581220002612,141.37500790000195,141.07581220002612,None,None,141.07581220002612,None,141.87505383000243,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
null_block,null_block,null_block.bmp,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.8270426000235602,141.87502080004197,None,141.87502080004197,None,2022-01-24-14:09:03.723875,143.72517333001596,None,143.72517333001596,None,None,143.72517333001596,None,143.73012480000034,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block_start,scrambled,scrambled019.bmp,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.9605139999766834,155.74164890003158,None,155.74164890003158,None,2022-01-24-14:09:17.725035,157.72724859998561,158.04799049999565,157.72724859998561,None,None,157.72724859998561,None,158.52625573003897,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,scrambled,scrambled018.bmp,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,158.52625573003897,None,158.52625573003897,None,2022-01-24-14:09:18.528727,158.53050120000262,158.84182540001348,158.53050120000262,158.53050120000262,None,158.53050120000262,158.53050120000262,159.3420329300221,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,scrambled,scrambled071.bmp,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,159.3420329300221,None,159.3420329300221,None,2022-01-24-14:09:19.340528,159.3427513000206,159.6419409000082,159.3427513000206,None,None,159.3427513000206,None,160.15823923001298,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,scrambled,scrambled051.bmp,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,160.15823923001298,None,160.15823923001298,None,2022-01-24-14:09:20.156739,160.15933390002465,160.4750735000125,160.15933390002465,None,None,160.15933390002465,None,160.95860393004259,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,scrambled,scrambled012.bmp,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,160.95860393004259,None,160.95860393004259,None,2022-01-24-14:09:20.960091,160.96130640001502,161.2616321000387,160.96130640001502,160.96130640001502,None,160.96130640001502,160.96130640001502,161.77506053001852,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,scrambled,scrambled053.bmp,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,161.77506053001852,None,161.77506053001852,None,2022-01-24-14:09:21.773803,161.77599200000986,162.0752394000301,161.77599200000986,None,None,161.77599200000986,None,162.59165113002527,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,scrambled,scrambled067.bmp,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,162.59165113002527,None,162.59165113002527,None,2022-01-24-14:09:22.590150,162.5971215000027,162.90846040000906,162.5971215000027,None,None,162.5971215000027,None,163.40881993001094,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,scrambled,scrambled043.bmp,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,163.40881993001094,None,163.40881993001094,None,2022-01-24-14:09:23.408511,163.40944250003668,163.72477880003862,163.40944250003668,None,None,163.40944250003668,None,164.20862102999817,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,scrambled,scrambled058.bmp,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,164.20862102999817,None,164.20862102999817,None,2022-01-24-14:09:24.209215,164.21125360002043,164.52566650003428,164.21125360002043,164.21125360002043,None,164.21125360002043,164.21125360002043,165.0257661300362,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,scrambled,scrambled046.bmp,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,165.0257661300362,None,165.0257661300362,None,2022-01-24-14:09:25.025805,165.0283008000115,165.3418365000398,165.0283008000115,None,None,165.0283008000115,None,165.8420608300017,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,scrambled,scrambled007.bmp,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,165.8420608300017,None,165.8420608300017,None,2022-01-24-14:09:25.840768,165.8427521000267,166.15910049999366,165.8427521000267,None,None,165.8427521000267,None,166.64282622999744,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,scrambled,scrambled010.bmp,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,166.64282622999744,None,166.64282622999744,None,2022-01-24-14:09:26.645970,166.64804870000808,166.95952480001142,166.64804870000808,166.64804870000808,None,166.64804870000808,166.64804870000808,167.45961093002697,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,scrambled,scrambled020.bmp,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,167.45961093002697,None,167.45961093002697,None,2022-01-24-14:09:27.459270,167.46210160001647,167.77499669999816,167.46210160001647,None,None,167.46210160001647,None,168.2772150300094,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
block,scrambled,scrambled041.bmp,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,168.2772150300094,None,168.2772150300094,None,2022-01-24-14:09:28.280667,168.28236920002382,168.57757510000374,168.28236920002382,None,None,168.28236920002382,None,169.08145633004605,None,,,,12009,0002,2022_Jan_24_1406,localizer,2021.1.3,61.4313630526912,
