block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,repeat_response.rt,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,14.5995552999957,None,return,87.27201869999408,14.5995552999957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12011,0001,2022_Feb_03_0927,localizer,2021.1.3,60.48750509722457,
,,,,,,,,,,,,,,,,,101.92058139998699,None,101.92058139998699,None,return,8.812227000016719,101.92058139998699,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12011,0001,2022_Feb_03_0927,localizer,2021.1.3,60.48750509722457,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,110.75890479999362,None,111.76926839997759,None,y,1.6667356000107247,111.76926839997759,None,113.45860519999405,None,b,1.988997600012226,113.45860519999405,None,115.47013679999509,None,n,0,2.746910999994725,115.47013679999509,None,,,,,,,,,,,,,,,,,,,,,,,,,,12011,0001,2022_Feb_03_0927,localizer,2021.1.3,60.48750509722457,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.23775739999837,None,y,31.443956699979026,118.23775739999837,None,,,,,,,,,,,,,,,,,,,,12011,0001,2022_Feb_03_0927,localizer,2021.1.3,60.48750509722457,
block_start,objects,objects022.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,16.26437520000036,149.77328329999,None,149.77328329999,None,2022-02-03-09:30:13.703702,166.06965910000145,166.3704259999795,166.06965910000145,None,None,166.06965910000145,None,166.87005289998197,None,,,,12011,0001,2022_Feb_03_0927,localizer,2021.1.3,60.48750509722457,
block,objects,objects082.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,166.87005289998197,None,166.87005289998197,None,2022-02-03-09:30:14.521242,166.8839367000037,167.1867004999949,166.8839367000037,None,None,166.8839367000037,None,167.68689459997987,None,,,,12011,0001,2022_Feb_03_0927,localizer,2021.1.3,60.48750509722457,
block,objects,objects027.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,167.68689459997987,None,167.68689459997987,None,2022-02-03-09:30:15.335092,167.69842279999284,168.0046702999971,167.69842279999284,None,None,167.69842279999284,None,168.50345349997806,None,,,,12011,0001,2022_Feb_03_0927,localizer,2021.1.3,60.48750509722457,
block,objects,objects088.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,168.50345349997806,None,168.50345349997806,None,2022-02-03-09:30:16.151654,168.51454889998422,168.82024139998248,168.51454889998422,None,None,168.51454889998422,None,169.32024269998365,None,,,,12011,0001,2022_Feb_03_0927,localizer,2021.1.3,60.48750509722457,
block,objects,objects014.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,169.32024269998365,None,169.32024269998365,None,2022-02-03-09:30:16.968440,169.33055009998498,169.63669809998828,169.33055009998498,None,None,169.33055009998498,None,170.13677649999445,None,,,,12011,0001,2022_Feb_03_0927,localizer,2021.1.3,60.48750509722457,
block,objects,objects085.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,170.13677649999445,None,170.13677649999445,None,2022-02-03-09:30:17.785169,170.14786810000078,170.45378869998967,170.14786810000078,None,None,170.14786810000078,None,170.9528229999909,None,,,,12011,0001,2022_Feb_03_0927,localizer,2021.1.3,60.48750509722457,
