block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,repeat_response.rt,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,16.179085000010673,None,16.179085000010673,None,return,1.1263195999781601,16.179085000010673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21001,0002,2021_Sep_07_1006,localizer,2021.1.3,59.90502656601558,
,,,0,0,0,0,,,,,,,,,,,,,17.324763700016774,None,18.32512160000624,None,y,0.47808500000974163,18.32512160000624,None,18.82526950002648,None,b,0.7791368999751285,18.82526950002648,None,19.625506400014274,None,n,0,0.7909550999756902,19.625506400014274,None,,,,,,,,,,,,,,,,,,,,,,,,,,21001,0002,2021_Sep_07_1006,localizer,2021.1.3,59.90502656601558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.442096000013407,None,y,8.380616499984171,20.442096000013407,None,,,,,,,,,,,,,,,,,,,,21001,0002,2021_Sep_07_1006,localizer,2021.1.3,59.90502656601558,
block_start,objects,objects023.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,2.4273585999617353,28.891962599998806,None,28.891962599998806,None,2021-09-07-10:06:45.023218,31.34229470003629,31.641822300036438,31.34229470003629,None,None,31.34229470003629,None,32.14163589002565,None,,,,21001,0002,2021_Sep_07_1006,localizer,2021.1.3,59.90502656601558,
block,objects,objects013.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,32.14163589002565,None,32.14163589002565,None,2021-09-07-10:06:45.826006,32.14228880003793,32.44191380002303,32.14228880003793,32.14228880003793,None,32.14228880003793,32.14228880003793,32.94159408998676,None,,,,21001,0002,2021_Sep_07_1006,localizer,2021.1.3,59.90502656601558,
block,objects,objects014.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,32.94159408998676,None,32.94159408998676,None,2021-09-07-10:06:46.625632,32.94230140000582,33.24213030003011,32.94230140000582,32.94230140000582,None,32.94230140000582,32.94230140000582,33.741961789981,None,,,,21001,0002,2021_Sep_07_1006,localizer,2021.1.3,59.90502656601558,
block,objects,objects057.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,33.741961789981,None,33.741961789981,None,2021-09-07-10:06:47.430649,33.756806100020185,34.05806459998712,33.756806100020185,33.756806100020185,None,33.756806100020185,33.756806100020185,34.55825899002375,None,,,,21001,0002,2021_Sep_07_1006,localizer,2021.1.3,59.90502656601558,
block,objects,objects054.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,34.55825899002375,None,34.55825899002375,None,2021-09-07-10:06:48.241941,34.566214599995874,34.87485080002807,34.566214599995874,None,None,34.566214599995874,None,35.37500139002223,None,,,,21001,0002,2021_Sep_07_1006,localizer,2021.1.3,59.90502656601558,
block,objects,objects022.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,35.37500139002223,None,35.37500139002223,None,2021-09-07-10:06:49.058162,35.37793920002878,35.69155300001148,35.37793920002878,None,None,35.37793920002878,None,36.19199779003393,None,,,,21001,0002,2021_Sep_07_1006,localizer,2021.1.3,59.90502656601558,
block,objects,objects006.bmp,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,36.19199779003393,None,36.19199779003393,None,2021-09-07-10:06:49.882214,36.213748699985445,36.525229900027625,36.213748699985445,None,None,36.213748699985445,None,37.00863699000329,None,,,,21001,0002,2021_Sep_07_1006,localizer,2021.1.3,59.90502656601558,
