block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,repeat_response.rt,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,10.857695100130513,None,return,64.54197390004992,10.857695100130513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21004,0001,2022_Jun_06_1307,localizer,2021.1.3,59.994948372913164,
,,,,,,,,,,,,,,,,,75.44035240006633,None,75.44035240006633,None,return,5.687714099884033,75.44035240006633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21004,0001,2022_Jun_06_1307,localizer,2021.1.3,59.994948372913164,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,81.15561780007556,None,82.17714240006171,None,y,4.508455300005153,82.17714240006171,None,86.70545620005578,None,b,2.6301061999984086,86.70545620005578,None,89.35825110017322,None,n,0,2.1043700999580324,89.35825110017322,None,,,,,,,,,,,,,,,,,,,,,,,,,,21004,0001,2022_Jun_06_1307,localizer,2021.1.3,59.994948372913164,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.48645590012893,None,y,35.27411780017428,91.48645590012893,None,,,,,,,,,,,,,,,,,,,,21004,0001,2022_Jun_06_1307,localizer,2021.1.3,59.994948372913164,
null_block,null_block,null_block.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,15.926698399940506,126.8760461001657,None,126.8760461001657,None,2022-06-06-13:09:41.666931,142.83899760013446,None,142.83899760013446,None,None,142.83899760013446,None,142.84369749994949,None,,,,21004,0001,2022_Jun_06_1307,localizer,2021.1.3,59.994948372913164,
block_start,scenes,scenes085.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.947869900148362,154.85463030007668,None,154.85463030007668,None,2022-06-06-13:09:55.668977,156.83648249995895,157.1382983000949,156.83648249995895,None,None,156.83648249995895,None,157.6372173500713,None,,,,21004,0001,2022_Jun_06_1307,localizer,2021.1.3,59.994948372913164,
block,scenes,scenes057.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,157.6372173500713,None,157.6372173500713,None,2022-06-06-13:09:56.480160,157.64644840010442,157.95460680010729,157.64644840010442,None,None,157.64644840010442,None,158.45406715013087,None,,,,21004,0001,2022_Jun_06_1307,localizer,2021.1.3,59.994948372913164,
block,scenes,scenes032.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,158.45406715013087,None,158.45406715013087,None,2022-06-06-13:09:57.298007,158.46443100017495,158.7709536999464,158.46443100017495,None,None,158.46443100017495,None,159.27084304997697,None,,,,21004,0001,2022_Jun_06_1307,localizer,2021.1.3,59.994948372913164,
block,scenes,scenes017.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,159.27084304997697,None,159.27084304997697,None,2022-06-06-13:09:58.113842,159.28240040014498,159.5879168000538,159.28240040014498,None,None,159.28240040014498,None,160.08747655013576,None,,,,21004,0001,2022_Jun_06_1307,localizer,2021.1.3,59.994948372913164,
block,scenes,scenes081.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,160.08747655013576,None,160.08747655013576,None,2022-06-06-13:09:58.936393,160.1113993001636,160.42158750002272,160.1113993001636,None,None,160.1113993001636,None,160.9040767501574,None,,,,21004,0001,2022_Jun_06_1307,localizer,2021.1.3,59.994948372913164,
