block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,repeat_response.rt,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,9.985581200104207,None,return,57.02926089987159,9.985581200104207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
,,,,,,,,,,,,,,,,,67.07204389991239,None,67.07204389991239,None,return,1.9514250000938773,67.07204389991239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,69.04964940017089,None,70.06042800005525,None,y,15.789364899974316,70.06042800005525,None,85.87796759977937,None,b,2.561635300051421,85.87796759977937,None,88.46073060017079,None,n,0,2.683118599932641,88.46073060017079,None,,,,,,,,,,,,,,,,,,,,,,,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.16175699979067,None,y,87.1097352001816,91.16175699979067,None,,,,,,,,,,,,,,,,,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
block_start,scenes,scenes084.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,21.55894579971209,178.35956940008327,None,178.35956940008327,None,2022-07-25-14:01:45.064533,199.95841629989445,200.26122559979558,199.95841629989445,None,None,199.95841629989445,None,200.76184389013798,None,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
block,scenes,scenes092.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,200.76184389013798,None,200.76184389013798,None,2022-07-25-14:01:45.883592,200.77597730001435,201.07786219986156,200.77597730001435,None,None,200.77597730001435,None,201.57823089016603,None,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
block,scenes,scenes034.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,201.57823089016603,None,201.57823089016603,None,2022-07-25-14:01:46.697654,201.58902540011331,201.8945205998607,201.58902540011331,None,None,201.58902540011331,None,202.3950544900261,None,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
block,scenes,scenes076.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,202.3950544900261,None,202.3950544900261,None,2022-07-25-14:01:47.514536,202.4056969997473,202.711273400113,202.4056969997473,None,None,202.4056969997473,None,203.21214438993485,None,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
block,scenes,scenes015.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,203.21214438993485,None,203.21214438993485,None,2022-07-25-14:01:48.332755,203.22525449981913,203.5276963999495,203.22525449981913,None,None,203.22525449981913,None,204.02810198972003,None,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
block,scenes,scenes027.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,204.02810198972003,None,204.02810198972003,None,2022-07-25-14:01:49.147533,204.0388156999834,204.34435749985278,204.0388156999834,None,None,204.0388156999834,None,204.84483368992807,None,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
block,scenes,scenes081.bmp,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,204.84483368992807,None,204.84483368992807,None,2022-07-25-14:01:49.964497,204.85472000017762,205.16109529975802,204.85472000017762,None,None,204.85472000017762,None,205.66124229012058,None,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
block,scenes,scenes038.bmp,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,205.66124229012058,None,205.66124229012058,None,2022-07-25-14:01:50.780706,205.67001819983125,205.97827509976923,205.67001819983125,None,None,205.67001819983125,None,206.47856098990889,None,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
block,scenes,scenes080.bmp,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,206.47856098990889,None,206.47856098990889,None,2022-07-25-14:01:51.598987,206.49006350012496,206.7948969998397,206.49006350012496,None,None,206.49006350012496,None,207.29530088994653,None,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
block,scenes,scenes053.bmp,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,207.29530088994653,None,207.29530088994653,None,2022-07-25-14:01:52.415730,207.3056876999326,207.61124360002577,207.3056876999326,None,None,207.3056876999326,None,208.11144008971752,None,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
block,scenes,scenes045.bmp,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,208.11144008971752,None,208.11144008971752,None,2022-07-25-14:01:53.230878,208.12183659989387,208.4277248000726,208.12183659989387,None,None,208.12183659989387,None,208.92840879010038,None,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
block,scenes,scenes052.bmp,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,208.92840879010038,None,208.92840879010038,None,2022-07-25-14:01:54.048025,208.9389784997329,209.24474880006164,208.9389784997329,None,None,208.9389784997329,None,209.74491528999062,None,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
block,scenes,scenes035.bmp,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,209.74491528999062,None,209.74491528999062,None,2022-07-25-14:01:54.864443,209.75503990007564,210.06197670008987,209.75503990007564,None,None,209.75503990007564,None,210.5613174901344,None,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
block,scenes,scenes018.bmp,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,210.5613174901344,None,210.5613174901344,None,2022-07-25-14:01:55.680761,210.57077809982002,210.8780991998501,210.57077809982002,None,None,210.57077809982002,None,211.37810508972035,None,,,,21007,0001,2022_Jul_25_1358,localizer,2021.1.3,60.617375922040004,
