block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,repeat_response.rt,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,12.309361499967054,None,return,464.90998039999977,12.309361499967054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
,,,,,,,,,,,,,,,,,477.2639690998476,None,477.2639690998476,None,return,1.2077081000898033,477.2639690998476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,478.4929317999631,None,479.4921564999968,None,y,2.907705800142139,479.4921564999968,None,482.42603309988044,None,b,1.2367304000072181,482.42603309988044,None,483.69284410006367,None,n,0,1.4300802000798285,483.69284410006367,None,,,,,,,,,,,,,,,,,,,,,,,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.142667299835,None,y,0.2442521001212299,485.142667299835,None,,,,,,,,,,,,,,,,,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block_start,scenes,scenes040.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,41.295170299941674,485.4427020000294,None,485.4427020000294,None,2022-08-11-12:13:45.359649,526.7605155999772,527.0754694999196,526.7605155999772,None,None,526.7605155999772,None,527.5755001300015,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scenes,scenes061.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,527.5755001300015,None,527.5755001300015,None,2022-08-11-12:13:46.179352,527.578107399866,527.891912000021,527.578107399866,None,None,527.578107399866,None,528.3983703300357,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scenes,scenes019.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,528.3983703300357,None,528.3983703300357,None,2022-08-11-12:13:47.007821,528.4067450999282,528.709492099937,528.4067450999282,None,None,528.4067450999282,None,529.2086327299942,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scenes,scenes076.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,529.2086327299942,None,529.2086327299942,None,2022-08-11-12:13:47.811274,529.219455299899,529.5259789000265,529.219455299899,None,None,529.219455299899,None,530.0260502298363,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scenes,scenes027.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,530.0260502298363,None,530.0260502298363,None,2022-08-11-12:13:48.629893,530.0268347999081,530.3418268999085,530.0268347999081,None,None,530.0268347999081,None,530.8483461300377,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scenes,scenes041.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,530.8483461300377,None,530.8483461300377,None,2022-08-11-12:13:49.458160,530.8569280998781,531.1586543000303,530.8569280998781,None,None,530.8569280998781,None,531.6587877299637,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scenes,scenes003.bmp,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,531.6587877299637,None,531.6587877299637,None,2022-08-11-12:13:50.261643,531.6595254000276,531.9584699999541,531.6595254000276,None,None,531.6595254000276,None,532.4589244300034,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scenes,scenes025.bmp,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,532.4589244300034,None,532.4589244300034,None,2022-08-11-12:13:51.063772,532.4759058000054,532.7756453999318,532.4759058000054,532.4759058000054,None,532.4759058000054,532.4759058000054,533.2753231300042,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scenes,scenes067.bmp,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,533.2753231300042,None,533.2753231300042,None,2022-08-11-12:13:51.878598,533.2762640998699,533.5920857999008,533.2762640998699,None,None,533.2762640998699,None,534.0919550299179,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scenes,scenes052.bmp,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,534.0919550299179,None,534.0919550299179,None,2022-08-11-12:13:52.695064,534.0981769000646,534.4085704998579,534.0981769000646,None,None,534.0981769000646,None,534.90886153006,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scenes,scenes068.bmp,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,534.90886153006,None,534.90886153006,None,2022-08-11-12:13:53.511715,534.9096208999399,535.2091198998969,534.9096208999399,None,None,534.9096208999399,None,535.7099076300394,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scenes,scenes066.bmp,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,535.7099076300394,None,535.7099076300394,None,2022-08-11-12:13:54.315821,535.7253741999157,536.0253641000018,535.7253741999157,535.7253741999157,None,535.7253741999157,535.7253741999157,536.5254215300549,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scenes,scenes055.bmp,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,536.5254215300549,None,536.5254215300549,None,2022-08-11-12:13:55.128279,536.5261560999788,536.8254288998432,536.5261560999788,None,None,536.5261560999788,None,537.3254124299158,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scenes,scenes035.bmp,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,537.3254124299158,None,537.3254124299158,None,2022-08-11-12:13:55.930264,537.3372185998596,537.6421978999861,537.3372185998596,537.3372185998596,None,537.3372185998596,537.3372185998596,538.1420646298677,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block_end,scenes,scenes089.bmp,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,538.1420646298677,None,538.1420646298677,None,2022-08-11-12:13:56.744921,538.1483358000405,538.4587166998535,538.1483358000405,None,None,538.1483358000405,None,538.9590157298837,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block_start,scrambled,scrambled041.bmp,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.7778340999502689,538.9589787998702,None,538.9589787998702,None,2022-08-11-12:13:59.360519,540.7677652998827,541.082052799873,540.7677652998827,None,None,540.7677652998827,None,541.5754345299677,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scrambled,scrambled073.bmp,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,541.5754345299677,None,541.5754345299677,None,2022-08-11-12:14:00.178548,541.5852069999091,541.8921916000545,541.5852069999091,None,None,541.5852069999091,None,542.3920896300581,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scrambled,scrambled055.bmp,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,542.3920896300581,None,542.3920896300581,None,2022-08-11-12:14:00.994758,542.4021783999633,542.7088665000629,542.4021783999633,None,None,542.4021783999633,None,543.2087947300636,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scrambled,scrambled011.bmp,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,543.2087947300636,None,543.2087947300636,None,2022-08-11-12:14:01.811650,543.2097384999506,543.5095080998726,543.2097384999506,None,None,543.2097384999506,None,544.0091342300177,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scrambled,scrambled059.bmp,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,544.0091342300177,None,544.0091342300177,None,2022-08-11-12:14:02.613979,544.0108340999577,544.325684200041,544.0108340999577,544.0108340999577,None,544.0108340999577,544.0108340999577,544.8255650299136,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scrambled,scrambled007.bmp,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,544.8255650299136,None,544.8255650299136,None,2022-08-11-12:14:03.433354,544.842233199859,545.142154000001,544.842233199859,None,None,544.842233199859,None,545.6422192298808,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
block,scrambled,scrambled008.bmp,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,545.6422192298808,None,545.6422192298808,None,2022-08-11-12:14:04.245076,545.6523420000449,545.958782200003,545.6523420000449,None,None,545.6523420000449,None,546.4589712298941,None,,,,21010,0002,2022_Aug_11_1205,localizer,2021.1.3,60.02375740240065,
