block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,repeat_response.rt,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,9.668385099997977,None,return,50.89200890000211,9.668385099997977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21013,0001,2022_Oct_04_1315,localizer,2021.1.3,59.982353189994434,
,,,,,,,,,,,,,,,,,60.60989469999913,None,60.60989469999913,None,return,4.581084899997222,60.60989469999913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21013,0001,2022_Oct_04_1315,localizer,2021.1.3,59.982353189994434,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,65.22802270000102,None,66.23995780000405,None,y,2.5853249999927357,66.23995780000405,None,68.85149610000371,None,b,1.1689596999931382,68.85149610000371,None,70.05765030000475,None,n,0,1.541162000008626,70.05765030000475,None,,,,,,,,,,,,,,,,,,,,,,,,,,21013,0001,2022_Oct_04_1315,localizer,2021.1.3,59.982353189994434,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.6254415000003,None,y,35.415957499993965,71.6254415000003,None,,,,,,,,,,,,,,,,,,,,21013,0001,2022_Oct_04_1315,localizer,2021.1.3,59.982353189994434,
null_block,null_block,null_block.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,19.190432899995358,107.13587209999969,None,107.13587209999969,None,2022-10-04-13:17:40.416184,126.36958110000415,None,126.36958110000415,None,None,126.36958110000415,None,126.36950250000518,None,,,,21013,0001,2022_Oct_04_1315,localizer,2021.1.3,59.982353189994434,
block_start,scenes,scenes076.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.9562948999955552,138.37013310000475,None,138.37013310000475,None,2022-10-04-13:17:54.415046,140.3640635000047,140.66843760000484,140.3640635000047,None,None,140.3640635000047,None,141.1697924000022,None,,,,21013,0001,2022_Oct_04_1315,localizer,2021.1.3,59.982353189994434,
block,scenes,scenes005.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,141.1697924000022,None,141.1697924000022,None,2022-10-04-13:17:55.236919,141.18735160000506,141.50232200000028,141.18735160000506,None,None,141.18735160000506,None,141.98621590000258,None,,,,21013,0001,2022_Oct_04_1315,localizer,2021.1.3,59.982353189994434,
block,scenes,scenes057.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,141.98621590000258,None,141.98621590000258,None,2022-10-04-13:17:56.050185,141.99991880000744,142.30317400000058,141.99991880000744,None,None,141.99991880000744,None,142.80302410000732,None,,,,21013,0001,2022_Oct_04_1315,localizer,2021.1.3,59.982353189994434,
block,scenes,scenes066.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,142.80302410000732,None,142.80302410000732,None,2022-10-04-13:17:56.866361,142.81921800000418,143.1194334000029,142.81921800000418,None,None,142.81921800000418,None,143.61959450000577,None,,,,21013,0001,2022_Oct_04_1315,localizer,2021.1.3,59.982353189994434,
block,scenes,scenes033.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,143.61959450000577,None,143.61959450000577,None,2022-10-04-13:17:57.683923,143.63376430000062,143.93510440000682,143.63376430000062,None,None,143.63376430000062,None,144.43960870000447,None,,,,21013,0001,2022_Oct_04_1315,localizer,2021.1.3,59.982353189994434,
