block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.rt,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,8.981490400154144,None,return,2.0461839998606592,8.981490400154144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21017,0001,2022_Dec_14_1130,localizer,2021.1.3,59.7429023420602,
,,,,,,,,,,,,,,,,,11.07896520011127,None,11.07896520011127,None,return,1.3939274998847395,11.07896520011127,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21017,0001,2022_Dec_14_1130,localizer,2021.1.3,59.7429023420602,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,12.495819500181824,None,13.505912400083616,None,y,3.9267757998313755,13.505912400083616,None,17.45707380003296,None,b,1.4618158999364823,17.45707380003296,None,18.940390600124374,None,n,0,1.6415065000765026,18.940390600124374,None,,,,,,,,,,,,,,,,,,,,,,,,,,21017,0001,2022_Dec_14_1130,localizer,2021.1.3,59.7429023420602,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.606855500023812,None,y,100.08503199997358,20.606855500023812,None,,,,,,,,,,,,,,,,,,,,21017,0001,2022_Dec_14_1130,localizer,2021.1.3,59.7429023420602,
block_start,objects,objects031.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,15.23593489988707,120.79483650019392,None,120.79483650019392,None,2022-12-14-11:32:23.231313,136.07245760015212,136.37365940003656,136.07245760015212,None,y,0.7673264001496136,136.07245760015212,None,136.87410927000457,None,,,21017,0001,2022_Dec_14_1130,localizer,2021.1.3,59.7429023420602,
block,objects,objects072.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,136.87410927000457,None,136.87410927000457,None,2022-12-14-11:32:24.049963,136.8904571000021,137.1906231001485,136.8904571000021,None,None,,136.8904571000021,None,137.69065927010962,None,,,21017,0001,2022_Dec_14_1130,localizer,2021.1.3,59.7429023420602,
block,objects,objects015.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,137.69065927010962,None,137.69065927010962,None,2022-12-14-11:32:24.863320,137.70033400016837,138.0071590000298,137.70033400016837,None,None,,137.70033400016837,None,138.50714847021737,None,,,21017,0001,2022_Dec_14_1130,localizer,2021.1.3,59.7429023420602,
block,objects,objects043.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,138.50714847021737,None,138.50714847021737,None,2022-12-14-11:32:25.680811,138.5192012002226,138.82398340012878,138.5192012002226,None,None,,138.5192012002226,None,139.32509797015229,None,,,21017,0001,2022_Dec_14_1130,localizer,2021.1.3,59.7429023420602,
block,objects,objects011.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,139.32509797015229,None,139.32509797015229,None,2022-12-14-11:32:26.500852,139.34174870001152,139.657327900175,139.34174870001152,None,None,,139.34174870001152,None,140.14066347009503,None,,,21017,0001,2022_Dec_14_1130,localizer,2021.1.3,59.7429023420602,
block,objects,objects027.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,140.14066347009503,None,140.14066347009503,None,2022-12-14-11:32:27.314531,140.1523929000832,140.45696880016476,140.1523929000832,None,None,,140.1523929000832,None,140.9576586700976,None,,,21017,0001,2022_Dec_14_1130,localizer,2021.1.3,59.7429023420602,
