block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,repeat_response.rt,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,14.976143199950457,None,14.976143199950457,None,return,1.2995965001173317,14.976143199950457,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22001,0002,2021_Aug_17_1019,localizer,2021.1.3,59.999807943273424,
,,,0,0,0,0,,,,,,,,,,,,,16.28853640006855,None,17.288831599988043,None,y,0.6753375995904207,17.288831599988043,None,17.988677999936044,None,b,0.9876124998554587,17.988677999936044,None,19.005395599640906,None,n,0,1.0472070001997054,19.005395599640906,None,,,,,,,,,,,,,,,,,,,,,,,,,,22001,0002,2021_Aug_17_1019,localizer,2021.1.3,59.999807943273424,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.07203090004623,None,y,1.6524723004549742,20.07203090004623,None,,,,,,,,,,,,,,,,,,,,22001,0002,2021_Aug_17_1019,localizer,2021.1.3,59.999807943273424,
block_start,objects,objects023.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,4.357520100194961,21.772307499777526,None,21.772307499777526,None,2021-08-17-10:19:21.589697,26.16515879984945,26.472182400058955,26.16515879984945,None,None,26.16515879984945,None,26.972059529833494,None,,,,22001,0002,2021_Aug_17_1019,localizer,2021.1.3,59.999807943273424,
block,objects,objects013.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,26.972059529833494,None,26.972059529833494,None,2021-08-17-10:19:22.405476,26.97242289967835,27.271913399919868,26.97242289967835,None,None,26.97242289967835,None,27.77217882974073,None,,,,22001,0002,2021_Aug_17_1019,localizer,2021.1.3,59.999807943273424,
block,objects,objects014.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,27.77217882974073,None,27.77217882974073,None,2021-08-17-10:19:23.213729,27.779589099809527,28.088827499654144,27.779589099809527,27.779589099809527,None,27.779589099809527,27.779589099809527,28.588871829770504,None,,,,22001,0002,2021_Aug_17_1019,localizer,2021.1.3,59.999807943273424,
block,objects,objects057.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,28.588871829770504,None,28.588871829770504,None,2021-08-17-10:19:24.027180,28.603593399748206,28.90550970006734,28.603593399748206,None,None,28.603593399748206,None,29.40531952967867,None,,,,22001,0002,2021_Aug_17_1019,localizer,2021.1.3,59.999807943273424,
block,objects,objects054.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,29.40531952967867,None,29.40531952967867,None,2021-08-17-10:19:24.837726,29.407646999694407,29.722120099700987,29.407646999694407,None,None,29.407646999694407,None,30.221983830071984,None,,,,22001,0002,2021_Aug_17_1019,localizer,2021.1.3,59.999807943273424,
block,objects,objects022.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,30.221983830071984,None,30.221983830071984,None,2021-08-17-10:19:25.661126,30.2357896999456,30.53852739976719,30.2357896999456,None,None,30.2357896999456,None,31.038768329750745,None,,,,22001,0002,2021_Aug_17_1019,localizer,2021.1.3,59.999807943273424,
block,objects,objects006.bmp,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,31.038768329750745,None,31.038768329750745,None,2021-08-17-10:19:26.478938,31.059018899686635,31.37210140004754,31.059018899686635,None,None,31.059018899686635,None,31.855520429648458,None,,,,22001,0002,2021_Aug_17_1019,localizer,2021.1.3,59.999807943273424,
