block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,repeat_response.rt,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,8.4804465000052,None,return,55.83983970002737,8.4804465000052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22005,0001,2022_Mar_04_1150,localizer,2021.1.3,61.04909201683444,
,,,,,,,,,,,,,,,,,64.37614599999506,None,64.37614599999506,None,return,9.595550400088541,64.37614599999506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22005,0001,2022_Mar_04_1150,localizer,2021.1.3,61.04909201683444,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,74.00123590009753,None,75.01505190005992,None,y,3.2305032999720424,75.01505190005992,None,78.26441579998937,None,b,1.2162808999419212,78.26441579998937,None,79.49823250004556,None,n,0,39.392336899996735,79.49823250004556,None,,,,,,,,,,,,,,,,,,,,,,,,,,22005,0001,2022_Mar_04_1150,localizer,2021.1.3,61.04909201683444,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.91449990007095,None,y,7.920876299962401,118.91449990007095,None,,,,,,,,,,,,,,,,,,,,22005,0001,2022_Mar_04_1150,localizer,2021.1.3,61.04909201683444,
null_block,null_block,null_block.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,16.512687299982645,126.92966590006836,None,126.92966590006836,None,2022-03-04-11:52:25.014528,143.480305780028,None,143.480305780028,None,None,143.480305780028,None,143.48205610003788,None,,,,22005,0001,2022_Mar_04_1150,localizer,2021.1.3,61.04909201683444,
block_start,objects,objects001.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.9443897000746801,155.49801079998724,None,155.49801079998724,None,2022-03-04-11:52:39.019884,157.47912850009743,157.78109450009651,157.47912850009743,None,None,157.47912850009743,None,158.28135914009763,None,,,,22005,0001,2022_Mar_04_1150,localizer,2021.1.3,61.04909201683444,
block,objects,objects077.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,158.28135914009763,None,158.28135914009763,None,2022-03-04-11:52:39.833864,158.29505010007415,158.59764870000072,158.29505010007415,None,None,158.29505010007415,None,159.10352144009667,None,,,,22005,0001,2022_Mar_04_1150,localizer,2021.1.3,61.04909201683444,
block,objects,objects046.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,159.10352144009667,None,159.10352144009667,None,2022-03-04-11:52:40.662012,159.1186806000769,159.43118070007768,159.1186806000769,None,None,159.1186806000769,None,159.9145885400125,None,,,,22005,0001,2022_Mar_04_1150,localizer,2021.1.3,61.04909201683444,
block,objects,objects032.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,159.9145885400125,None,159.9145885400125,None,2022-03-04-11:52:41.466099,159.9223242000444,160.23111150006298,159.9223242000444,None,None,159.9223242000444,None,160.73307344006608,None,,,,22005,0001,2022_Mar_04_1150,localizer,2021.1.3,61.04909201683444,
block,objects,objects026.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,160.73307344006608,None,160.73307344006608,None,2022-03-04-11:52:42.286597,160.74779610009864,161.0475174000021,160.74779610009864,None,None,160.74779610009864,None,161.54765454008012,None,,,,22005,0001,2022_Mar_04_1150,localizer,2021.1.3,61.04909201683444,
