block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,repeat_response.rt,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,11.767777300032321,None,return,430.04535819997545,11.767777300032321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
,,,,,,,,,,,,,,,,,441.8485401000362,None,441.8485401000362,None,return,1.4144409999717027,441.8485401000362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,443.2790002000402,None,444.278469700017,None,y,2.618791799992323,444.278469700017,None,446.91306729998905,None,b,1.215122799971141,446.91306729998905,None,448.14603509998415,None,y,1,3.1312144999974407,448.14603509998415,None,,,,,,,,,,,,,,,,,,,,,,,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
,,,1,0,1,0,,,,,,,,,,,,,,,,,,,451.2958016000339,None,452.2955956000369,None,y,2.274468500050716,452.2955956000369,None,454.5960586000001,None,b,3.2430217000073753,454.5960586000001,None,457.8631507999962,None,n,0,1.5672871000133455,457.8631507999962,None,,,,,,,,,,,,,,,,,,,,,,,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.4464452000102,None,y,25.87776160001522,459.4464452000102,None,,,,,,,,,,,,,,,,,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
block_start,faces,faces043.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,16.322528999997303,485.3715069000027,None,485.3715069000027,None,2022-04-05-11:17:14.843676,501.7353202000377,502.04580790002365,501.7353202000377,None,None,501.7353202000377,None,502.5306259800156,None,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
block,faces,faces007.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,502.5306259800156,None,502.5306259800156,None,2022-04-05-11:17:15.666077,502.554466600006,502.8630058999988,502.554466600006,None,None,502.554466600006,None,503.3467344800185,None,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
block,faces,faces081.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,503.3467344800185,None,503.3467344800185,None,2022-04-05-11:17:16.474894,503.3491799000185,503.6633979000035,503.3491799000185,None,None,503.3491799000185,None,504.15081828002,None,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
block,faces,faces021.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,504.15081828002,None,504.15081828002,None,2022-04-05-11:17:17.281348,504.16575779998675,504.4797705000383,504.16575779998675,504.16575779998675,None,504.16575779998675,504.16575779998675,504.9641632799932,None,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
block,faces,faces075.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,504.9641632799932,None,504.9641632799932,None,2022-04-05-11:17:18.092787,504.9784295000136,505.27912940003444,504.9784295000136,None,None,504.9784295000136,None,505.7793079799914,None,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
block,faces,faces052.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,505.7793079799914,None,505.7793079799914,None,2022-04-05-11:17:18.904783,505.78072470001644,506.07920119998744,505.78072470001644,None,None,505.78072470001644,None,506.5799410800275,None,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
block,faces,faces045.bmp,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,506.5799410800275,None,506.5799410800275,None,2022-04-05-11:17:19.709434,506.59389710001415,506.89633940003114,506.59389710001415,506.59389710001415,None,506.59389710001415,506.59389710001415,507.3975089800253,None,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
block,faces,faces080.bmp,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,507.3975089800253,None,507.3975089800253,None,2022-04-05-11:17:20.526134,507.41465230000904,507.713345199998,507.41465230000904,None,None,507.41465230000904,None,508.2136750800011,None,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
block,faces,faces033.bmp,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,508.2136750800011,None,508.2136750800011,None,2022-04-05-11:17:21.341155,508.2336205000174,508.54619359999197,508.2336205000174,None,None,508.2336205000174,None,509.02983178002177,None,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
block,faces,faces008.bmp,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,509.02983178002177,None,509.02983178002177,None,2022-04-05-11:17:22.156292,509.0303874000092,509.3311254000291,509.0303874000092,None,None,509.0303874000092,None,509.8462963800004,None,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
block,faces,faces005.bmp,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,509.8462963800004,None,509.8462963800004,None,2022-04-05-11:17:22.972949,509.8469945000252,510.14679289999185,509.8469945000252,None,None,509.8469945000252,None,510.64686927998554,None,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
block,faces,faces014.bmp,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,510.64686927998554,None,510.64686927998554,None,2022-04-05-11:17:23.776497,510.6499717000406,510.9635416000383,510.6499717000406,510.6499717000406,None,510.6499717000406,510.6499717000406,511.46334068001596,None,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
block,faces,faces029.bmp,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,511.46334068001596,None,511.46334068001596,None,2022-04-05-11:17:24.589805,511.475314899988,511.7857567000319,511.475314899988,None,None,511.475314899988,None,512.2808349800355,None,,,,22006,0002,2022_Apr_05_1109,localizer,2021.1.3,60.88024307334411,
