block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,9.144624900072813,None,return,83.33081980003044,9.144624900072813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22011,0001,2022_Aug_12_1232,localizer,2021.1.3,59.92911583227335,
,,,,,,,,,,,,,,,,,92.52365240012296,None,92.52365240012296,None,return,2.492672999855131,92.52365240012296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22011,0001,2022_Aug_12_1232,localizer,2021.1.3,59.92911583227335,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,95.04568340000696,None,96.05825210013427,None,y,51.622150500072166,96.05825210013427,None,147.71358670014888,None,b,8.94481709995307,147.71358670014888,None,156.67589160008356,None,n,0,2.601788999978453,156.67589160008356,None,,,,,,,,,,,,,,,,,,,,,,,,,22011,0001,2022_Aug_12_1232,localizer,2021.1.3,59.92911583227335,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.2932314001955,None,b,89.73620910011232,159.2932314001955,None,,,,,,,,,,,,,,,,,,,22011,0001,2022_Aug_12_1232,localizer,2021.1.3,59.92911583227335,
block_start,objects,objects022.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,16.053520999848843,249.13685520016588,None,249.13685520016588,None,2022-08-12-12:36:44.053117,265.22489310009405,265.52607640018687,265.22489310009405,None,None,265.22489310009405,None,266.02715569019784,None,,,22011,0001,2022_Aug_12_1232,localizer,2021.1.3,59.92911583227335,
block,objects,objects082.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,266.02715569019784,None,266.02715569019784,None,2022-08-12-12:36:44.874559,266.0447822001297,266.35950790019706,266.0447822001297,None,None,266.0447822001297,None,266.8437554899836,None,,,22011,0001,2022_Aug_12_1232,localizer,2021.1.3,59.92911583227335,
block,objects,objects027.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,266.8437554899836,None,266.8437554899836,None,2022-08-12-12:36:45.688521,266.8565454999916,267.1600846000947,266.8565454999916,None,None,266.8565454999916,None,267.66000049009455,None,,,22011,0001,2022_Aug_12_1232,localizer,2021.1.3,59.92911583227335,
block,objects,objects088.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,267.66000049009455,None,267.66000049009455,None,2022-08-12-12:36:46.503775,267.67188630020246,267.9760536001995,267.67188630020246,None,None,267.67188630020246,None,268.47592859000434,None,,,22011,0001,2022_Aug_12_1232,localizer,2021.1.3,59.92911583227335,
block,objects,objects014.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,268.47592859000434,None,268.47592859000434,None,2022-08-12-12:36:47.318751,268.48209760012105,268.7927191001363,268.48209760012105,None,None,268.48209760012105,None,269.29930209002924,None,,,22011,0001,2022_Aug_12_1232,localizer,2021.1.3,59.92911583227335,
block,objects,objects085.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,269.29930209002924,None,269.29930209002924,None,2022-08-12-12:36:48.150895,269.3199034000281,269.6261303999927,269.3199034000281,None,None,269.3199034000281,None,270.1102123901481,None,,,22011,0001,2022_Aug_12_1232,localizer,2021.1.3,59.92911583227335,
