block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,repeat_response.rt,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,11.197987699881196,None,return,65.77434300025925,11.197987699881196,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22013,0001,2022_Sep_08_1353,localizer,2021.1.3,61.50174967437977,
,,,,,,,,,,,,,,,,,77.01669899979606,None,77.01669899979606,None,return,3.9521114001981914,77.01669899979606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22013,0001,2022_Sep_08_1353,localizer,2021.1.3,61.50174967437977,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,80.99574499996379,None,82.01121019991115,None,y,1.999452999792993,82.01121019991115,None,84.02865229966119,None,b,1.0281926998868585,84.02865229966119,None,85.07978909974918,None,n,0,1.2084128996357322,85.07978909974918,None,,,,,,,,,,,,,,,,,,,,,,,,,,22013,0001,2022_Sep_08_1353,localizer,2021.1.3,61.50174967437977,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.31206799997017,None,y,35.97683160007,86.31206799997017,None,,,,,,,,,,,,,,,,,,,,22013,0001,2022_Sep_08_1353,localizer,2021.1.3,61.50174967437977,
null_block,null_block,null_block.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,18.790381299797446,122.36770829977468,None,122.36770829977468,None,2022-09-08-13:55:51.923346,141.20077435988935,None,141.20077435988935,None,None,141.20077435988935,None,141.19856339972466,None,,,,22013,0001,2022_Sep_08_1353,localizer,2021.1.3,61.50174967437977,
block_start,scenes,scenes076.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.9452787996269763,153.2125184996985,None,153.2125184996985,None,2022-09-08-13:56:05.915744,155.18646019976586,155.49581009987742,155.18646019976586,None,None,155.18646019976586,None,155.9948200799525,None,,,,22013,0001,2022_Sep_08_1353,localizer,2021.1.3,61.50174967437977,
block,scenes,scenes005.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,155.9948200799525,None,155.9948200799525,None,2022-09-08-13:56:06.729812,155.9987240000628,156.31179369986057,155.9987240000628,None,None,155.9987240000628,None,156.81203587977217,None,,,,22013,0001,2022_Sep_08_1353,localizer,2021.1.3,61.50174967437977,
block,scenes,scenes057.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,156.81203587977217,None,156.81203587977217,None,2022-09-08-13:56:07.547025,156.81729819998145,157.12829989986494,156.81729819998145,None,None,156.81729819998145,None,157.6283709799871,None,,,,22013,0001,2022_Sep_08_1353,localizer,2021.1.3,61.50174967437977,
block,scenes,scenes066.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,157.6283709799871,None,157.6283709799871,None,2022-09-08-13:56:08.363378,157.63379539968446,157.94570369971916,157.63379539968446,None,None,157.63379539968446,None,158.44491147967057,None,,,,22013,0001,2022_Sep_08_1353,localizer,2021.1.3,61.50174967437977,
block,scenes,scenes033.bmp,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,158.44491147967057,None,158.44491147967057,None,2022-09-08-13:56:09.179910,158.4557964000851,158.761760099791,158.4557964000851,None,None,158.4557964000851,None,159.2611767800525,None,,,,22013,0001,2022_Sep_08_1353,localizer,2021.1.3,61.50174967437977,
