block_type,condition,img_name,Button.thisRepN,Button.thisTrialN,Button.thisN,Button.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Ready_experimenter_text.started,Ready_experimenter_text.stopped,Ready_experimenter_resp.keys,Ready_experimenter_resp.rt,Ready_experimenter_resp.started,Ready_experimenter_resp.stopped,Alignment_background.started,Alignment_background.stopped,Alignment_image.started,Alignment_image.stopped,Alignment_resp.keys,Alignment_resp.rt,Alignment_resp.started,Alignment_resp.stopped,Button_text.started,Button_text.stopped,Index_text.started,Index_text.stopped,Index_resp.keys,Index_resp.rt,Index_resp.started,Index_resp.stopped,Middle_text.started,Middle_text.stopped,Middle_resp.keys,Middle_resp.rt,Middle_resp.started,Middle_resp.stopped,Repeat_text.started,Repeat_text.stopped,Repeat_resp.keys,Repeat_resp.corr,Repeat_resp.rt,Repeat_resp.started,Repeat_resp.stopped,instruction_text.started,instruction_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,scanner_t.keys,scanner_t.rt,scanner_t.started,scanner_t.stopped,fixation_wait_for_t.started,fixation_wait_for_t.stopped,real_timestamp_trial_start,image.started,image.stopped,fixation.started,fixation.stopped,repeat_response.keys,repeat_response.started,repeat_response.stopped,fixation_null.started,fixation_null.stopped,end_text.started,end_text.stopped,participant,run,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,8.701177400012966,None,return,88.58842390001519,8.701177400012966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22052,0001,2023_Mar_27_1313,localizer,2021.1.3,59.96706609482581,
,,,,,,,,,,,,,,,,,97.34653900004923,None,97.34653900004923,None,return,3.54211799998302,97.34653900004923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22052,0001,2023_Mar_27_1313,localizer,2021.1.3,59.96706609482581,
,,,0,0,0,0,,,,,,,,,,,,,,,,,,,100.91190090001328,None,101.91937640000833,None,y,2.6498278999933973,101.91937640000833,None,104.58491170004709,None,b,1.2263370999717154,104.58491170004709,None,105.8357920999988,None,y,1,1.3833748999750242,105.8357920999988,None,,,,,,,,,,,,,,,,,,,,,,,,,22052,0001,2023_Mar_27_1313,localizer,2021.1.3,59.96706609482581,
,,,1,0,1,0,,,,,,,,,,,,,,,,,,,107.23518990003504,None,108.23534210002981,None,y,9.983981399971526,108.23534210002981,None,118.23999160004314,None,b,1.1065842999960296,118.23999160004314,None,119.37161980004748,None,n,0,1.2603837000206113,119.37161980004748,None,,,,,,,,,,,,,,,,,,,,,,,,,22052,0001,2023_Mar_27_1313,localizer,2021.1.3,59.96706609482581,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.65314070001477,None,y,89.36822570004733,120.65314070001477,None,,,,,,,,,,,,,,,,,,,22052,0001,2023_Mar_27_1313,localizer,2021.1.3,59.96706609482581,
null_block,null_block,null_block.bmp,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,20.253060600021854,210.12324889999582,None,210.12324889999582,None,2023-03-27-13:16:52.532929,230.42012276005698,None,230.42012276005698,None,None,230.42012276005698,None,230.42903920001118,None,,,22052,0001,2023_Mar_27_1313,localizer,2021.1.3,59.96706609482581,
block_start,scenes,scenes085.bmp,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,1.9398853000020608,242.43630400003167,None,242.43630400003167,None,2023-03-27-13:17:06.532435,244.41935520002153,244.7194755000528,244.41935520002153,None,None,244.41935520002153,None,245.21964968004613,None,,,22052,0001,2023_Mar_27_1313,localizer,2021.1.3,59.96706609482581,
block,scenes,scenes057.bmp,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,245.21964968004613,None,245.21964968004613,None,2023-03-27-13:17:07.348877,245.2342019000207,245.5364843000425,245.2342019000207,None,None,245.2342019000207,None,246.0368233800109,None,,,22052,0001,2023_Mar_27_1313,localizer,2021.1.3,59.96706609482581,
block,scenes,scenes032.bmp,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,246.0368233800109,None,246.0368233800109,None,2023-03-27-13:17:08.166254,246.0481359999976,246.35318390000612,246.0481359999976,None,None,246.0481359999976,None,246.85294108002563,None,,,22052,0001,2023_Mar_27_1313,localizer,2021.1.3,59.96706609482581,
block,scenes,scenes017.bmp,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,246.85294108002563,None,246.85294108002563,None,2023-03-27-13:17:08.982179,246.86772920005023,247.16994010005146,246.86772920005023,None,None,246.86772920005023,None,247.66911048002657,None,,,22052,0001,2023_Mar_27_1313,localizer,2021.1.3,59.96706609482581,
