Unnamed: 0,block_type,condition,img_name
0,block_start,scrambled,scrambled004.bmp
1,block,scrambled,scrambled034.bmp
2,block,scrambled,scrambled075.bmp
3,block,scrambled,scrambled054.bmp
4,block,scrambled,scrambled077.bmp
5,block,scrambled,scrambled052.bmp
6,block,scrambled,scrambled025.bmp
7,block,scrambled,scrambled049.bmp
8,block,scrambled,scrambled084.bmp
9,block,scrambled,scrambled039.bmp
10,block,scrambled,scrambled074.bmp
11,block,scrambled,scrambled028.bmp
12,block,scrambled,scrambled083.bmp
13,block,scrambled,scrambled007.bmp
14,block_end,scrambled,scrambled030.bmp
15,null_block,null_block,null_block.bmp
16,block_start,scenes,scenes002.bmp
17,block,scenes,scenes086.bmp
18,block,scenes,scenes029.bmp
19,block,scenes,scenes030.bmp
20,block,scenes,scenes019.bmp
21,block,scenes,scenes055.bmp
22,block,scenes,scenes072.bmp
23,block,scenes,scenes091.bmp
24,block,scenes,scenes051.bmp
25,block,scenes,scenes063.bmp
26,block,scenes,scenes039.bmp
27,block,scenes,scenes018.bmp
28,block,scenes,scenes017.bmp
29,block,scenes,scenes062.bmp
30,block_end,scenes,scenes077.bmp
31,block_start,faces,faces027.bmp
32,block,faces,faces083.bmp
33,block,faces,faces071.bmp
34,block,faces,faces019.bmp
35,block,faces,faces033.bmp
36,block,faces,faces086.bmp
37,block,faces,faces024.bmp
38,block,faces,faces065.bmp
39,block,faces,faces036.bmp
40,block,faces,faces014.bmp
41,block,faces,faces088.bmp
42,block,faces,faces050.bmp
43,block,faces,faces089.bmp
44,block,faces,faces089.bmp
45,block_end,faces,faces016.bmp
46,block_start,objects,objects053.bmp
47,block,objects,objects083.bmp
48,block,objects,objects046.bmp
49,block,objects,objects006.bmp
50,block,objects,objects034.bmp
51,block,objects,objects007.bmp
52,block,objects,objects076.bmp
53,block,objects,objects067.bmp
54,block,objects,objects060.bmp
55,block,objects,objects040.bmp
56,block,objects,objects014.bmp
57,block,objects,objects072.bmp
58,block,objects,objects011.bmp
59,block,objects,objects065.bmp
60,block_end,objects,objects071.bmp
61,block_start,scrambled,scrambled067.bmp
62,block,scrambled,scrambled024.bmp
63,block,scrambled,scrambled047.bmp
64,block,scrambled,scrambled055.bmp
65,block,scrambled,scrambled004.bmp
66,block,scrambled,scrambled033.bmp
67,block,scrambled,scrambled037.bmp
68,block,scrambled,scrambled043.bmp
69,block,scrambled,scrambled064.bmp
70,block,scrambled,scrambled022.bmp
71,block,scrambled,scrambled077.bmp
72,block,scrambled,scrambled058.bmp
73,block,scrambled,scrambled049.bmp
74,block,scrambled,scrambled087.bmp
75,block_end,scrambled,scrambled030.bmp
76,block_start,objects,objects023.bmp
77,block,objects,objects033.bmp
78,block,objects,objects034.bmp
79,block,objects,objects003.bmp
80,block,objects,objects046.bmp
81,block,objects,objects035.bmp
82,block,objects,objects058.bmp
83,block,objects,objects060.bmp
84,block,objects,objects025.bmp
85,block,objects,objects074.bmp
86,block,objects,objects053.bmp
87,block,objects,objects053.bmp
88,block,objects,objects075.bmp
89,block,objects,objects038.bmp
90,block_end,objects,objects082.bmp
91,null_block,null_block,null_block.bmp
92,block_start,faces,faces034.bmp
93,block,faces,faces046.bmp
94,block,faces,faces061.bmp
95,block,faces,faces069.bmp
96,block,faces,faces067.bmp
97,block,faces,faces057.bmp
98,block,faces,faces032.bmp
99,block,faces,faces036.bmp
100,block,faces,faces011.bmp
101,block,faces,faces015.bmp
102,block,faces,faces089.bmp
103,block,faces,faces088.bmp
104,block,faces,faces005.bmp
105,block,faces,faces022.bmp
106,block_end,faces,faces049.bmp
107,block_start,scenes,scenes092.bmp
108,block,scenes,scenes003.bmp
109,block,scenes,scenes019.bmp
110,block,scenes,scenes025.bmp
111,block,scenes,scenes086.bmp
112,block,scenes,scenes016.bmp
113,block,scenes,scenes058.bmp
114,block,scenes,scenes064.bmp
115,block,scenes,scenes015.bmp
116,block,scenes,scenes077.bmp
117,block,scenes,scenes091.bmp
118,block,scenes,scenes062.bmp
119,block,scenes,scenes074.bmp
120,block,scenes,scenes061.bmp
121,block_end,scenes,scenes041.bmp
122,null_block,null_block,null_block.bmp
123,block_start,faces,faces070.bmp
124,block,faces,faces081.bmp
125,block,faces,faces039.bmp
126,block,faces,faces011.bmp
127,block,faces,faces080.bmp
128,block,faces,faces003.bmp
129,block,faces,faces051.bmp
130,block,faces,faces060.bmp
131,block,faces,faces067.bmp
132,block,faces,faces016.bmp
133,block,faces,faces024.bmp
134,block,faces,faces085.bmp
135,block,faces,faces041.bmp
136,block,faces,faces025.bmp
137,block_end,faces,faces018.bmp
138,block_start,scenes,scenes032.bmp
139,block,scenes,scenes003.bmp
140,block,scenes,scenes041.bmp
141,block,scenes,scenes066.bmp
142,block,scenes,scenes057.bmp
143,block,scenes,scenes071.bmp
144,block,scenes,scenes017.bmp
145,block,scenes,scenes046.bmp
146,block,scenes,scenes061.bmp
147,block,scenes,scenes061.bmp
148,block,scenes,scenes023.bmp
149,block,scenes,scenes076.bmp
150,block,scenes,scenes087.bmp
151,block,scenes,scenes002.bmp
152,block_end,scenes,scenes016.bmp
153,block_start,scrambled,scrambled002.bmp
154,block,scrambled,scrambled031.bmp
155,block,scrambled,scrambled023.bmp
156,block,scrambled,scrambled012.bmp
157,block,scrambled,scrambled048.bmp
158,block,scrambled,scrambled018.bmp
159,block,scrambled,scrambled075.bmp
160,block,scrambled,scrambled039.bmp
161,block,scrambled,scrambled010.bmp
162,block,scrambled,scrambled064.bmp
163,block,scrambled,scrambled029.bmp
164,block,scrambled,scrambled011.bmp
165,block,scrambled,scrambled066.bmp
166,block,scrambled,scrambled027.bmp
167,block_end,scrambled,scrambled058.bmp
168,block_start,objects,objects028.bmp
169,block,objects,objects034.bmp
170,block,objects,objects043.bmp
171,block,objects,objects052.bmp
172,block,objects,objects053.bmp
173,block,objects,objects003.bmp
174,block,objects,objects086.bmp
175,block,objects,objects020.bmp
176,block,objects,objects029.bmp
177,block,objects,objects050.bmp
178,block,objects,objects035.bmp
179,block,objects,objects023.bmp
180,block,objects,objects059.bmp
181,block,objects,objects018.bmp
182,block_end,objects,objects024.bmp
183,null_block,null_block,null_block.bmp
184,block_start,scrambled,scrambled026.bmp
185,block,scrambled,scrambled075.bmp
186,block,scrambled,scrambled010.bmp
187,block,scrambled,scrambled086.bmp
188,block,scrambled,scrambled018.bmp
189,block,scrambled,scrambled029.bmp
190,block,scrambled,scrambled029.bmp
191,block,scrambled,scrambled084.bmp
192,block,scrambled,scrambled044.bmp
193,block,scrambled,scrambled007.bmp
194,block,scrambled,scrambled017.bmp
195,block,scrambled,scrambled047.bmp
196,block,scrambled,scrambled059.bmp
197,block,scrambled,scrambled088.bmp
198,block_end,scrambled,scrambled077.bmp
199,block_start,scenes,scenes074.bmp
200,block,scenes,scenes026.bmp
201,block,scenes,scenes023.bmp
202,block,scenes,scenes010.bmp
203,block,scenes,scenes053.bmp
204,block,scenes,scenes038.bmp
205,block,scenes,scenes027.bmp
206,block,scenes,scenes035.bmp
207,block,scenes,scenes024.bmp
208,block,scenes,scenes049.bmp
209,block,scenes,scenes065.bmp
210,block,scenes,scenes012.bmp
211,block,scenes,scenes066.bmp
212,block,scenes,scenes004.bmp
213,block_end,scenes,scenes036.bmp
214,block_start,faces,faces020.bmp
215,block,faces,faces003.bmp
216,block,faces,faces078.bmp
217,block,faces,faces068.bmp
218,block,faces,faces049.bmp
219,block,faces,faces051.bmp
220,block,faces,faces025.bmp
221,block,faces,faces002.bmp
222,block,faces,faces046.bmp
223,block,faces,faces011.bmp
224,block,faces,faces059.bmp
225,block,faces,faces057.bmp
226,block,faces,faces021.bmp
227,block,faces,faces074.bmp
228,block_end,faces,faces033.bmp
229,block_start,objects,objects043.bmp
230,block,objects,objects013.bmp
231,block,objects,objects014.bmp
