block_type,condition,img_name
block_start,faces,faces018.bmp
block,faces,faces083.bmp
block,faces,faces081.bmp
block,faces,faces067.bmp
block,faces,faces035.bmp
block,faces,faces026.bmp
block,faces,faces029.bmp
block,faces,faces079.bmp
block,faces,faces042.bmp
block,faces,faces044.bmp
block,faces,faces069.bmp
block,faces,faces045.bmp
block,faces,faces016.bmp
block,faces,faces060.bmp
block_end,faces,faces014.bmp
null_block,null_block,null_block.bmp
block_start,scrambled,scrambled028.bmp
block,scrambled,scrambled008.bmp
block,scrambled,scrambled025.bmp
block,scrambled,scrambled038.bmp
block,scrambled,scrambled019.bmp
block,scrambled,scrambled036.bmp
block,scrambled,scrambled039.bmp
block,scrambled,scrambled064.bmp
block,scrambled,scrambled060.bmp
block,scrambled,scrambled060.bmp
block,scrambled,scrambled002.bmp
block,scrambled,scrambled013.bmp
block,scrambled,scrambled016.bmp
block,scrambled,scrambled082.bmp
block_end,scrambled,scrambled032.bmp
block_start,objects,objects044.bmp
block,objects,objects046.bmp
block,objects,objects021.bmp
block,objects,objects001.bmp
block,objects,objects053.bmp
block,objects,objects018.bmp
block,objects,objects017.bmp
block,objects,objects032.bmp
block,objects,objects024.bmp
block,objects,objects029.bmp
block,objects,objects050.bmp
block,objects,objects004.bmp
block,objects,objects049.bmp
block,objects,objects060.bmp
block_end,objects,objects033.bmp
block_start,scenes,scenes061.bmp
block,scenes,scenes048.bmp
block,scenes,scenes010.bmp
block,scenes,scenes086.bmp
block,scenes,scenes036.bmp
block,scenes,scenes076.bmp
block,scenes,scenes008.bmp
block,scenes,scenes020.bmp
block,scenes,scenes066.bmp
block,scenes,scenes077.bmp
block,scenes,scenes033.bmp
block,scenes,scenes026.bmp
block,scenes,scenes054.bmp
block,scenes,scenes024.bmp
block_end,scenes,scenes017.bmp
null_block,null_block,null_block.bmp
block_start,scrambled,scrambled070.bmp
block,scrambled,scrambled007.bmp
block,scrambled,scrambled071.bmp
block,scrambled,scrambled033.bmp
block,scrambled,scrambled028.bmp
block,scrambled,scrambled088.bmp
block,scrambled,scrambled053.bmp
block,scrambled,scrambled058.bmp
block,scrambled,scrambled034.bmp
block,scrambled,scrambled081.bmp
block,scrambled,scrambled047.bmp
block,scrambled,scrambled004.bmp
block,scrambled,scrambled056.bmp
block,scrambled,scrambled061.bmp
block_end,scrambled,scrambled079.bmp
block_start,scenes,scenes090.bmp
block,scenes,scenes027.bmp
block,scenes,scenes012.bmp
block,scenes,scenes014.bmp
block,scenes,scenes017.bmp
block,scenes,scenes038.bmp
block,scenes,scenes037.bmp
block,scenes,scenes020.bmp
block,scenes,scenes026.bmp
block,scenes,scenes045.bmp
block,scenes,scenes064.bmp
block,scenes,scenes062.bmp
block,scenes,scenes035.bmp
block,scenes,scenes049.bmp
block_end,scenes,scenes032.bmp
block_start,objects,objects085.bmp
block,objects,objects050.bmp
block,objects,objects047.bmp
block,objects,objects069.bmp
block,objects,objects012.bmp
block,objects,objects052.bmp
block,objects,objects044.bmp
block,objects,objects003.bmp
block,objects,objects046.bmp
block,objects,objects017.bmp
block,objects,objects040.bmp
block,objects,objects025.bmp
block,objects,objects057.bmp
block,objects,objects005.bmp
block_end,objects,objects059.bmp
block_start,faces,faces063.bmp
block,faces,faces032.bmp
block,faces,faces070.bmp
block,faces,faces039.bmp
block,faces,faces007.bmp
block,faces,faces051.bmp
block,faces,faces052.bmp
block,faces,faces047.bmp
block,faces,faces047.bmp
block,faces,faces057.bmp
block,faces,faces034.bmp
block,faces,faces045.bmp
block,faces,faces013.bmp
block,faces,faces074.bmp
block_end,faces,faces079.bmp
block_start,scrambled,scrambled088.bmp
block,scrambled,scrambled015.bmp
block,scrambled,scrambled059.bmp
block,scrambled,scrambled003.bmp
block,scrambled,scrambled049.bmp
block,scrambled,scrambled032.bmp
block,scrambled,scrambled061.bmp
block,scrambled,scrambled054.bmp
block,scrambled,scrambled074.bmp
block,scrambled,scrambled019.bmp
block,scrambled,scrambled023.bmp
block,scrambled,scrambled087.bmp
block,scrambled,scrambled021.bmp
block,scrambled,scrambled069.bmp
block_end,scrambled,scrambled039.bmp
null_block,null_block,null_block.bmp
block_start,faces,faces012.bmp
block,faces,faces013.bmp
block,faces,faces065.bmp
block,faces,faces027.bmp
block,faces,faces050.bmp
block,faces,faces059.bmp
block,faces,faces031.bmp
block,faces,faces069.bmp
block,faces,faces033.bmp
block,faces,faces056.bmp
block,faces,faces026.bmp
block,faces,faces049.bmp
block,faces,faces052.bmp
block,faces,faces081.bmp
block_end,faces,faces071.bmp
block_start,objects,objects032.bmp
block,objects,objects057.bmp
block,objects,objects055.bmp
block,objects,objects058.bmp
block,objects,objects013.bmp
block,objects,objects021.bmp
block,objects,objects024.bmp
block,objects,objects049.bmp
block,objects,objects073.bmp
block,objects,objects037.bmp
block,objects,objects074.bmp
block,objects,objects015.bmp
block,objects,objects014.bmp
block,objects,objects064.bmp
block_end,objects,objects064.bmp
block_start,scenes,scenes061.bmp
block,scenes,scenes063.bmp
block,scenes,scenes029.bmp
block,scenes,scenes073.bmp
block,scenes,scenes071.bmp
block,scenes,scenes022.bmp
block,scenes,scenes037.bmp
block,scenes,scenes001.bmp
block,scenes,scenes044.bmp
block,scenes,scenes013.bmp
block,scenes,scenes091.bmp
block,scenes,scenes036.bmp
block,scenes,scenes015.bmp
block,scenes,scenes079.bmp
block_end,scenes,scenes011.bmp
block_start,scenes,scenes010.bmp
block,scenes,scenes014.bmp
block,scenes,scenes092.bmp
block,scenes,scenes092.bmp
block,scenes,scenes078.bmp
block,scenes,scenes001.bmp
block,scenes,scenes007.bmp
block,scenes,scenes035.bmp
block,scenes,scenes057.bmp
block,scenes,scenes058.bmp
block,scenes,scenes031.bmp
block,scenes,scenes080.bmp
block,scenes,scenes045.bmp
block,scenes,scenes059.bmp
block_end,scenes,scenes034.bmp
block_start,objects,objects069.bmp
block,objects,objects070.bmp
block,objects,objects046.bmp
block,objects,objects038.bmp
block,objects,objects028.bmp
block,objects,objects021.bmp
block,objects,objects050.bmp
block,objects,objects039.bmp
block,objects,objects031.bmp
block,objects,objects056.bmp
block,objects,objects006.bmp
block,objects,objects034.bmp
block,objects,objects060.bmp
block,objects,objects085.bmp
block_end,objects,objects032.bmp
block_start,scrambled,scrambled030.bmp
block,scrambled,scrambled012.bmp
block,scrambled,scrambled075.bmp
block,scrambled,scrambled003.bmp
block,scrambled,scrambled011.bmp
block,scrambled,scrambled016.bmp
block,scrambled,scrambled032.bmp
block,scrambled,scrambled084.bmp
block,scrambled,scrambled083.bmp
block,scrambled,scrambled081.bmp
block,scrambled,scrambled057.bmp
block,scrambled,scrambled068.bmp
block,scrambled,scrambled022.bmp
block,scrambled,scrambled064.bmp
block_end,scrambled,scrambled056.bmp
null_block,null_block,null_block.bmp
block_start,faces,faces003.bmp
block,faces,faces026.bmp
block,faces,faces046.bmp
block,faces,faces059.bmp
block,faces,faces044.bmp
block,faces,faces045.bmp
block,faces,faces060.bmp
block,faces,faces062.bmp
block,faces,faces011.bmp
block,faces,faces001.bmp
block,faces,faces039.bmp
block,faces,faces014.bmp
